,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0.05,27.55,0,2.0,0.41836734693877553,16.0,6.673469387755102,0.11538461538461542,0.8163265306122449,5.700000000000005,2.3040816326530615,1.9,3.113797601514835,0,0
0,2,50,0.05,27.55,0,2.0,0.41,17.0,6.75,0.15384615384615374,0.45,6.000000000000002,2.2999999999999994,1.8999999999999984,2.237777777777778,0,0
0,3,50,0.05,26.75,0,2.0,0.38,16.0,6.59,0.11538461538461542,0.37,5.500000000000002,2.2039999999999997,1.8499999999999988,2.1460444444444446,0,0
0,4,50,0.05,29.8,0,5.0,0.89,18.0,7.2,0.1206896551724137,0.95,6.600000000000006,2.5700000000000007,2.2499999999999996,3.863535353535358,0,0
0,5,50,0.05,29.75,0,2.0,0.47,17.0,7.08,0.1071428571428572,1.09,6.200000000000003,2.4979999999999993,2.149999999999999,2.341208080808082,0,0
0,6,50,0.05,27.85,0,1.0,0.33,16.0,7.27,0.09259259259259256,0.48,5.400000000000003,2.611999999999999,2.549999999999998,1.6606626262626265,0,0
0,7,50,0.05,17.35,0,1.0,0.26666666666666666,5.0,1.5,0.4411764705882353,0.26666666666666666,2.2999999999999994,0.9033333333333334,0.7000000000000001,0.4451609195402297,1,0
0,8,50,0.05,27.700000000000003,0,2.0,0.42,16.0,6.88,0.09259259259259256,1.41,5.500000000000002,2.3779999999999997,2.299999999999998,1.7358747474747476,0,0
0,9,50,0.05,28.15,0,4.0,0.64,17.0,6.56,0.12962962962962954,0.72,6.000000000000003,2.186,1.4,2.9894989898989905,0,0
0,10,50,0.05,29.9,0,2.0,0.35,17.0,7.21,0.1071428571428572,0.0,6.0000000000000036,2.575999999999999,2.299999999999998,2.059014141414143,0,0
0,11,50,0.05,26.85,0,2.0,0.46,15.0,6.48,0.07692307692307687,0.43,5.100000000000002,2.138,1.8,2.24399595959596,0,0
0,12,50,0.05,26.05,0,3.0,0.57,16.0,6.26,0.16666666666666674,0.42,5.700000000000003,2.006,1.1999999999999997,2.7589535353535375,0,0
0,13,50,0.05,30.05,0,2.0,0.47,18.0,7.49,0.1206896551724137,1.07,6.600000000000002,2.7439999999999993,2.399999999999997,2.1562262626262636,0,0
0,14,50,0.05,29.65,0,4.0,1.01,18.0,6.58,0.16666666666666674,0.48,6.600000000000003,2.198,1.2499999999999998,3.843026262626264,0,0
0,15,50,0.05,28.65,0,2.0,0.47,16.0,6.94,0.09259259259259256,0.43,5.500000000000003,2.4139999999999997,2.1999999999999997,2.1931353535353537,0,0
0,16,50,0.05,28.65,0,2.0,0.37,16.0,6.81,0.09259259259259256,0.44,5.600000000000001,2.336,1.9999999999999991,2.2049535353535354,0,0
