,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,count
0,1,0,0.09204602301150576,0.0,0.0,0.7000000000000001,7.552276138069034,0.07038519259629816,1.0,1999
1,1,1,0.01900950475237619,0.0,0.0,0.7000000000000001,7.1140570285142575,-0.030015007503751877,1.0,1999
2,2,0,0.3365,0.0035,0.0075,0.6021500000000001,8.039,0.20060000000000003,1.1755,2000
3,2,1,0.0745,0.0225,0.003,0.61355,6.5655,0.0637,1.61,2000
4,3,0,0.62,0.047,0.0375,0.5282500000000001,8.9985,0.28025,1.5195,2000
5,3,1,0.098,0.1,0.0285,0.56005,6.1715,0.10945,1.991,2000
6,4,0,0.8405,0.1015,0.038,0.46095,9.651,0.25345,2.5005,2000
7,4,1,0.2495,0.1405,0.0285,0.48435000000000006,6.3235,0.16935000000000003,2.9795,2000
8,5,0,0.7935,0.309,0.039,0.4854500000000001,9.614,0.27140000000000003,3.0525,2000
9,5,1,0.389,0.176,0.0285,0.40565000000000007,6.3765,0.1378,3.449,2000
10,6,0,0.581,0.6855,0.041,0.6113500000000002,9.438,0.42735,3.77,2000
11,6,1,0.2305,0.501,0.0295,0.50065,6.346,0.3763,4.007,2000
12,7,0,0.5585,0.9275,0.046,0.6565500000000001,9.7985,0.36825,4.16,2000
13,7,1,0.258,0.618,0.0315,0.47085000000000016,6.203,0.1796,4.33,2000
14,8,0,0.658,1.06,0.0535,0.6360500000000001,10.178,0.2898,4.4785,2000
15,8,1,0.245,0.7725,0.035,0.46355000000000013,6.048,0.21535,4.613,2000
16,9,0,0.793,1.181,0.085,0.6121000000000001,10.7145,0.25555,4.887,2000
17,9,1,0.21128948731227343,0.937856033143449,0.05385810460901087,0.48353184878301414,5.938891765924391,-0.01631279129984464,4.964267219057483,1931
18,10,0,0.8130718954248366,1.2921568627450981,0.11176470588235295,0.5753594771241831,10.541830065359477,0.2669934640522876,5.435947712418301,1530
19,10,1,0.25555555555555554,1.230718954248366,0.043137254901960784,0.5384967320261439,6.858823529411764,0.16274509803921572,5.58235294117647,1530
20,11,0,0.7372549019607844,1.5339869281045753,0.11437908496732026,0.6204575163398695,10.55032679738562,0.3101960784313726,5.845751633986928,1530
21,11,1,0.38235294117647056,1.2712418300653594,0.044444444444444446,0.46281045751634003,6.864052287581699,0.1369281045751634,5.919607843137255,1530
22,12,0,0.5954248366013072,1.8437908496732027,0.12418300653594772,0.706339869281046,10.435294117647059,0.38594771241830067,6.1986928104575165,1530
23,12,1,0.2751633986928105,1.5366013071895426,0.047058823529411764,0.5220261437908499,6.781699346405229,0.3122875816993464,6.172549019607843,1530
24,13,0,0.6235294117647059,2.0503267973856207,0.13790849673202615,0.7302614379084968,10.841176470588236,0.3645098039215687,6.421568627450981,1530
25,13,1,0.3235294117647059,1.6647058823529413,0.04771241830065359,0.498888888888889,6.824836601307189,0.20346405228758171,6.364705882352941,1530
26,14,0,0.7196078431372549,2.183006535947712,0.1607843137254902,0.7098692810457518,11.185620915032679,0.29568627450980395,6.645098039215687,1530
27,14,1,0.27124183006535946,1.8555555555555556,0.056862745098039215,0.5133986928104577,6.647712418300654,0.2222222222222222,6.586274509803921,1530
28,15,0,0.8143790849673203,2.335294117647059,0.1895424836601307,0.7032679738562093,11.673856209150326,0.28490196078431373,7.02156862745098,1530
29,15,1,0.24016010673782523,2.0273515677118077,0.07271514342895263,0.5396264176117413,6.599066044029353,-0.024949966644429614,6.86057371581054,1499
30,16,0,0.8020833333333334,2.4539930555555554,0.2465277777777778,0.672482638888889,11.3515625,0.29296875,7.5,1152
31,16,1,0.2769097222222222,2.3932291666666665,0.0685763888888889,0.6361111111111112,7.887152777777778,0.17256944444444444,7.283854166666667,1152
32,17,0,0.7280625543006082,2.7141615986099046,0.2519548218940052,0.7284969591659427,11.485664639443963,0.343614248479583,7.809730668983493,1151
33,17,1,0.3805386620330148,2.456125108601216,0.07211120764552563,0.57367506516073,7.8879235447437015,0.15490877497827976,7.569939183318853,1151
34,18,0,0.6255430060816681,3.0060816681146827,0.26585577758470896,0.8036490008688099,11.497827975673328,0.3831450912250217,8.064291920069504,1151
35,18,1,0.29365768896611644,2.696785403996525,0.07819287576020852,0.6180712423979149,7.774978279756733,0.2861859252823632,7.788010425716768,1151
36,19,0,0.6211989574283232,3.216333622936577,0.2884448305821025,0.8298001737619463,11.724587315377931,0.3476107732406603,8.275412684622069,1151
37,19,1,0.3423110338835795,2.8158123370981754,0.08166811468288444,0.5894874022589054,7.763683753258037,0.17715030408340574,7.962641181581234,1151
38,20,0,0.6993918331885317,3.366637706342311,0.31190269331016507,0.8199826238053867,12.074717636837532,0.30312771503040836,8.480451781059948,1151
39,20,1,0.32,2.9895652173913043,0.09217391304347826,0.5937391304347828,7.666086956521739,0.21417391304347827,8.158260869565217,1150
40,21,0,0.7991304347826087,3.5234782608695654,0.33652173913043476,0.8155652173913044,12.623478260869565,0.2822608695652174,8.811304347826088,1150
41,21,1,0.2780229479258605,3.180052956751986,0.1147396293027361,0.6318623124448368,7.646072374227714,-0.018623124448367164,8.389232127096205,1133
42,22,0,0.7311703360370799,3.66396292004635,0.4391657010428737,0.7983777520278099,12.076477404403244,0.2695249130938587,9.147161066048668,863
43,22,1,0.27925840092699883,3.623406720741599,0.12166859791425261,0.7740440324449595,9.171494785631518,0.18667439165701047,8.719582850521437,863
44,23,0,0.7346465816917729,3.872537659327926,0.45307068366164543,0.8235225955967556,12.365005793742759,0.3272305909617613,9.40324449594438,863
45,23,1,0.3904982618771727,3.7022016222479723,0.12862108922363846,0.7213209733487833,9.3117033603708,0.18099652375434533,8.974507531865585,863
46,24,0,0.6628041714947857,4.1413673232908454,0.4716106604866744,0.8848203939745075,12.444959443800695,0.37612977983777524,9.575898030127462,863
47,24,1,0.34414831981460026,3.910776361529548,0.1332560834298957,0.746465816917729,9.254924681344148,0.25550405561993045,9.187717265353418,863
48,25,0,0.6442641946697567,4.3557358053302435,0.4947856315179606,0.9134414831981461,12.617612977983777,0.33858632676709155,9.718424101969873,863
49,25,1,0.39165701042873696,4.052143684820394,0.13557358053302435,0.7312862108922364,9.377752027809965,0.2111239860950174,9.349942062572422,863
50,26,0,0.7079953650057937,4.519119351100811,0.5214368482039398,0.9114716106604867,12.964078794901507,0.3077636152954809,9.899188876013906,863
51,26,1,0.3612078977932636,4.2369337979094075,0.14750290360046459,0.7421602787456446,9.285714285714286,0.20952380952380953,9.530778164924506,861
52,27,0,0.7651869158878505,4.69392523364486,0.552570093457944,0.9182242990654206,13.373831775700934,0.2885514018691589,10.175233644859814,856
53,27,1,0.31666666666666665,4.435714285714286,0.16428571428571428,0.7844047619047617,9.307142857142857,-0.01559523809523809,9.745238095238095,840
54,28,0,0.6769706336939721,4.8809891808346215,0.7078825347758887,0.9285935085007727,12.970633693972179,0.31452859350850076,10.545595054095827,647
55,28,1,0.2751159196290572,4.976816074188562,0.16383307573415765,0.9860896445131374,11.139103554868624,0.19258114374034005,10.123647604327665,647
56,29,0,0.6275115919629057,5.097372488408037,0.7310664605873262,0.9584234930448223,12.978361669242659,0.30432766615146833,10.78516228748068,647
57,29,1,0.36321483771251933,5.083462132921174,0.17156105100463678,0.9500772797527047,11.310664605873262,0.19289026275115922,10.358578052550232,647
58,30,0,0.616692426584235,5.307573415765069,0.7511591962905718,0.9845440494590417,13.106646058732611,0.3330757341576507,10.944358578052551,647
59,30,1,0.3261205564142195,5.285935085007728,0.17619783616692428,0.9715610510046366,11.272024729520865,0.2528593508500773,10.536321483771252,647
60,31,0,0.6120556414219475,5.517774343122102,0.768160741885626,1.0106646058732611,13.332302936630603,0.32658423493044825,11.088098918083462,647
61,31,1,0.32921174652241114,5.431221020092735,0.18238021638330756,0.9587326120556412,11.143740340030911,0.19629057187017004,10.661514683153014,647
62,32,0,0.6816074188562596,5.684698608964451,0.8068006182380216,1.0108191653786707,13.734157650695519,0.3123647604327667,11.256568778979908,647
63,32,1,0.35139318885448917,5.588235294117647,0.2043343653250774,0.952941176470588,11.215170278637771,0.19783281733746133,10.801857585139318,646
64,33,0,0.6786833855799373,5.8730407523510975,0.8573667711598746,1.0249216300940436,13.866771159874608,0.30094043887147337,11.481191222570533,638
65,33,1,0.31695721077654515,5.830427892234549,0.21711568938193343,1.0125198098256731,11.535657686212362,0.10221870047543581,11.003169572107765,631
66,34,0,0.6414048059149723,6.040665434380776,0.9741219963031423,1.0243992606284658,13.658040665434381,0.2683918669131239,11.713493530499075,541
67,34,1,0.27726432532347506,6.314232902033272,0.20702402957486138,1.1885397412199625,13.072088724584104,0.2513863216266174,11.253234750462108,541
68,35,0,0.6377079482439926,6.255083179297597,0.988909426987061,1.0530499075785582,13.929759704251387,0.3293900184842884,11.922365988909426,541
69,35,1,0.3068391866913124,6.432532347504621,0.2144177449168207,1.1595194085027722,12.961182994454713,0.17929759704251386,11.456561922365989,541
70,36,0,0.5841035120147874,6.499075785582255,1.0166358595194085,1.0994454713493527,14.00184842883549,0.3513863216266174,12.096118299445472,541
71,36,1,0.2975970425138632,6.617375231053605,0.21811460258780038,1.170425138632162,12.972273567467653,0.23216266173752312,11.589648798521257,541
72,37,0,0.5970425138632163,6.6987060998151575,1.0462107208872458,1.1192236598890941,14.264325323475045,0.3219963031423291,12.203327171903881,541
73,37,1,0.34011090573012936,6.750462107208873,0.23290203327171904,1.150277264325323,13.01109057301294,0.20184842883548984,11.731977818853974,541
74,38,0,0.6192236598890942,6.88724584103512,1.0868761552680222,1.1323475046210718,14.504621072088725,0.3245841035120148,12.364140480591498,541
75,38,1,0.3364140480591497,6.948243992606285,0.2476894639556377,1.1689463955637702,13.160813308687615,0.22495378927911275,11.87430683918669,541
76,39,0,0.6772388059701493,7.07089552238806,1.1156716417910448,1.1434701492537311,14.970149253731343,0.3205223880597015,12.555970149253731,536
77,39,1,0.295668549905838,7.160075329566855,0.2580037664783427,1.2060263653483985,13.218455743879472,0.12033898305084746,12.064030131826742,531
78,40,0,0.5627615062761506,7.294979079497908,1.215481171548117,1.1769874476987443,14.629707112970712,0.2874476987447699,12.721757322175732,478
79,40,1,0.30962343096234307,7.50836820083682,0.25523012552301255,1.3050209205020913,14.307531380753138,0.199581589958159,12.286610878661088,478
80,41,0,0.5627615062761506,7.476987447698745,1.2447698744769875,1.1861924686192464,14.734309623430962,0.2817991631799164,12.907949790794978,478
81,41,1,0.3514644351464435,7.654811715481172,0.27405857740585776,1.2928870292887022,14.439330543933055,0.22029288702928873,12.4581589958159,478
82,42,0,0.5355648535564853,7.705020920502092,1.2761506276150627,1.2230125523012547,14.878661087866108,0.3292887029288703,13.081589958158995,478
83,42,1,0.3179916317991632,7.872384937238493,0.28661087866108786,1.3234309623430953,14.50418410041841,0.2625523012552301,12.644351464435147,478
84,43,0,0.5334728033472803,7.916317991631799,1.3054393305439331,1.249790794979079,15.133891213389122,0.3119246861924686,13.225941422594142,478
85,43,1,0.3284518828451883,8.035564853556485,0.301255230125523,1.3213389121338903,14.535564853556485,0.2179916317991632,12.797071129707113,478
86,44,0,0.5941422594142259,8.092050209205022,1.3305439330543933,1.255230125523012,15.52928870292887,0.29811715481171547,13.357740585774058,478
87,44,1,0.3368200836820084,8.213389121338912,0.3158995815899582,1.3280334728033465,14.644351464435147,0.21443514644351463,12.939330543933055,478
88,45,0,0.5769230769230769,8.284188034188034,1.3824786324786325,1.2717948717948713,15.596153846153847,0.29273504273504275,13.478632478632479,468
89,45,1,0.25757575757575757,8.504329004329005,0.3225108225108225,1.409090909090908,14.952380952380953,0.15194805194805194,13.132034632034632,462
90,46,0,0.5370370370370371,8.525462962962964,1.4699074074074074,1.315277777777777,15.775462962962964,0.29097222222222224,13.689814814814815,432
91,46,1,0.23148148148148148,8.810185185185185,0.33564814814814814,1.48611111111111,15.55787037037037,0.18171296296296297,13.395833333333334,432
92,47,0,0.5601851851851852,8.703703703703704,1.4930555555555556,1.3222222222222215,15.99074074074074,0.2847222222222222,13.824074074074074,432
93,47,1,0.2824074074074074,8.925925925925926,0.3449074074074074,1.4555555555555544,15.560185185185185,0.17916666666666667,13.539351851851851,432
94,48,0,0.5208333333333334,8.909722222222221,1.537037037037037,1.3458333333333325,15.935185185185185,0.300462962962963,13.960648148148149,432
95,48,1,0.3263888888888889,9.085648148148149,0.3587962962962963,1.4513888888888877,15.75462962962963,0.2215277777777778,13.6875,432
96,49,0,0.5740740740740741,9.081018518518519,1.5694444444444444,1.3486111111111103,16.28240740740741,0.29768518518518516,14.106481481481481,432
97,49,1,0.3449074074074074,9.266203703703704,0.3773148148148148,1.459722222222221,15.949074074074074,0.24444444444444446,13.833333333333334,432
98,50,0,0.5995370370370371,9.268518518518519,1.6064814814814814,1.3611111111111103,16.54398148148148,1.2893518518518519,14.224537037037036,432
99,50,1,0.3109048723897912,9.480278422273782,0.39675174013921116,1.4881670533642677,16.023201856148493,1.2329466357308585,14.020881670533642,431
