,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,1000,0,139.65000000000114,0,18.0,3.405080831408776,172.0,82.64988452655889,0.45136986301369864,5.021709006928407,10.500000000000044,3.6645265588914984,3.1000000000001005,6.711116284530018,2,
0,2,1000,0,105.0250000000007,0,3.0,0.8426791277258567,221.0,89.56619937694704,0.6628787878787878,0.0,33.69999999999956,13.019236760124556,10.400000000000052,122.48602872332194,3,
0,3,1000,0,90.62500000000067,0,2.0,0.9982078853046595,211.0,94.35931899641577,0.6969026548672567,0.011648745519713262,27.79999999999968,12.325358422939049,12.550000000000072,72.03988552164098,3,
0,4,1000,0,89.20000000000068,0,2.0,1.0714957666980245,217.0,98.74317968015052,0.7275784753363229,0.0,30.99999999999967,12.893885230479755,11.200000000000083,75.55014148210621,3,
0,5,1000,0,88.22500000000068,0,2.0,1.0449017773620206,214.0,98.54536950420955,0.7251131221719457,0.0,29.199999999999605,13.022731524789474,12.00000000000007,72.9380314830955,3,
0,6,1000,0,105.67500000000054,0,32.0,9.494071146245059,175.0,73.96047430830039,0.5749027237354085,0.5250329380764164,10.500000000000046,5.018050065876206,5.500000000000152,6.532501930253895,3,
0,7,1000,0,107.75000000000063,0,21.0,6.818791946308725,174.0,72.35082367297133,0.5434782608695652,2.9902379499694938,10.000000000000025,3.940695546064729,4.499999999999998,5.6579826661035195,3,
0,8,1000,0,89.5500000000007,0,2.0,1.0269767441860465,216.0,99.35441860465116,0.7254464285714286,0.0,30.399999999999604,13.736186046511579,13.20000000000007,83.61547706032489,3,
0,9,1000,0,93.5750000000007,0,2.0,1.0168439716312057,218.0,97.7517730496454,0.6925531914893617,0.04521276595744681,31.899999999999483,14.7820035460992,15.10000000000008,99.54011062287732,3,
0,10,1000,0,114.95000000000081,0,20.0,4.518539646320593,174.0,78.1095265259555,0.5432203389830509,2.0867084997147747,10.400000000000048,3.926583000570493,3.900000000000071,6.738824904208606,3,
0,11,1000,0,111.40000000000066,0,22.0,1.9619463505926389,183.0,74.69307548346849,0.5654121863799283,3.615096693699314,10.800000000000159,4.730255770430491,4.200000000000069,8.005045315314794,3,
0,12,1000,0,106.77500000000057,0,26.0,7.297245355541319,175.0,76.01537475976937,0.5738636363636364,0.4823830877642537,12.800000000000065,5.478859705317165,5.300000000000166,8.079334852740764,3,
0,13,1000,0,135.82500000000076,0,12.0,1.0205152671755726,171.0,91.84160305343511,0.47079772079772075,0.7318702290076335,22.19999999999982,8.014169847328239,6.800000000000062,33.640348045601,2,
0,14,1000,0,95.87500000000044,0,25.0,10.60891812865497,175.0,70.21125730994152,0.5818965517241379,0.5869883040935673,8.200000000000019,3.707967836257388,4.700000000000071,3.933199086016897,3,
0,15,1000,0,116.10000000000085,0,17.0,3.1541924592009005,174.0,78.94091164884637,0.5342809364548495,2.477771525042206,12.20000000000009,4.744006752954471,4.6000000000001355,8.596204207161641,3,
0,16,1000,0,103.07500000000057,0,31.0,10.059580230196344,176.0,73.57007447528774,0.5826693227091634,0.3852403520649966,10.50000000000005,5.086865267434052,5.500000000000133,6.030748771130336,3,
0,17,1000,0,104.02500000000069,0,2.0,0.7697674418604651,218.0,88.65348837209302,0.6278625954198473,0.0,31.999999999999474,13.685426356589058,13.70000000000006,115.73724283591949,3,
0,18,1000,0,116.02500000000073,0,22.0,1.8390517779164068,196.0,75.7305053025577,0.5702054794520548,5.805988771054273,18.60000000000003,6.0758577666875055,5.100000000000007,19.871195814963244,3,
0,19,1000,0,124.52500000000094,0,19.0,2.7113564668769716,174.0,82.09674027339642,0.49687499999999996,0.8843322818086226,19.29999999999996,6.91377497371192,5.3000000000002006,23.71050978205622,3,
0,20,1000,0,90.4500000000007,0,3.0,1.0239190432382705,216.0,100.48942042318308,0.7190265486725663,0.0,30.8999999999995,14.898804047838,15.600000000000094,78.89507223320405,3,
0,21,1000,0,90.90000000000072,0,4.0,1.1354656632173095,222.0,104.69990592662276,0.7368421052631579,0.00658513640639699,33.99999999999954,16.4306679209783,15.20000000000011,111.16728834818576,3,
0,22,1000,0,95.87500000000072,0,2.0,1.0008818342151675,223.0,98.57319223985891,0.6794605809128631,0.03880070546737213,35.09999999999948,15.535802469135708,15.650000000000091,109.34360672528655,3,
0,23,1000,0,112.55000000000065,0,27.0,7.118805970149253,174.0,71.59462686567164,0.5283687943262412,0.9880597014925373,9.50000000000007,4.291223880597079,4.8000000000000185,5.327897844112885,3,
0,24,1000,0,119.85000000000076,0,22.0,3.9983333333333335,174.0,75.14833333333333,0.5008250825082509,1.0744444444444445,12.300000000000104,4.765055555555596,4.7000000000000925,10.219628679513447,3,
0,25,1000,0,128.45000000000076,0,8.0,0.893452380952381,215.0,83.61785714285715,0.5709876543209876,0.3863095238095238,30.09999999999963,9.236488095238064,4.049999999999993,87.9569227395831,3,
0,26,1000,0,100.92500000000051,0,32.0,10.223335719398712,176.0,69.24624194702935,0.5588235294117647,1.7315676449534718,6.500000000000231,3.7995705082319886,4.60000000000009,3.8201287552329948,3,
0,27,1000,0,116.57500000000083,0,21.0,2.4050199657729605,175.0,78.62007986309185,0.543918918918919,5.621220764403879,10.400000000000077,4.232915002852305,3.999999999999995,7.233088358638946,3,
0,28,1000,0,119.32500000000076,0,21.0,4.093525179856115,173.0,72.51577199778639,0.48267326732673266,1.115661317100166,13.80000000000008,4.9858328721638605,4.799999999999994,11.229046135951052,3,
0,29,1000,0,97.15000000000072,0,2.0,0.9328231292517006,219.0,91.57738095238095,0.6905737704918032,0.0,32.2999999999997,12.317942176870734,10.550000000000066,93.53057993197162,3,
0,30,1000,0,99.87500000000071,0,3.0,0.8739635157545605,221.0,92.08706467661692,0.6782868525896414,0.0,33.59999999999957,13.453565505804251,12.000000000000046,122.85218229736299,3,
0,31,1000,0,92.00000000000074,0,2.0,1.041899441340782,223.0,105.55493482309124,0.7196969696969697,0.017690875232774673,35.09999999999947,17.43947858472987,18.55000000000005,122.330220044738,3,
