,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
32,0,1,10,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,,1
419,1,1,370,1,60,0,0.0,5.000000000000018,4613.0,0,-1.0,,61
70,2,1,22,0,2,0,0.0,0.0,132.0,1,-1.1,,2
71,3,1,22,1,2,0,0.0,5.000000000000002,131.0,0,-0.1999999999999999,,3
2904,0,2,1000,0,178,59,7.600000000000184,76.00000000000183,57060.0,0,1.0,,178
477,1,2,15,0,1,0,0.0,0.0,69.0,0,-1.0,,1
2548,2,2,705,0,116,48,0.0,0.0,43926.0,4,-1.1,,116
2669,3,2,765,0,126,12,0.0,0.0,36732.0,0,-1.0,,126
2961,0,3,15,1,1,0,0.0,5.000000000000002,122.0,0,-1.0,,2
2998,1,3,27,0,3,0,0.0,0.0,153.0,2,-1.1,,3
2999,2,3,27,0,3,0,0.0,0.0,177.0,4,-1.1,,3
3143,3,3,170,0,27,0,0.0,0.0,1869.0,3,-1.1,,27
3424,0,4,93,0,14,2,0.0,0.0,654.0,2,-1.1,,14
3201,1,4,15,0,1,0,0.0,0.0,63.0,0,-1.0,,1
3466,2,4,134,0,21,0,0.0,0.0,1995.0,2,-1.1,,21
3401,3,4,81,0,12,0,0.0,0.0,462.0,2,-1.1,,12
3735,0,5,218,0,35,0,0.0,0.0,4833.0,1,-1.1,,35
3537,1,5,21,1,2,0,0.0,5.000000000000002,119.0,0,-0.1999999999999999,,3
3501,2,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,,0
3538,3,5,21,0,2,0,0.0,0.0,114.0,0,-1.0,,2
3878,0,6,51,0,8,2,0.6,5.999999999999999,405.0,2,-1.1,,8
3817,1,6,21,1,2,1,0.0,5.000000000000003,131.0,0,-1.0,,3
3902,2,6,74,0,11,2,0.0,0.0,1137.0,2,-1.1,,11
3819,3,6,21,0,2,0,0.0,0.0,120.0,0,-1.0,,2
4031,0,7,33,1,4,1,0.0,5.000000000000003,191.0,0,-0.1999999999999999,,5
4086,1,7,51,0,7,0,0.0,0.0,267.0,1,-1.1,,7
5985,2,7,1000,2,179,15,8.200000000000081,94.0000000000008,42852.0,0,1.0,,181
5986,3,7,1000,0,187,0,13.0000000000001,130.000000000001,50052.0,0,1.0,,187
6177,0,8,63,1,9,0,0.0,5.000000000000006,410.0,4,-1.1,,10
6044,1,8,15,1,1,1,0.0,5.000000000000001,92.0,0,-0.1999999999999999,,2
6249,2,8,134,0,21,0,0.0,0.0,2511.0,2,-1.1,,21
6154,3,8,51,0,7,0,0.0,0.0,297.0,0,-1.0,,7
6306,0,9,15,0,1,0,0.0,0.0,81.0,0,-1.0,,1
6379,1,9,39,0,5,0,0.0,0.0,189.0,0,-1.0,,5
6486,2,9,92,0,14,0,0.0,0.0,780.0,1,-1.1,,14
6601,3,9,206,0,33,0,0.0,0.0,2445.0,3,-1.1,,33
6937,0,10,273,0,44,0,0.0,0.0,11106.0,1,-1.1,,44
6659,1,10,15,0,1,0,0.0,0.0,69.0,0,-1.0,,1
6678,2,10,21,0,2,0,0.0,0.0,120.0,4,-1.1,,2
6691,3,10,27,1,3,0,0.0,5.000000000000003,158.0,0,-0.1999999999999999,,4
7090,0,11,39,1,5,3,0.0,5.000000000000002,290.0,0,-1.0,,6
7091,1,11,39,1,5,1,0.0,5.000000000000006,236.0,2,-1.1,,6
9014,2,11,1000,0,178,16,7.600000000000088,76.00000000000088,41154.0,0,1.0,,178
9015,3,11,1000,1,179,0,8.200000000000166,88.00000000000165,49482.0,0,1.8,,180
10927,0,12,627,0,103,53,0.0,0.0,21153.0,1,-1.1,,103
9145,1,12,33,1,4,1,0.0,5.000000000000005,173.0,0,-0.1999999999999999,,5
11674,2,12,1000,1,177,41,7.000000000000258,76.00000000000257,69708.0,0,1.0,,178
11675,3,12,1000,0,184,16,11.200000000000236,112.00000000000236,65718.0,1,1.8,,184
14718,0,13,1000,1,182,57,10.000000000000162,106.0000000000016,60114.0,0,1.0,,183
14719,1,13,1000,2,173,28,4.600000000000012,58.00000000000012,39978.0,1,1.8,,175
11854,2,13,45,0,6,2,0.0,0.0,324.0,1,-1.1,,6
14720,3,13,1000,0,188,29,13.600000000000191,136.0000000000019,75336.0,0,1.0,,188
14801,0,14,21,1,2,0,0.0,5.000000000000002,95.0,0,-0.1999999999999999,,3
15108,1,14,123,1,19,0,0.0,5.0,968.0,0,-0.1999999999999999,,20
16863,2,14,1000,1,175,10,5.800000000000064,64.00000000000063,36762.0,0,1.8,,176
16864,3,14,1000,0,175,0,5.8000000000001615,58.00000000000161,42384.0,0,1.0,,175
17709,0,15,525,0,86,0,0.0,0.0,22080.0,1,-1.1,,86
16898,1,15,9,0,0,1,0.0,0.0,42.0,0,-1.0,,0
16917,2,15,15,0,1,1,0.0,0.0,99.0,1,-1.1,,1
17480,3,15,296,0,48,0,0.0,0.0,4494.0,3,-1.1,,48
18357,0,16,591,0,97,0,0.0,0.0,26157.0,1,-1.1,,97
17762,1,16,15,1,1,0,0.0,5.000000000000002,104.0,0,-1.0,,2
17744,2,16,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
17799,3,16,33,0,4,0,0.0,0.0,204.0,0,-1.0,,4
18813,0,17,405,0,66,1,0.0,0.0,17856.0,1,-1.1,,66
18429,1,17,21,0,2,0,0.0,0.0,132.0,0,-1.0,,2
18416,2,17,15,0,1,0,0.0,0.0,75.0,1,-1.1,,1
18417,3,17,15,1,1,0,0.0,5.000000000000002,74.0,0,-0.1999999999999999,,2
18974,0,18,69,2,10,4,0.0,11.000000000000009,533.0,0,-0.1999999999999999,,12
18866,1,18,15,1,1,0,0.0,5.000000000000002,74.0,0,-0.1999999999999999,,2
18998,2,18,92,0,14,2,0.0,0.0,1182.0,2,-1.1,,14
18849,3,18,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
19634,0,19,537,0,88,0,0.0,0.0,21072.0,1,-1.1,,88
19075,1,19,21,1,2,0,0.0,5.000000000000002,95.0,0,-0.1999999999999999,,3
19057,2,19,15,0,1,0,0.0,0.0,75.0,1,-1.1,,1
19160,3,19,63,0,9,0,0.0,0.0,357.0,0,-1.0,,9
19848,0,20,57,0,8,4,0.0,0.0,426.0,2,-1.1,,8
19812,1,20,45,1,6,2,0.0,5.000000000000003,305.0,0,-0.1999999999999999,,7
21735,2,20,1000,0,177,11,7.000000000000133,70.00000000000132,45852.0,0,1.0,,177
21736,3,20,1000,1,179,0,8.200000000000196,88.00000000000196,53136.0,0,1.8,,180
24725,0,21,1000,0,175,62,5.800000000000084,58.00000000000084,38094.0,1,1.8,,175
21794,1,21,15,0,1,1,0.0,0.0,69.0,0,-1.0,,1
