,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
32,0,1,10,1,0,0,0.0,5.000000000000001,71.0,2,-1.1,,1
362,1,1,159,1,25,2,0.0,5.99999999999999,1749.0,0,-0.1999999999999999,,26
1204,2,1,1000,0,182,1,10.100000000000184,101.00000000000182,67400.0,0,1.0,,182
125,3,1,40,0,5,1,0.0,0.0,291.0,2,-1.1,,5
1280,0,2,21,0,2,1,0.0,0.0,126.0,3,-1.1,,2
1317,1,2,39,0,5,1,0.0,0.0,219.0,3,-1.1,,5
2279,2,2,1000,0,181,0,9.40000000000015,94.00000000000148,57480.0,0,1.0,,181
1264,3,2,15,1,1,0,0.0,5.000000000000001,62.0,0,-0.1999999999999999,,2
2312,0,3,9,1,0,0,0.0,5.000000000000001,77.0,2,-1.1,,1
2331,1,3,15,0,1,0,0.0,0.0,81.0,2,-1.1,,1
2771,2,3,447,9,73,0,0.0,52.99999999999999,13046.0,4,-1.1,,82
2345,3,3,21,1,2,0,0.0,5.000000000000003,155.0,0,-1.0,,3
2804,0,4,9,1,0,0,0.0,5.000000000000001,71.0,2,-1.1,,1
3004,1,4,99,1,15,0,0.0,5.00000000000001,740.0,0,-0.1999999999999999,,16
3203,2,4,297,9,48,0,0.0,52.99999999999999,6557.0,4,-1.1,,57
2861,3,4,27,0,3,0,0.0,0.0,117.0,2,-1.1,,3
3260,0,5,15,0,1,1,0.0,0.0,87.0,0,-1.0,,1
3340,1,5,45,0,6,2,0.0,0.0,324.0,2,-1.1,,6
3653,2,5,357,9,58,0,0.0,52.99999999999999,11969.0,4,-1.1,,67
3317,3,5,33,0,4,0,0.0,0.0,144.0,2,-1.1,,4
3686,0,6,9,1,0,0,0.0,5.000000000000001,59.0,2,-1.1,,1
3705,1,6,15,1,1,0,0.0,5.000000000000002,98.0,3,-1.1,,2
3837,2,6,92,1,14,0,0.0,5.999999999999993,822.0,0,-1.0,,15
3813,3,6,68,1,10,0,0.0,5.999999999999966,876.0,0,-1.0,,11
5914,0,7,1000,1,178,13,7.600000000000227,82.00000000000226,79932.0,2,0.9,,179
4040,1,7,63,0,9,3,0.0,0.0,447.0,2,-1.1,,9
5915,2,7,1000,1,183,14,10.600000000000264,112.0000000000026,88398.0,0,1.0,,184
3897,3,7,15,0,1,0,0.0,0.0,57.0,0,-1.0,,1
7955,0,8,1000,0,183,39,10.60000000000026,106.0000000000026,95436.0,0,1.0,,183
6019,1,8,32,0,4,2,0.0,0.0,318.0,2,-1.1,,4
7956,2,8,1000,6,171,0,3.399999999999967,69.99999999999966,64194.0,3,0.9,,177
5951,3,8,9,0,0,0,0.0,0.0,36.0,3,-1.1,,0
7989,0,9,9,1,0,0,0.0,5.000000000000001,77.0,2,-1.1,,1
8008,1,9,15,1,1,0,0.0,5.000000000000001,74.0,0,-0.1999999999999999,,2
9144,2,9,1000,0,184,0,11.200000000000214,112.00000000000212,70830.0,1,1.8,,184
8308,3,9,164,0,26,1,0.0,0.0,1884.0,0,-1.0,,26
9481,0,10,104,2,16,4,0.0,11.99999999999997,1158.0,0,-0.1999999999999999,,18
11274,1,10,1000,2,174,39,5.200000000000077,64.00000000000077,42096.0,0,1.8,,176
11275,2,10,1000,0,176,54,6.400000000000143,64.00000000000142,50712.0,0,1.0,,176
9252,3,10,27,0,3,0,0.0,0.0,165.0,2,-1.1,,3
14270,0,11,1000,0,171,68,3.4000000000001256,34.00000000000125,51030.0,1,1.8,,171
14271,1,11,1000,1,183,40,10.600000000000156,112.00000000000156,88752.0,0,1.8,,184
14221,2,11,975,0,161,6,0.0,0.0,54813.0,3,-1.1,,161
11359,3,11,21,2,2,0,0.0,11.0,185.0,2,-1.1,,4
16336,0,12,1000,0,183,34,10.600000000000248,106.00000000000249,90288.0,3,1.9,,183
14414,1,12,39,0,5,1,0.0,0.0,201.0,2,-1.1,,5
16337,2,12,1000,4,173,0,4.599999999999971,69.99999999999972,58308.0,0,1.0,,177
14379,3,12,27,0,3,0,0.0,0.0,135.0,3,-1.1,,3
18366,0,13,1000,0,183,3,10.600000000000238,106.00000000000236,79158.0,1,1.8,,183
16395,1,13,15,0,1,0,0.0,0.0,81.0,2,-1.1,,1
18367,2,13,1000,1,182,9,10.000000000000242,106.0000000000024,81810.0,0,1.0,,183
16397,3,13,15,0,1,1,0.0,0.0,87.0,3,-1.1,,1
19418,0,14,1000,6,195,0,17.799999999999606,213.99999999999608,150684.0,3,0.9,,201
18420,1,14,15,1,1,1,0.0,5.000000000000002,74.0,0,-0.1999999999999999,,2
18402,2,14,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
18445,3,14,27,2,3,1,0.0,11.0,248.0,0,-0.1999999999999999,,5
21465,0,15,1000,0,181,8,9.400000000000237,94.00000000000236,77688.0,0,1.0,,181
19452,1,15,9,1,0,0,0.0,5.000000000000001,59.0,4,-1.1,,1
21466,2,15,1000,1,179,19,8.200000000000234,88.00000000000233,81348.0,1,1.8,,180
19544,3,15,39,0,5,0,0.0,0.0,195.0,3,-1.1,,5
21627,0,16,51,0,7,2,0.0,0.0,315.0,1,-1.1,,7
21700,1,16,123,3,19,0,0.0,17.000000000000004,1298.0,0,-1.0,,22
21616,2,16,45,0,6,0,0.0,0.0,270.0,0,-1.0,,6
21526,3,16,15,1,1,0,0.0,5.000000000000002,86.0,0,-0.1999999999999999,,2
24737,0,17,1000,2,169,63,2.199999999999951,33.9999999999995,29190.0,0,1.8,,171
24738,1,17,1000,0,182,16,10.000000000000204,100.00000000000205,79050.0,1,0.9,,182
24739,2,17,1000,0,167,3,0.9999999999999956,9.999999999999956,27444.0,0,1.0,,167
21856,3,17,39,1,5,2,0.0,5.000000000000001,278.0,0,-0.1999999999999999,,6
27746,0,18,1000,3,177,43,7.000000000000183,88.00000000000182,59934.0,4,0.9,,180
27747,1,18,1000,0,192,25,16.000000000000057,160.00000000000057,79254.0,2,1.9,,192
27748,2,18,1000,0,184,13,11.200000000000236,112.00000000000236,78426.0,0,1.0,,184
24775,3,18,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,,1
27853,0,19,27,1,3,2,0.0,5.000000000000003,152.0,0,-0.1999999999999999,,4
27872,1,19,33,0,4,2,0.0,0.0,228.0,2,-1.1,,4
28853,2,19,1000,0,181,0,9.400000000000205,94.00000000000205,65826.0,4,0.9,,181
27898,3,19,45,1,6,0,0.0,5.000000000000005,233.0,0,-1.0,,7
30918,0,20,1000,0,183,31,10.600000000000245,106.00000000000244,89352.0,0,1.0,,183
28996,1,20,39,0,5,0,0.0,0.0,219.0,2,-1.1,,5
30919,2,20,1000,6,171,0,3.3999999999999635,69.99999999999962,55686.0,3,0.9,,177
28961,3,20,27,0,3,0,0.0,0.0,135.0,0,-1.0,,3
33950,0,21,1000,1,177,63,7.000000000000176,76.00000000000175,61272.0,0,1.0,,178
33951,1,21,1000,1,187,49,13.000000000000169,136.00000000000165,73998.0,0,1.0,,188
33952,2,21,1000,1,180,12,8.800000000000228,94.00000000000227,76392.0,0,1.8,,181
31051,3,21,33,0,4,2,0.0,0.0,204.0,0,-1.0,,4
34057,0,22,27,0,3,1,0.0,0.0,141.0,4,-1.1,,3
36005,1,22,1000,3,173,44,4.600000000000059,64.00000000000058,35712.0,0,1.0,,176
36006,2,22,1000,0,179,61,8.200000000000118,82.00000000000118,45006.0,1,1.8,,179
34060,3,22,27,0,3,0,0.0,0.0,135.0,2,-1.1,,3
36039,0,23,9,1,0,0,0.0,5.000000000000001,71.0,2,-1.1,,1
36143,1,23,57,0,8,1,0.0,0.0,312.0,2,-1.1,,8
37087,2,23,1000,0,182,0,10.000000000000224,100.00000000000225,65286.0,4,0.9,,182
36060,3,23,15,0,1,0,0.0,0.0,63.0,2,-1.1,,1
37259,0,24,51,0,7,2,0.0,0.0,309.0,4,-1.1,,7
37294,1,24,68,0,10,1,0.0,0.0,744.0,2,-1.1,,10
38227,2,24,1000,0,181,0,9.40000000000023,94.00000000000227,79878.0,0,1.0,,181
37171,3,24,21,0,2,1,0.0,0.0,126.0,0,-1.0,,2
40304,0,25,1000,1,181,4,9.400000000000244,100.00000000000244,80028.0,0,1.8,,182
38406,1,25,51,0,7,2,0.0,0.0,357.0,2,-1.1,,7
40305,2,25,1000,1,181,10,9.400000000000263,100.00000000000264,82410.0,0,1.0,,182
38335,3,25,27,0,3,1,0.0,0.0,123.0,3,-1.1,,3
42382,0,26,1000,0,170,53,2.800000000000043,28.000000000000423,36072.0,0,1.0,,170
42383,1,26,1000,0,183,12,10.600000000000234,106.00000000000232,79716.0,3,0.9,,183
40485,2,26,51,0,7,0,0.0,0.0,279.0,0,-1.0,,7
40413,3,26,27,1,3,0,0.0,5.000000000000002,122.0,0,-1.0,,4
43422,0,27,1000,5,197,0,19.000000000000068,220.00000000000065,119106.0,1,1.8,,202
42436,1,27,15,0,1,0,0.0,0.0,75.0,1,-1.1,,1
42437,2,27,15,0,1,0,0.0,0.0,57.0,0,-1.0,,1
42419,3,27,9,0,0,0,0.0,0.0,36.0,3,-1.1,,0
45457,0,28,1000,0,184,31,11.20000000000025,112.00000000000249,90306.0,1,1.8,,184
43456,1,28,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,,1
45458,2,28,1000,5,172,0,3.999999999999968,69.99999999999967,55608.0,1,1.8,,177
43512,3,28,27,1,3,0,0.0,5.000000000000003,158.0,0,-1.0,,4
46491,0,29,1000,5,196,0,18.39999999999968,213.9999999999968,142068.0,0,1.0,,201
45506,1,29,15,0,1,0,0.0,0.0,57.0,1,-1.1,,1
45493,2,29,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,,1
45494,3,29,9,0,0,0,0.0,0.0,36.0,3,-1.1,,0
48526,0,30,1000,1,183,32,10.600000000000245,112.00000000000242,87186.0,0,1.8,,184
46580,1,30,27,1,3,0,0.0,5.000000000000003,146.0,0,-1.0,,4
48527,2,30,1000,4,172,0,3.999999999999965,63.999999999999645,54816.0,0,1.0,,176
46527,3,30,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
48579,0,31,15,0,1,0,0.0,0.0,75.0,1,-1.1,,1
