,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1161,0,1,1000,1,218,2,31.699999999999573,322.9999999999957,146540.0,0,1.0,,219
266,1,1,105,0,16,1,0.0,0.0,1560.0,0,-1.0,,16
102,2,1,27,0,3,4,0.0,0.0,219.0,3,-1.1,,3
124,3,1,34,0,4,2,0.0,0.0,168.0,3,-1.1,,4
3290,0,2,1000,1,209,80,26.19999999999969,267.9999999999969,141894.0,0,1.0,,210
1335,1,2,44,1,6,5,0.0,5.999999999999993,528.0,0,-0.1999999999999999,,7
3291,2,2,1000,4,194,73,17.200000000000102,196.000000000001,105246.0,0,1.8,,198
1463,3,2,86,0,13,8,0.0,0.0,807.0,0,-1.0,,13
4455,0,3,1000,2,219,0,32.199999999999555,333.9999999999956,159672.0,0,1.8,,221
3559,1,3,104,0,16,0,0.0,0.0,1404.0,0,-1.0,,16
3429,2,3,39,1,5,0,0.0,5.000000000000005,254.0,0,-1.0,,6
3375,3,3,21,1,2,0,0.0,5.000000000000002,113.0,0,-0.1999999999999999,,3
4632,0,4,56,0,8,3,0.0,0.0,546.0,1,-1.1,,8
4513,1,4,15,1,1,0,0.0,5.000000000000002,86.0,0,-1.0,,2
4622,2,4,51,0,7,0,0.0,0.0,357.0,0,-1.0,,7
5577,3,4,1000,3,166,1,0.3999999999999667,21.999999999999662,30288.0,0,1.0,,169
7731,0,5,1000,1,211,98,27.399999999999583,279.99999999999585,149370.0,3,1.9,,212
5635,1,5,15,1,1,0,0.0,5.000000000000002,116.0,0,-1.0,,2
7732,2,5,1000,3,196,83,18.400000000000095,202.00000000000097,110178.0,0,1.0,,199
6012,3,5,140,0,22,8,0.0,0.0,1356.0,3,-1.1,,22
8890,0,6,1000,2,208,2,25.599999999999596,267.9999999999959,138678.0,0,1.8,,210
7977,1,6,87,0,13,1,0.0,0.0,597.0,3,-1.1,,13
7903,2,6,50,1,7,2,0.0,5.999999999999997,441.0,0,-1.0,,8
7816,3,6,21,0,2,0,0.0,0.0,138.0,0,-1.0,,2
11350,0,7,1000,2,203,86,22.59999999999991,237.99999999999903,92340.0,0,1.8,,205
9044,1,7,39,1,5,2,0.0,5.000000000000005,368.0,0,-1.0,,6
11351,2,7,1000,3,188,43,13.600000000000128,154.00000000000125,70122.0,0,1.0,,191
10195,3,7,422,0,69,45,0.0,0.0,8163.0,3,-1.1,,69
11566,0,8,81,0,12,2,0.0,0.0,648.0,3,-1.1,,12
11409,1,8,15,1,1,0,0.0,5.000000000000002,110.0,0,-1.0,,2
11482,2,8,39,0,5,0,0.0,0.0,213.0,1,-1.1,,5
11615,3,8,129,0,20,1,0.0,0.0,846.0,1,-1.1,,20
12186,0,9,218,0,35,3,0.0,0.0,2895.0,1,-1.1,,35
11898,1,9,74,2,11,5,0.0,11.999999999999998,1047.0,0,-1.0,,13
11862,2,9,62,1,9,6,0.0,5.999999999999993,585.0,0,-1.0,,10
12969,3,9,1000,3,168,1,1.5999999999999654,33.99999999999965,26574.0,0,1.0,,171
13728,0,10,338,0,55,1,0.0,0.0,3807.0,1,-1.1,,55
13166,1,10,57,1,8,3,0.0,5.000000000000001,743.0,0,-1.0,,9
13076,2,10,27,0,3,2,0.0,0.0,147.0,4,-1.1,,3
14391,3,10,1000,3,170,0,2.799999999999969,45.999999999999694,25380.0,1,1.8,,173
16438,0,11,1000,0,205,13,23.79999999999973,237.99999999999733,130944.0,0,1.0,,205
14449,1,11,15,1,1,0,0.0,5.000000000000002,86.0,0,-1.0,,2
