,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.07207207207207207,0.0,0.0,0.7000000000000001,7.4324324324324325,15.432432432432432,0.0,999
1,1.0,1.0,0.035035035035035036,0.0,0.0,0.7000000000000001,7.21021021021021,15.21021021021021,0.0,999
2,1.0,2.0,0.05105105105105105,0.0,0.0,0.7000000000000001,7.306306306306307,15.306306306306306,0.0,999
3,1.0,3.0,0.03303303303303303,0.0,0.0,0.7000000000000001,7.198198198198198,15.198198198198199,0.0,999
4,2.0,0.0,0.223,0.024,0.068,0.6145000000000002,7.4830000000000005,22.824,0.0,1000
5,2.0,1.0,0.106,0.108,0.008,0.6649,7.285000000000001,22.224,0.0,1000
6,2.0,2.0,0.141,0.038,0.019,0.6229000000000001,7.075000000000001,22.356,0.0,1000
7,2.0,3.0,0.123,0.02,0.018,0.6121000000000001,6.859000000000001,22.026,0.0,1000
8,3.0,0.0,0.299,0.112,0.256,0.5673,7.4670000000000005,30.147,0.0,1000
9,3.0,1.0,0.145,0.403,0.027,0.7419000000000001,8.289,29.859,0.0,1000
10,3.0,2.0,0.243,0.17,0.059,0.6021000000000002,7.479000000000001,29.703,0.0,1000
11,3.0,3.0,0.179,0.087,0.089,0.5523,6.597000000000001,28.593,0.0,1000
12,4.0,0.0,0.443,0.196,0.263,0.5177,7.835,37.97,0.0,1000
13,4.0,1.0,0.206,0.527,0.047,0.7163,8.399,38.228,0.0,1000
14,4.0,2.0,0.273,0.376,0.059,0.6257,7.895,37.538,0.0,1000
15,4.0,3.0,0.304,0.129,0.096,0.47750000000000004,6.599000000000001,35.192,0.0,1000
16,5.0,0.0,0.51,0.306,0.271,0.48370000000000013,7.897,45.861,0.0,1000
17,5.0,1.0,0.214,0.716,0.055,0.7297,8.581,46.785,0.0,1000
18,5.0,2.0,0.245,0.592,0.06,0.6553000000000001,8.023,45.549,0.0,1000
19,5.0,3.0,0.38,0.252,0.098,0.4513000000000001,6.793000000000001,41.985,0.0,1000
20,6.0,0.0,0.494,0.474,0.28,0.48450000000000004,7.809000000000001,53.652,0.0,1000
21,6.0,1.0,0.177,0.931,0.063,0.7587,8.649,55.386,0.0,1000
22,6.0,2.0,0.185,0.811,0.063,0.6867000000000001,7.977000000000001,53.496,0.0,1000
23,6.0,3.0,0.25,0.522,0.105,0.5133000000000001,6.633000000000001,48.606,0.0,1000
24,7.0,0.0,0.39,0.701,0.3,0.5207,7.547000000000001,61.187,0.0,1000
25,7.0,1.0,0.147,1.114,0.075,0.7685,8.567,63.917,0.0,1000
26,7.0,2.0,0.185,0.989,0.073,0.6935000000000001,8.045000000000002,61.499,0.0,1000
27,7.0,3.0,0.22,0.721,0.112,0.5327000000000002,6.647000000000001,55.211,0.0,1000
28,8.0,0.0,0.312,0.899,0.342,0.5395000000000001,7.267000000000001,68.388,0.0,1000
29,8.0,1.0,0.167,1.311,0.092,0.7867000000000001,8.869,72.558,0.0,1000
30,8.0,2.0,0.188,1.165,0.105,0.6991,8.119000000000002,69.552,0.0,1000
31,8.0,3.0,0.127,0.911,0.143,0.5467000000000002,6.229000000000001,61.416,0.0,1000
32,9.0,0.0,0.21,1.108,0.397,0.5720000000000001,6.914000000000001,75.278,0.0,1000
33,9.0,1.0,0.166,1.532,0.114,0.8256,9.22,81.604,0.0,1000
34,9.0,2.0,0.165,1.355,0.127,0.7158000000000001,8.129,77.597,0.0,1000
35,9.0,3.0,0.159,1.006,0.177,0.5124000000000002,6.042000000000001,67.434,0.0,1000
36,10.0,0.0,0.30355220667384286,1.256189451022605,0.4058127018299246,0.5538213132400431,7.359526372443488,83.55328310010765,0.0,929
37,10.0,1.0,0.19743863393810032,1.759871931696905,0.12913553895410887,0.8560298826040554,9.744930629669156,94.1803628601921,0.0,937
38,10.0,2.0,0.21377183967112023,1.5323741007194245,0.12127440904419322,0.7196300102774923,8.478931140801645,87.02774922918807,0.0,973
39,10.0,3.0,0.23986856516976998,1.1511500547645126,0.17305585980284777,0.4907995618838994,6.347207009857613,76.42168674698796,0.0,913
40,11.0,0.0,0.38105489773950485,1.386437029063509,0.41442411194833156,0.5319698600645857,7.606027987082886,91.15285252960172,0.0,929
41,11.0,1.0,0.18676627534685167,1.9381003201707578,0.13874066168623267,0.8629669156883671,9.750266808964781,103.90501600853788,0.0,937
42,11.0,2.0,0.24279835390946503,1.73559670781893,0.12242798353909465,0.741358024691358,8.87037037037037,95.91975308641975,0.0,972
43,11.0,3.0,0.307776560788609,1.2595837897042717,0.18072289156626506,0.45585980284775485,6.405257393209202,82.82037239868565,0.0,913
44,12.0,0.0,0.4155005382131324,1.5651237890204521,0.4294940796555436,0.5391819160387514,7.884822389666309,99.005382131324,0.0,929
45,12.0,1.0,0.20704375667022412,2.113127001067236,0.15048025613660618,0.867982924226254,9.922091782283884,113.77588046958378,0.0,937
46,12.0,2.0,0.18724279835390947,1.9753086419753085,0.12654320987654322,0.7851851851851852,8.975308641975309,104.85185185185185,0.0,972
47,12.0,3.0,0.20700985761226726,1.5038335158817087,0.18948521358159912,0.502409638554217,6.266155531215773,89.07995618838993,0.0,913
48,13.0,0.0,0.3153928955866523,1.836383207750269,0.44994617868675996,0.6019375672766417,7.91173304628633,106.91065662002153,0.0,929
49,13.0,1.0,0.1536819637139808,2.3255069370330843,0.16969050160085378,0.8954108858057631,9.876200640341516,123.5624332977588,0.0,937
50,13.0,2.0,0.2139917695473251,2.161522633744856,0.13786008230452676,0.7969135802469136,9.253086419753087,114.03086419753086,0.0,972
51,13.0,3.0,0.20700985761226726,1.6670317634173055,0.2004381161007667,0.5003285870755753,6.245345016429356,95.31215772179628,0.0,913
52,14.0,0.0,0.27341227125941875,2.022604951560818,0.4897739504843918,0.613670613562971,7.777179763186223,114.66846071044134,0.0,929
53,14.0,1.0,0.17502668089647813,2.5005336179295625,0.18569903948772679,0.9004268943436499,10.054429028815367,133.45677694770544,0.0,937
54,14.0,2.0,0.17695473251028807,2.380658436213992,0.15432098765432098,0.828395061728395,9.345679012345679,123.30864197530865,0.0,972
55,14.0,3.0,0.17305585980284777,1.83789704271632,0.2157721796276013,0.5028477546549838,6.0668127053669245,101.3592552026287,0.0,913
56,15.0,0.0,0.20990312163616792,2.223896663078579,0.5339074273412271,0.6405812701829926,7.620021528525297,122.27556512378902,0.0,929
57,15.0,1.0,0.2198505869797225,2.6915688367129134,0.20490928495197439,0.9207043756670223,10.499466382070436,143.80896478121664,0.0,937
58,15.0,2.0,0.1831275720164609,2.5565843621399176,0.1748971193415638,0.8381687242798354,9.462962962962964,132.7037037037037,0.0,972
59,15.0,3.0,0.17524644030668127,1.9748083242059147,0.2475355969331873,0.49759036144578334,5.978094194961666,107.31763417305586,0.0,913
60,16.0,0.0,0.32224770642201833,2.3887614678899083,0.5435779816513762,0.6333715596330276,8.267201834862387,132.55275229357798,0.0,872
61,16.0,1.0,0.2251131221719457,2.9479638009049776,0.22058823529411764,0.968891402714932,11.039592760180993,159.0497737556561,0.0,884
62,16.0,2.0,0.200859291084855,2.7937701396348014,0.16970998925886144,0.8762620837808808,9.967776584317937,145.1342642320086,0.0,931
63,16.0,3.0,0.23809523809523808,2.1766917293233083,0.2531328320802005,0.5061403508771931,6.48997493734336,118.49874686716792,0.0,798
64,17.0,0.0,0.34059633027522934,2.5768348623853212,0.551605504587156,0.6462155963302754,8.50573394495413,141.0309633027523,0.0,872
65,17.0,1.0,0.2228506787330317,3.1266968325791855,0.2330316742081448,0.9761312217194569,11.098416289592759,170.1346153846154,0.0,884
66,17.0,2.0,0.21911922663802363,2.9849624060150375,0.17293233082706766,0.8909774436090225,10.224489795918368,155.30075187969925,0.0,931
67,17.0,3.0,0.24561403508771928,2.31203007518797,0.2619047619047619,0.48734335839599013,6.347117794486218,124.84586466165413,0.0,798
68,18.0,0.0,0.3738532110091743,2.751146788990826,0.5665137614678899,0.6508027522935781,8.751146788990827,149.7683486238532,0.0,872
69,18.0,1.0,0.18665158371040724,3.3099547511312215,0.24660633484162897,0.9860859728506786,10.980769230769228,181.06787330316743,0.0,884
70,18.0,2.0,0.20945220193340494,3.1933404940923737,0.17722878625134264,0.9160042964554242,10.41675617615467,165.67239527389904,0.0,931
71,18.0,3.0,0.21804511278195488,2.507518796992481,0.2669172932330827,0.504636591478697,6.354636591478699,131.17794486215539,0.0,798
72,19.0,0.0,0.28440366972477066,3.021788990825688,0.5837155963302753,0.7131880733944955,8.838302752293579,158.56536697247705,0.0,872
73,19.0,1.0,0.1753393665158371,3.4581447963800906,0.2669683257918552,0.9749999999999999,10.80203619909502,191.8156108597285,0.0,884
74,19.0,2.0,0.2083780880773362,3.4027926960257786,0.18689581095596133,0.9416756176154671,10.667024704618688,176.2749731471536,0.0,931
75,19.0,3.0,0.22807017543859648,2.674185463659148,0.2794486215538847,0.504636591478697,6.414786967418548,137.57769423558898,0.0,798
76,20.0,0.0,0.26146788990825687,3.2029816513761467,0.6238532110091743,0.7219036697247708,8.78784403669725,167.3119266055046,0.0,872
77,20.0,1.0,0.22058823529411764,3.6368778280542986,0.2873303167420814,0.9822398190045246,11.145927601809953,202.7443438914027,0.0,884
78,20.0,2.0,0.19871106337271752,3.60687432867884,0.2083780880773362,0.9641245972073039,10.833512352309343,187.0375939849624,0.0,931
79,20.0,3.0,0.17293233082706766,2.857142857142857,0.30451127819548873,0.5144110275689225,6.181704260651632,143.75187969924812,0.0,798
80,21.0,0.0,0.26036866359447003,3.402073732718894,0.6682027649769585,0.7457373271889401,8.98963133640553,176.24308755760367,0.0,868
81,21.0,1.0,0.2036405005688282,3.863481228668942,0.29806598407281,1.0229806598407278,11.425483503981793,214.16951080773606,0.0,879
82,21.0,2.0,0.1913978494623656,3.806451612903226,0.22043010752688172,0.9872043010752687,10.999999999999998,198.03225806451613,0.0,930
83,21.0,3.0,0.18946047678795483,2.984943538268507,0.328732747804266,0.505520702634881,6.13550815558344,149.79673776662483,0.0,797
84,22.0,0.0,0.2819277108433735,3.6325301204819276,0.6759036144578313,0.7796385542168675,9.487951807228916,188.27951807228916,0.0,830
85,22.0,1.0,0.1827956989247312,4.105137395459976,0.3058542413381123,1.0632019115890081,11.728793309438466,230.92353643966547,0.0,837
86,22.0,2.0,0.1724137931034483,4.040044493882092,0.21802002224694106,1.0240266963292546,11.274749721913235,212.27919911012236,0.0,899
87,22.0,3.0,0.20527859237536658,3.222873900293255,0.34750733137829914,0.5338709677419357,6.570381231671557,162.4868035190616,0.0,682
88,23.0,0.0,0.3253012048192771,3.8012048192771086,0.689156626506024,0.7808433734939759,9.760240963855422,198.03975903614457,0.0,830
89,23.0,1.0,0.22341696535244923,4.2389486260454,0.3237753882915173,1.0434886499402625,11.77538829151732,242.65591397849462,0.0,837
90,23.0,2.0,0.19577308120133483,4.218020022246941,0.21913236929922136,1.0308120133481644,11.482758620689653,223.72191323692994,0.0,899
91,23.0,3.0,0.2697947214076246,3.3475073313782993,0.35043988269794724,0.5086510263929621,6.705278592375369,169.17448680351907,0.0,682
92,24.0,0.0,0.3072289156626506,4.0204819277108435,0.7060240963855422,0.812409638554217,9.967469879518072,207.9710843373494,0.0,830
93,24.0,1.0,0.2114695340501792,4.416965352449224,0.35005973715651134,1.0502986857825565,11.771804062126638,254.33452807646356,0.0,837
94,24.0,2.0,0.203559510567297,4.423804226918799,0.22691879866518352,1.054282536151279,11.764182424916571,235.41268075639599,0.0,899
95,24.0,3.0,0.20967741935483872,3.532258064516129,0.3548387096774194,0.5195014662756601,6.453079178885633,175.61876832844575,0.0,682
96,25.0,0.0,0.25903614457831325,4.246987951807229,0.7228915662650602,0.8483132530120482,10.037349397590361,217.99397590361446,0.0,830
97,25.0,1.0,0.1971326164874552,4.587813620071684,0.3715651135005974,1.0528076463560332,11.710872162485062,265.973715651135,0.0,837
98,25.0,2.0,0.19911012235817574,4.627363737486096,0.24026696329254726,1.0764182424916573,11.958843159065625,247.3114571746385,0.0,899
99,25.0,3.0,0.250733137829912,3.696480938416422,0.3621700879765396,0.518035190615836,6.684750733137832,182.28592375366568,0.0,682
100,26.0,0.0,0.27349397590361446,4.430120481927711,0.7578313253012048,0.8581927710843374,10.22289156626506,228.17349397590363,0.0,830
101,26.0,1.0,0.1983273596176822,4.774193548387097,0.3811230585424134,1.0646356033452804,11.836320191158897,277.6594982078853,0.0,837
102,26.0,2.0,0.20689655172413793,4.823136818687431,0.24582869855394884,1.093882091212458,12.180200222469406,259.4516129032258,0.0,899
103,26.0,3.0,0.23607038123167157,3.8607038123167157,0.39882697947214074,0.516568914956012,6.582111436950149,188.85923753665688,0.0,682
104,27.0,0.0,0.25090470446320867,4.6079613992762365,0.8009650180940893,0.8688781664656212,10.166465621230397,238.3437876960193,0.0,829
105,27.0,1.0,0.21660649819494585,4.968712394705174,0.38748495788206977,1.0861612515042112,12.137184115523459,289.87364620938627,0.0,831
106,27.0,2.0,0.18415178571428573,5.035714285714286,0.24553571428571427,1.1248883928571425,12.334821428571425,271.86160714285717,0.0,896
107,27.0,3.0,0.20913107511045656,4.011782032400589,0.4182621502209131,0.5222385861561122,6.413843888070693,195.05154639175257,0.0,679
108,28.0,0.0,0.3278894472361809,4.810301507537688,0.8153266331658291,0.8863065326633166,10.830402010050252,252.25879396984925,0.0,796
109,28.0,1.0,0.20859671302149177,5.206068268015171,0.4108723135271808,1.123767383059418,12.489254108723129,309.2490518331226,0.0,791
110,28.0,2.0,0.2115606936416185,5.2739884393063585,0.23468208092485549,1.1643930635838147,12.913294797687858,289.0057803468208,0.0,865
111,28.0,3.0,0.24610051993067592,4.263431542461006,0.43500866551126516,0.5582322357019066,7.058925476603122,210.14904679376085,0.0,577
112,29.0,0.0,0.3278894472361809,5.016331658291457,0.8341708542713567,0.9099246231155779,11.066582914572864,263.3253768844221,0.0,796
113,29.0,1.0,0.2528445006321112,5.370417193426043,0.42098609355246525,1.1223767383059413,12.740834386852079,321.9140328697851,0.0,791
114,29.0,2.0,0.18959537572254334,5.47514450867052,0.23583815028901733,1.1850867052023117,12.988439306358377,301.9734104046243,0.0,865
