agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,egalitarian,1,10,0,0,0,0.0,0.0,36.0,7,-1.1,8,0
1,egalitarian,1,10,0,0,0,0.0,0.0,36.0,8,-1.1,8,0
2,egalitarian,1,16,0,1,0,0.0,0.0,93.0,4,-1.1,10,1
3,egalitarian,1,16,0,1,0,0.0,0.0,75.0,5,-1.1,10,1
4,egalitarian,1,16,0,1,0,0.0,0.0,69.0,0,-1.0,11,1
5,egalitarian,1,10,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,8,1
6,egalitarian,1,16,1,1,0,0.0,5.000000000000002,80.0,0,-0.1999999999999999,11,2
7,egalitarian,1,34,0,4,0,0.0,0.0,180.0,3,-1.1,21,4
8,egalitarian,1,16,0,1,0,0.0,0.0,57.0,14,-1.1,11,1
9,egalitarian,1,16,1,1,0,0.0,5.000000000000001,62.0,0,-0.1999999999999999,11,2
10,egalitarian,1,16,0,1,0,0.0,0.0,87.0,19,-1.1,10,1
11,egalitarian,1,34,0,4,0,0.0,0.0,138.0,8,-1.1,19,4
12,egalitarian,1,22,0,2,0,0.0,0.0,144.0,1,-1.1,11,2
13,egalitarian,1,10,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
14,egalitarian,1,10,0,0,0,0.0,0.0,36.0,20,-1.1,7,0
15,egalitarian,1,10,0,0,0,0.0,0.0,36.0,13,-1.1,7,0
16,egalitarian,1,10,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,8,1
17,egalitarian,1,16,0,1,0,0.0,0.0,81.0,8,-1.1,10,1
18,egalitarian,1,10,0,0,0,0.0,0.0,36.0,20,-1.1,8,0
19,egalitarian,1,10,0,0,0,0.0,0.0,36.0,2,-1.1,7,0
0,egalitarian,2,129,0,20,0,0.0,0.0,1002.0,6,-1.1,21,20
1,egalitarian,2,9,0,0,0,0.0,0.0,36.0,8,-1.1,5,0
2,egalitarian,2,9,0,0,0,0.0,0.0,36.0,5,-1.1,6,0
