Metric,Test Name,Value,Type
gini_days_mean,majoritarian,0.2901102079617407,Minimum
gini_days_median,majoritarian,0.2833333333333333,Minimum
gini_days_stdev,majoritarian,0.05867002983300899,Minimum
gini_berries_mean,majoritarian,0.5697293869382797,Minimum
gini_berries_median,majoritarian,0.5666666666666667,Minimum
gini_berries_stdev,average,0.07915169812434833,Minimum
min_days_mean,average,9.001,Maximum
min_days_median,average,9.0,Maximum
min_days_stdev,average,0.0316227766016838,Minimum
min_berries_mean,average,0.0,Maximum
min_berries_median,average,0.0,Maximum
min_berries_stdev,average,0.0,Minimum
max_days_mean,optimist,67.045,Maximum
max_days_median,optimist,57.0,Maximum
max_days_stdev,majoritarian,27.574730111838644,Minimum
max_berries_mean,optimist,9.988,Maximum
max_berries_median,average,8.0,Maximum
max_berries_stdev,majoritarian,4.61144982293741,Minimum
total_days_mean,optimist,371.85,Maximum
total_days_median,average,366.0,Maximum
total_days_stdev,majoritarian,47.22150830762236,Minimum
total_berries_mean,average,36.562,Maximum
total_berries_median,average,36.0,Maximum
total_berries_stdev,majoritarian,7.976198577251179,Minimum
episode_length_mean,optimist,18.5925,Maximum
episode_length_median,average,15.0,Maximum
episode_length_stdev,majoritarian,12.806564443465788,Minimum
most_common,average,12.0,
