episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,36.0,591.0,101.25,2025.0,0.4461481481481482,0,11,1.85,37,0.6283783783783784,10,76,20.2,404,0.3475247524752476
2,36.0,171.0,84.35,1687.0,0.2550385299347956,0,4,1.55,31,0.3887096774193549,9,27,16.8,336,0.18928571428571428
3,36.0,654.0,105.85,2117.0,0.4418280585734531,0,12,1.95,39,0.5679487179487179,9,81,19.5,390,0.32846153846153847
4,36.0,501.0,88.45,1769.0,0.4575749010740532,0,11,1.55,31,0.6983870967741936,9,75,17.1,342,0.3570175438596491
5,36.0,369.0,104.0,2080.0,0.39975961538461546,0,7,2.0,40,0.5375000000000001,9,51,19.5,390,0.3223076923076924
6,36.0,651.0,132.0,2640.0,0.5304545454545455,0,15,2.9,58,0.646551724137931,9,99,24.6,492,0.4548780487804879
7,36.0,231.0,79.25,1585.0,0.2949842271293376,0,5,1.35,27,0.49814814814814823,9,39,15.6,312,0.23076923076923084
8,36.0,272.0,84.55,1691.0,0.40712596096984033,0,6,1.45,29,0.6258620689655172,9,39,16.5,330,0.3009090909090909
9,36.0,225.0,67.2,1344.0,0.3292410714285715,0,6,1.1,22,0.6590909090909092,9,39,14.7,294,0.26428571428571435
10,36.0,758.0,117.7,2354.0,0.5030586236193714,0,16,2.2,44,0.6386363636363637,9,99,21.0,420,0.39
11,36.0,468.0,111.35,2227.0,0.46805118994162553,0,10,2.25,45,0.6344444444444445,9,69,21.9,438,0.3815068493150685
12,36.0,311.0,97.6,1952.0,0.3773053278688525,0,9,1.8,36,0.5722222222222222,9,57,18.6,372,0.3241935483870968
13,36.0,281.0,90.3,1806.0,0.37270210409745297,0,7,1.7,34,0.5235294117647059,9,45,17.4,348,0.28620689655172415
14,36.0,1098.0,129.25,2585.0,0.5768471953578337,0,22,2.45,49,0.7091836734693878,9,141,21.6,432,0.4541666666666667
15,36.0,189.0,77.25,1545.0,0.3047572815533981,0,5,1.4,28,0.5214285714285715,9,39,16.2,324,0.23703703703703705
16,36.0,183.0,66.65,1333.0,0.30513878469617406,0,5,1.15,23,0.6543478260869566,9,39,14.4,288,0.28125
17,36.0,495.0,101.75,2035.0,0.49874692874692883,0,11,1.85,37,0.6986486486486487,9,75,18.6,372,0.39193548387096777
18,36.0,315.0,102.75,2055.0,0.41642335766423366,0,7,1.85,37,0.5905405405405406,9,51,19.2,384,0.31562500000000004
19,36.0,272.0,95.95,1919.0,0.39012506513809275,0,7,1.95,39,0.55,9,51,19.5,390,0.32846153846153847
20,36.0,447.0,114.95,2299.0,0.43251413658112225,0,11,2.5,50,0.542,9,75,21.3,426,0.35140845070422544
21,36.0,378.0,91.85,1837.0,0.40770277626565055,0,6,1.65,33,0.5560606060606061,9,45,17.4,348,0.2931034482758621
22,36.0,582.0,104.45,2089.0,0.45344662517951173,0,10,1.85,37,0.6040540540540541,9,69,18.6,372,0.33709677419354844
23,36.0,684.0,125.15,2503.0,0.47528965241709953,0,14,2.35,47,0.6010638297872342,9,93,22.45,449,0.36581291759465484
24,36.0,963.0,130.35,2607.0,0.5470847717683162,0,15,2.05,41,0.6890243902439025,9,99,20.4,408,0.3941176470588236
25,36.0,572.0,107.45,2149.0,0.48462075383899494,0,16,2.15,43,0.663953488372093,9,99,20.4,408,0.4088235294117647
26,36.0,504.0,83.45,1669.0,0.4227381665668065,0,14,1.45,29,0.7224137931034483,9,93,17.1,342,0.3587719298245614
27,36.0,279.0,91.15,1823.0,0.34484366428963253,0,5,1.75,35,0.4871428571428572,9,39,17.4,348,0.2879310344827587
28,36.0,648.0,129.4,2588.0,0.53338485316847,0,14,2.65,53,0.6405660377358491,9,93,23.4,468,0.4410256410256411
29,36.0,341.0,99.6,1992.0,0.37976907630522094,0,8,1.85,37,0.5581081081081081,9,45,17.95,359,0.2770194986072424
30,36.0,237.0,82.55,1651.0,0.36938219261053906,0,5,1.45,29,0.5396551724137931,9,39,16.2,324,0.28148148148148155
31,36.0,477.0,83.5,1670.0,0.3898802395209582,0,7,1.3,26,0.5423076923076924,9,50,15.55,311,0.25353697749196147
32,36.0,309.0,92.85,1857.0,0.34359181475498124,0,7,1.75,35,0.47857142857142865,9,51,17.7,354,0.2872881355932204
33,36.0,749.0,126.75,2535.0,0.5227810650887574,0,13,2.25,45,0.6455555555555557,9,81,21.6,432,0.38750000000000007
34,36.0,345.0,107.5,2150.0,0.32688372093023266,0,7,2.45,49,0.4459183673469388,9,51,21.3,426,0.29084507042253527
35,36.0,249.0,86.5,1730.0,0.36971098265895963,0,7,1.6,32,0.5906250000000001,9,51,17.4,348,0.30000000000000004
36,36.0,215.0,93.35,1867.0,0.3463577932512052,0,5,1.75,35,0.51,9,33,18.0,360,0.2833333333333333
37,36.0,240.0,97.5,1950.0,0.32974358974358975,0,6,1.9,38,0.48421052631578954,9,45,19.5,390,0.28076923076923077
38,36.0,920.0,115.95,2319.0,0.5381414402759811,0,16,2.05,41,0.65,9,99,19.5,390,0.37769230769230777
39,36.0,291.0,89.1,1782.0,0.3936026936026936,0,7,1.7,34,0.6000000000000001,9,51,18.3,366,0.33360655737704925
40,36.0,285.0,94.0,1880.0,0.4098404255319149,0,6,1.7,34,0.5823529411764706,9,45,18.0,360,0.31500000000000006
