      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    2.262    0.0  1.8357  2.6883   True
     average  egalitarian  -4.6015    0.0 -5.0278 -4.1752   True
     average majoritarian  -1.2777    0.0  -1.704 -0.8514   True
     average      maximin  -0.4258 0.0506  -0.852  0.0005  False
     average     optimist   0.0382    1.0 -0.3881  0.4645  False
     average  utilitarian  -0.6004 0.0005 -1.0267 -0.1741   True
     average         veto  -0.6934    0.0 -1.1196 -0.2671   True
    baseline  egalitarian  -6.8635    0.0 -7.2898 -6.4372   True
    baseline majoritarian  -3.5397    0.0  -3.966 -3.1134   True
    baseline      maximin  -2.6877    0.0  -3.114 -2.2615   True
    baseline     optimist  -2.2238    0.0 -2.6501 -1.7975   True
    baseline  utilitarian  -2.8624    0.0 -3.2887 -2.4361   True
    baseline         veto  -2.9553    0.0 -3.3816 -2.5291   True
 egalitarian majoritarian   3.3238    0.0  2.8975  3.7501   True
 egalitarian      maximin   4.1758    0.0  3.7495   4.602   True
 egalitarian     optimist   4.6397    0.0  4.2134   5.066   True
 egalitarian  utilitarian   4.0011    0.0  3.5748  4.4274   True
 egalitarian         veto   3.9081    0.0  3.4819  4.3344   True
majoritarian      maximin    0.852    0.0  0.4257  1.2782   True
majoritarian     optimist   1.3159    0.0  0.8896  1.7422   True
majoritarian  utilitarian   0.6773    0.0   0.251  1.1036   True
majoritarian         veto   0.5844 0.0009  0.1581  1.0106   True
     maximin     optimist    0.464 0.0218  0.0377  0.8902   True
     maximin  utilitarian  -0.1746 0.9195 -0.6009  0.2516  False
     maximin         veto  -0.2676  0.549 -0.6939  0.1587  False
    optimist  utilitarian  -0.6386 0.0002 -1.0649 -0.2123   True
    optimist         veto  -0.7316    0.0 -1.1578 -0.3053   True
 utilitarian         veto   -0.093 0.9979 -0.5192  0.3333  False
----------------------------------------------------------------
