episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,76,0,1.43,0,2.0,0.0,11.0,2.0442708333333335,0,0.018229166666666668,1.3,0.38333333333333347,0.40000000000000013,0.06935810925367059,20,41
2,27,0,0.9216666666666665,0,1.0,0.0,3.0,0.9583333333333334,0,0.0625,1.1,0.3827380952380954,0.40000000000000013,0.06690500022144469,20,19
3,81,0,1.5900000000000005,0,2.0,0.0,12.0,2.0435897435897434,0,0.21025641025641026,1.2000000000000002,0.37974358974358996,0.40000000000000013,0.06156444158081248,20,42
4,75,0,1.0000000000000004,0,2.0,0.0,11.0,1.8801169590643274,0,0.0,1.1,0.3628654970760235,0.40000000000000013,0.06028821080170653,20,30
5,51,0,1.6166666666666667,0,1.0,0.0,7.0,1.705128205128205,0,0.08717948717948718,1.1,0.416666666666667,0.40000000000000024,0.06754317911360365,20,36
6,99,0,3.0250000000000012,0,1.0,0.0,15.0,3.522357723577236,0,0.0,1.2000000000000002,0.4052845528455288,0.40000000000000024,0.06249265687031887,20,46
7,39,0,0.6266666666666665,0,1.0,0.0,5.0,0.9519230769230769,0,0.11217948717948718,1.1,0.3756410256410258,0.40000000000000013,0.063573960120399,20,32
8,39,0,0.82,0,1.0,0.0,5.0,1.2606060606060605,0,0.0,1.1,0.3942424242424243,0.40000000000000013,0.07036143582585698,20,17
9,39,0,0.37999999999999984,0,1.0,0.0,5.0,0.9659863945578231,0,0.0,0.9,0.33843537414966,0.3000000000000004,0.053795453230751425,20,18
10,99,0,2.033333333333334,0,2.0,0.0,15.0,2.85,0,0.03571428571428571,1.3000000000000003,0.38619047619047636,0.40000000000000013,0.06676205647424305,20,42
11,69,0,2.1183333333333336,0,1.0,0.0,10.0,2.287671232876712,0,0.1050228310502283,1.2000000000000002,0.3805936073059363,0.40000000000000013,0.06183832613126357,20,38
12,57,0,1.2750000000000006,0,1.0,0.0,8.0,1.6559139784946237,0,0.13440860215053763,1.1,0.39892473118279587,0.40000000000000013,0.06827890709118893,20,44
13,45,0,1.195,0,1.0,0.0,6.0,1.3333333333333333,0,0.0,1.1,0.391954022988506,0.40000000000000013,0.06315417454563471,20,38
14,141,0,2.33,0,2.0,0.0,22.0,4.347222222222222,0,0.0,1.2,0.38379629629629647,0.40000000000000013,0.06070998751493652,20,23
15,39,0,0.7566666666666666,0,1.0,0.0,5.0,0.9907407407407407,0,0.11728395061728394,1.1,0.3672839506172841,0.40000000000000013,0.06337470826387234,20,38
16,39,0,0.35999999999999976,0,1.0,0.0,5.0,0.9965277777777778,0,0.0,0.9,0.3361111111111112,0.30000000000000027,0.05612721989800224,20,19
17,75,0,1.4150000000000007,0,1.0,0.0,11.0,2.3413978494623655,0,0.0,1.2999999999999998,0.4327956989247314,0.40000000000000047,0.07914006778289237,20,37
18,51,0,1.4316666666666666,0,1.0,0.0,7.0,1.640625,0,0.15885416666666666,1.2000000000000002,0.42239583333333347,0.40000000000000024,0.07507185242955476,20,48
19,51,0,1.5916666666666663,0,1.0,0.0,7.0,1.6358974358974359,0,0.017948717948717947,1.1000000000000005,0.3843589743589745,0.40000000000000013,0.06573014944213967,20,42
20,75,0,2.255,0,2.0,0.0,11.0,2.176056338028169,0,0.0,1.2,0.40821596244131475,0.40000000000000024,0.07033194654911143,20,50
21,45,0,0.9416666666666667,0,1.0,0.0,6.0,1.4281609195402298,0,0.16091954022988506,1.3,0.40747126436781633,0.40000000000000013,0.07833563165239506,20,46
22,69,0,1.4650000000000003,0,2.0,0.0,10.0,1.7983870967741935,0,0.0,1.0000000000000002,0.37795698924731214,0.40000000000000013,0.05553601237146181,20,31
23,93,0,2.2300000000000004,0,2.0,0.0,14.0,2.6325167037861914,0,0.08685968819599109,1.5,0.4113585746102452,0.40000000000000024,0.07361299603174598,20,25
24,99,0,1.7250000000000003,0,3.0,0.0,15.0,2.767156862745098,0,0.0,1.1,0.4166666666666669,0.4000000000000006,0.06477163093300009,20,36
