episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,70,0,1.5200000000000002,0,1.0,0.0,10.0,1.762402088772846,0,0.020887728459530026,1.4,0.39373368146214127,0.40000000000000013,0.06716745746073298,20,43
2,45,0,1.0550000000000002,0,2.0,0.0,6.0,1.2351190476190477,0,0.0,0.9,0.35595238095238113,0.40000000000000013,0.052405509544266794,20,23
3,45,0,0.795,0,1.0,0.0,6.0,1.3859649122807018,0,0.0,1.0,0.4032163742690059,0.40000000000000024,0.06727093183314381,20,39
4,39,0,0.6699999999999997,0,1.0,0.0,5.0,1.1697530864197532,0,0.0,1.0,0.37469135802469156,0.40000000000000013,0.06158228149559417,20,34
5,147,0,2.245000000000001,0,1.0,0.0,23.0,4.543859649122807,0,0.0,1.5,0.4609649122807018,0.4999999999999998,0.0922924952509197,20,13
6,51,0,1.2100000000000002,0,1.0,0.0,7.0,1.4111111111111112,0,0.0,1.1,0.36722222222222234,0.40000000000000013,0.05775939629163805,20,38
7,63,0,1.405000000000001,0,1.0,0.0,9.0,2.0729166666666665,0,0.0,1.2999999999999998,0.3911458333333335,0.40000000000000013,0.06455745820758875,20,22
8,39,0,0.595,0,1.0,0.0,5.0,1.0098039215686274,0,0.0,1.0,0.36830065359477143,0.40000000000000013,0.057525177551129375,20,22
9,75,0,1.3950000000000005,0,1.0,0.0,11.0,1.875,0,0.0,1.2,0.3942708333333336,0.40000000000000013,0.0711655759384219,20,26
10,86,0,2.045000000000001,0,1.0,0.0,13.0,2.5382830626450117,0,0.0,1.4999999999999998,0.45568445475638064,0.40000000000000036,0.09884872954349688,20,32
11,39,0,-0.010000000000000186,0,1.0,0.0,5.0,0.8152173913043478,0,0.0,1.2,0.3659420289855073,0.40000000000000013,0.06594236954381359,20,10
12,63,0,2.045000000000001,0,1.0,0.0,9.0,1.8333333333333333,0,0.0,1.2000000000000002,0.3933333333333335,0.40000000000000013,0.0657654521851031,20,29
13,33,0,0.4349999999999998,0,1.0,0.0,4.0,0.9874213836477987,0,0.0,1.1,0.4034591194968554,0.40000000000000024,0.06882519308169258,20,27
14,33,0,0.21500000000000002,0,1.0,0.0,4.0,0.7534722222222222,0,0.0,0.9,0.35277777777777797,0.40000000000000013,0.0567290790060644,20,7
15,39,0,0.4499999999999999,0,1.0,0.0,5.0,1.1320754716981132,0,0.0,1.2000000000000002,0.4223270440251573,0.40000000000000024,0.07701798799481817,20,38
16,33,0,0.4749999999999999,0,1.0,0.0,4.0,0.9052287581699346,0,0.0,1.0,0.3643790849673204,0.40000000000000013,0.05961414001174774,20,25
17,32,0,0.12499999999999986,0,1.0,0.0,4.0,0.7909407665505227,0,0.0,1.2999999999999998,0.3707317073170733,0.40000000000000013,0.0682034285159285,20,28
18,51,0,0.8399999999999999,0,1.0,0.0,7.0,1.2272727272727273,0,0.0,1.0,0.3633333333333336,0.40000000000000013,0.058504577636158274,20,13
19,57,0,0.735,0,1.0,0.0,8.0,1.4636363636363636,0,0.0,1.1,0.39606060606060617,0.40000000000000013,0.07256090505881596,20,34
