agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,maximin,1,16,0,1,0,0.0,0.0,63.0,0,-1.0,9,1
1,maximin,1,10,0,0,0,0.0,0.0,36.0,15,-1.1,6,0
2,maximin,1,10,0,0,0,0.0,0.0,36.0,13,-1.1,5,0
3,maximin,1,64,0,9,0,0.0,0.0,321.0,0,-1.0,20,9
4,maximin,1,40,0,5,0,0.0,0.0,243.0,11,-1.1,17,5
5,maximin,1,10,0,0,0,0.0,0.0,36.0,12,-1.1,6,0
6,maximin,1,22,0,2,0,0.0,0.0,90.0,14,-1.1,15,2
7,maximin,1,16,0,1,0,0.0,0.0,87.0,10,-1.1,10,1
8,maximin,1,10,0,0,0,0.0,0.0,36.0,17,-1.1,6,0
9,maximin,1,16,0,1,0,0.0,0.0,57.0,4,-1.1,11,1
10,maximin,1,10,0,0,0,0.0,0.0,36.0,14,-1.1,6,0
11,maximin,1,10,0,0,0,0.0,0.0,36.0,16,-1.1,7,0
12,maximin,1,16,0,1,0,0.0,0.0,75.0,11,-1.1,11,1
13,maximin,1,10,0,0,0,0.0,0.0,36.0,11,-1.1,6,0
14,maximin,1,22,0,2,0,0.0,0.0,78.0,8,-1.1,13,2
15,maximin,1,16,0,1,0,0.0,0.0,75.0,0,-1.0,12,1
16,maximin,1,10,0,0,0,0.0,0.0,36.0,11,-1.1,6,0
17,maximin,1,10,0,0,0,0.0,0.0,36.0,8,-1.1,7,0
18,maximin,1,22,0,2,0,0.0,0.0,114.0,2,-1.1,12,2
19,maximin,1,16,0,1,0,0.0,0.0,87.0,4,-1.1,9,1
0,maximin,2,15,0,1,0,0.0,0.0,57.0,0,-1.0,11,1
1,maximin,2,21,1,2,0,0.0,5.000000000000002,95.0,0,-0.1999999999999999,13,3
2,maximin,2,15,1,1,0,0.0,5.000000000000002,74.0,0,-0.1999999999999999,11,2
3,maximin,2,27,0,3,0,0.0,0.0,171.0,8,-1.1,16,3
4,maximin,2,15,0,1,0,0.0,0.0,87.0,11,-1.1,9,1
5,maximin,2,9,0,0,0,0.0,0.0,36.0,12,-1.1,8,0
6,maximin,2,9,0,0,0,0.0,0.0,36.0,14,-1.1,7,0
7,maximin,2,27,1,3,0,0.0,5.000000000000002,152.0,0,-0.1999999999999999,15,4
8,maximin,2,9,0,0,0,0.0,0.0,36.0,9,-1.1,6,0
9,maximin,2,21,1,2,0,0.0,5.000000000000002,95.0,0,-0.1999999999999999,14,3
10,maximin,2,9,0,0,0,0.0,0.0,36.0,5,-1.1,6,0
11,maximin,2,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
12,maximin,2,45,0,6,0,0.0,0.0,258.0,14,-1.1,23,6
13,maximin,2,9,0,0,0,0.0,0.0,36.0,11,-1.1,6,0
14,maximin,2,9,0,0,0,0.0,0.0,36.0,19,-1.1,5,0
15,maximin,2,9,0,0,0,0.0,0.0,36.0,17,-1.1,8,0
16,maximin,2,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
17,maximin,2,75,0,11,0,0.0,0.0,411.0,19,-1.1,22,11
18,maximin,2,15,0,1,0,0.0,0.0,87.0,10,-1.1,11,1
19,maximin,2,15,0,1,0,0.0,0.0,69.0,5,-1.1,11,1
0,maximin,3,9,0,0,0,0.0,0.0,36.0,15,-1.1,5,0
1,maximin,3,15,0,1,0,0.0,0.0,63.0,14,-1.1,12,1
2,maximin,3,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
3,maximin,3,15,0,1,0,0.0,0.0,69.0,4,-1.1,15,1
4,maximin,3,9,0,0,0,0.0,0.0,36.0,4,-1.1,7,0
5,maximin,3,15,0,1,0,0.0,0.0,57.0,4,-1.1,12,1
6,maximin,3,45,0,6,0,0.0,0.0,258.0,0,-1.0,30,6
7,maximin,3,27,0,3,0,0.0,0.0,117.0,4,-1.1,21,3
8,maximin,3,15,0,1,0,0.0,0.0,57.0,5,-1.1,13,1
9,maximin,3,21,0,2,0,0.0,0.0,120.0,7,-1.1,16,2
10,maximin,3,15,0,1,0,0.0,0.0,69.0,18,-1.1,12,1
11,maximin,3,15,0,1,0,0.0,0.0,87.0,18,-1.1,11,1
12,maximin,3,9,0,0,0,0.0,0.0,36.0,4,-1.1,7,0
13,maximin,3,9,0,0,0,0.0,0.0,36.0,11,-1.1,7,0
14,maximin,3,9,0,0,0,0.0,0.0,36.0,10,-1.1,6,0
15,maximin,3,33,0,4,0,0.0,0.0,174.0,18,-1.1,27,4
16,maximin,3,15,0,1,0,0.0,0.0,81.0,15,-1.1,14,1
17,maximin,3,9,0,0,0,0.0,0.0,36.0,8,-1.1,8,0
18,maximin,3,15,0,1,0,0.0,0.0,75.0,7,-1.1,13,1
19,maximin,3,56,0,8,0,0.0,0.0,516.0,0,-1.0,23,8
0,maximin,4,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
1,maximin,4,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
2,maximin,4,15,1,1,0,0.0,5.000000000000002,86.0,0,-0.1999999999999999,9,2
3,maximin,4,21,0,2,0,0.0,0.0,96.0,0,-1.0,12,2
4,maximin,4,75,1,11,0,0.0,5.000000000000006,392.0,0,-0.1999999999999999,18,12
5,maximin,4,9,0,0,0,0.0,0.0,36.0,12,-1.1,7,0
6,maximin,4,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
7,maximin,4,21,1,2,0,0.0,5.000000000000002,101.0,0,-0.1999999999999999,13,3
8,maximin,4,69,0,10,0,0.0,0.0,474.0,6,-1.1,18,10
9,maximin,4,9,0,0,0,0.0,0.0,36.0,7,-1.1,7,0
10,maximin,4,21,0,2,0,0.0,0.0,114.0,4,-1.1,13,2
11,maximin,4,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
12,maximin,4,15,0,1,0,0.0,0.0,75.0,4,-1.1,9,1
13,maximin,4,9,0,0,0,0.0,0.0,36.0,11,-1.1,6,0
14,maximin,4,9,0,0,0,0.0,0.0,36.0,15,-1.1,6,0
15,maximin,4,21,0,2,0,0.0,0.0,90.0,1,-1.1,12,2
16,maximin,4,15,0,1,0,0.0,0.0,57.0,1,-1.1,9,1
17,maximin,4,9,0,0,0,0.0,0.0,36.0,20,-1.1,6,0
18,maximin,4,9,0,0,0,0.0,0.0,36.0,19,-1.1,7,0
19,maximin,4,15,0,1,0,0.0,0.0,87.0,12,-1.1,8,1
0,maximin,5,9,0,0,0,0.0,0.0,36.0,15,-1.1,5,0
1,maximin,5,21,0,2,0,0.0,0.0,108.0,9,-1.1,15,2
2,maximin,5,9,0,0,0,0.0,0.0,36.0,19,-1.1,5,0
3,maximin,5,21,0,2,0,0.0,0.0,120.0,7,-1.1,14,2
4,maximin,5,33,0,4,0,0.0,0.0,162.0,0,-1.0,21,4
5,maximin,5,9,0,0,0,0.0,0.0,36.0,12,-1.1,7,0
6,maximin,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
7,maximin,5,15,0,1,0,0.0,0.0,81.0,18,-1.1,10,1
8,maximin,5,9,0,0,0,0.0,0.0,36.0,17,-1.1,6,0
9,maximin,5,15,0,1,0,0.0,0.0,75.0,15,-1.1,11,1
10,maximin,5,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
11,maximin,5,21,0,2,0,0.0,0.0,90.0,0,-1.0,14,2
12,maximin,5,15,0,1,0,0.0,0.0,75.0,0,-1.0,7,1
13,maximin,5,15,0,1,0,0.0,0.0,63.0,11,-1.1,11,1
14,maximin,5,27,0,3,0,0.0,0.0,123.0,7,-1.1,15,3
15,maximin,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
16,maximin,5,21,0,2,0,0.0,0.0,108.0,1,-1.1,15,2
17,maximin,5,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
18,maximin,5,39,0,5,0,0.0,0.0,243.0,16,-1.1,17,5
19,maximin,5,15,0,1,0,0.0,0.0,63.0,12,-1.1,9,1
0,maximin,6,9,0,0,0,0.0,0.0,36.0,15,-1.1,6,0
1,maximin,6,9,0,0,0,0.0,0.0,36.0,14,-1.1,6,0
2,maximin,6,21,0,2,0,0.0,0.0,96.0,10,-1.1,16,2
3,maximin,6,9,0,0,0,0.0,0.0,36.0,4,-1.1,7,0
4,maximin,6,21,0,2,0,0.0,0.0,108.0,20,-1.1,17,2
5,maximin,6,9,0,0,0,0.0,0.0,36.0,12,-1.1,6,0
6,maximin,6,15,0,1,0,0.0,0.0,63.0,0,-1.0,12,1
7,maximin,6,75,0,11,0,0.0,0.0,513.0,0,-1.0,20,11
8,maximin,6,15,0,1,0,0.0,0.0,63.0,3,-1.1,10,1
9,maximin,6,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
10,maximin,6,9,0,0,0,0.0,0.0,36.0,13,-1.1,6,0
11,maximin,6,45,0,6,0,0.0,0.0,246.0,11,-1.1,26,6
12,maximin,6,21,0,2,0,0.0,0.0,120.0,10,-1.1,14,2
13,maximin,6,15,0,1,0,0.0,0.0,69.0,11,-1.1,11,1
14,maximin,6,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
15,maximin,6,15,0,1,0,0.0,0.0,63.0,18,-1.1,10,1
16,maximin,6,45,0,6,0,0.0,0.0,252.0,20,-1.1,22,6
17,maximin,6,15,0,1,0,0.0,0.0,81.0,12,-1.1,11,1
18,maximin,6,15,0,1,0,0.0,0.0,57.0,12,-1.1,10,1
19,maximin,6,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
0,maximin,7,9,0,0,0,0.0,0.0,36.0,15,-1.1,7,0
1,maximin,7,15,0,1,0,0.0,0.0,57.0,0,-1.0,12,1
2,maximin,7,9,0,0,0,0.0,0.0,36.0,5,-1.1,7,0
3,maximin,7,15,0,1,0,0.0,0.0,75.0,0,-1.0,14,1
4,maximin,7,56,0,8,0,0.0,0.0,552.0,0,-1.0,24,8
5,maximin,7,9,0,0,0,0.0,0.0,36.0,12,-1.1,8,0
6,maximin,7,21,0,2,0,0.0,0.0,84.0,16,-1.1,19,2
7,maximin,7,15,1,1,0,0.0,5.000000000000001,86.0,0,-0.1999999999999999,12,2
8,maximin,7,9,0,0,0,0.0,0.0,36.0,5,-1.1,7,0
9,maximin,7,9,0,0,0,0.0,0.0,36.0,14,-1.1,7,0
10,maximin,7,9,0,0,0,0.0,0.0,36.0,14,-1.1,7,0
