episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,36.0,321.0,128.5,2570.0,0.42739299610894943,0,8,2.7,54,0.5407407407407407,10,52,24.1,482,0.3466804979253112
2,36.0,782.0,123.65,2473.0,0.49136676101900534,0,16,2.35,47,0.5946808510638298,9,99,21.6,432,0.36944444444444446
3,36.0,243.0,88.55,1771.0,0.3265104460756635,0,7,1.65,33,0.5015151515151516,9,51,18.3,366,0.2647540983606558
4,36.0,432.0,124.65,2493.0,0.4226032892097874,0,10,2.35,47,0.5436170212765958,9,69,22.2,444,0.3445945945945946
5,36.0,378.0,101.2,2024.0,0.4327075098814229,0,8,1.9,38,0.5736842105263158,9,57,19.2,384,0.3343750000000001
6,36.0,315.0,103.2,2064.0,0.3935562015503876,0,7,1.95,39,0.4782051282051283,9,51,18.55,371,0.30660377358490576
7,36.0,483.0,141.5,2830.0,0.4334275618374559,0,11,2.8,56,0.5285714285714286,9,75,25.15,503,0.34502982107355873
8,36.0,360.0,96.1,1922.0,0.34937565036420404,0,8,2.0,40,0.505,9,57,19.8,396,0.28181818181818186
9,36.0,531.0,109.7,2194.0,0.429489516864175,0,11,2.0,40,0.5,9,75,19.45,389,0.3209511568123393
10,36.0,258.0,81.15,1623.0,0.36102895871842267,0,6,1.35,27,0.538888888888889,9,45,16.15,323,0.28250773993808054
11,36.0,180.0,67.9,1358.0,0.2950662739322534,0,4,1.2,24,0.45833333333333337,9,33,14.1,282,0.23510638297872344
12,36.0,341.0,86.95,1739.0,0.40865439907993106,0,7,1.55,31,0.6048387096774194,9,45,17.1,342,0.3201754385964912
13,36.0,573.0,122.1,2442.0,0.4105241605241605,0,11,2.6,52,0.4730769230769232,9,75,22.8,456,0.33684210526315794
14,36.0,474.0,130.5,2610.0,0.42019157088122605,0,9,2.5,50,0.546,9,63,23.1,462,0.35389610389610393
15,36.0,246.0,87.6,1752.0,0.3763698630136987,0,4,1.4,28,0.525,9,33,16.5,330,0.27
16,36.0,342.0,90.2,1804.0,0.42200665188470066,0,8,1.6,32,0.6468750000000001,9,57,18.0,360,0.33333333333333337
