episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,36.0,192.0,85.25,1705.0,0.3033724340175954,0,5,1.75,35,0.4414285714285715,10,40,19.0,380,0.2573684210526316
2,36.0,1821.0,154.8,3096.0,0.6528423772609819,0,27,2.4,48,0.7479166666666668,9,170,22.45,449,0.4675946547884188
3,36.0,288.0,95.8,1916.0,0.37875782881002096,0,6,2.0,40,0.52,9,45,19.8,396,0.3151515151515152
4,36.0,579.0,113.95,2279.0,0.507481351469943,0,9,1.95,39,0.6858974358974359,9,63,19.45,389,0.3811053984575836
5,36.0,300.0,82.75,1655.0,0.36589123867069495,0,6,1.55,31,0.5661290322580645,9,45,17.1,342,0.29210526315789476
6,36.0,299.0,98.2,1964.0,0.41481670061099796,0,7,1.9,38,0.6105263157894738,9,51,19.2,384,0.34375
7,36.0,1203.0,165.1,3302.0,0.5738643246517263,0,25,3.7,74,0.6445945945945946,9,159,29.1,582,0.48814432989690726
8,36.0,699.0,109.95,2199.0,0.5052978626648477,0,15,2.25,45,0.6122222222222222,9,99,19.8,396,0.39393939393939403
9,36.0,327.0,83.0,1660.0,0.3810843373493976,0,9,1.7,34,0.5676470588235294,9,63,17.7,354,0.3296610169491526
10,36.0,147.0,61.5,1230.0,0.2553658536585366,0,3,0.9,18,0.5277777777777778,9,27,13.5,270,0.20333333333333337
11,36.0,323.0,88.95,1779.0,0.3828274311410905,0,9,1.75,35,0.5985714285714286,9,57,18.6,372,0.32258064516129037
12,36.0,212.0,71.5,1430.0,0.3642657342657343,0,6,1.3,26,0.6653846153846155,9,39,15.6,312,0.30000000000000004
13,36.0,864.0,110.1,2202.0,0.5524523160762943,0,14,1.8,36,0.7055555555555556,9,92,18.85,377,0.40411140583554384
14,36.0,255.0,73.3,1466.0,0.3253069577080492,0,5,1.3,26,0.5038461538461539,9,39,15.6,312,0.25576923076923086
15,36.0,618.0,91.35,1827.0,0.46390257252326217,0,14,1.65,33,0.6863636363636364,9,93,18.0,360,0.37
16,36.0,579.0,101.9,2038.0,0.44484789008832193,0,13,2.1,42,0.580952380952381,9,87,20.05,401,0.36097256857855364
17,36.0,177.0,72.6,1452.0,0.2883608815426998,0,5,1.4,28,0.5464285714285715,9,39,16.5,330,0.25181818181818183
18,36.0,261.0,73.75,1475.0,0.326271186440678,0,7,1.55,31,0.5596774193548388,9,51,16.2,324,0.2777777777777778
19,36.0,630.0,113.4,2268.0,0.42746913580246915,0,14,2.3,46,0.5695652173913044,9,93,21.9,438,0.3431506849315069
20,36.0,492.0,86.35,1727.0,0.44878401852924155,0,9,1.4,28,0.7321428571428572,9,56,16.75,335,0.332089552238806
21,36.0,252.0,75.8,1516.0,0.3801451187335093,0,7,1.4,28,0.6285714285714286,9,51,15.85,317,0.3127760252365931
22,36.0,405.0,102.95,2059.0,0.4596648858669258,0,9,2.25,45,0.5744444444444445,9,57,19.15,383,0.36618798955613585
23,36.0,324.0,83.85,1677.0,0.3720632081097198,0,8,1.65,33,0.5318181818181819,9,57,17.1,342,0.30789473684210533
24,36.0,432.0,88.95,1779.0,0.4600618324901631,0,10,1.65,33,0.7015151515151515,9,69,17.1,342,0.374561403508772
25,36.0,219.0,75.05,1501.0,0.34033977348434385,0,5,1.15,23,0.5673913043478261,9,39,15.3,306,0.2637254901960785
26,36.0,230.0,91.4,1828.0,0.3144420131291029,0,6,1.8,36,0.49722222222222223,9,39,18.3,366,0.2516393442622952
27,36.0,387.0,82.6,1652.0,0.4111985472154964,0,9,1.5,30,0.6666666666666667,9,63,16.8,336,0.3375
28,36.0,102.0,54.1,1082.0,0.2222735674676526,0,2,0.7,14,0.5357142857142858,9,21,12.0,240,0.1775
29,36.0,213.0,84.75,1695.0,0.3548377581120944,0,6,1.55,31,0.5693548387096774,9,39,17.35,347,0.2819884726224784
30,36.0,468.0,102.25,2045.0,0.4688753056234719,0,10,2.05,41,0.5865853658536586,9,69,19.2,384,0.3812500000000001
31,36.0,459.0,96.15,1923.0,0.4496879875195008,0,9,1.75,35,0.6128571428571429,9,63,17.7,354,0.3449152542372882
32,36.0,372.0,87.2,1744.0,0.4271788990825689,0,10,1.6,32,0.6156250000000001,9,69,17.1,342,0.3377192982456141
33,36.0,474.0,101.9,2038.0,0.45490677134445534,0,10,1.8,36,0.6333333333333333,9,69,19.2,384,0.353125
34,36.0,198.0,67.95,1359.0,0.2891464311994114,0,4,1.05,21,0.5357142857142858,9,33,14.4,288,0.22083333333333333
