reward,numerosity,fitness
0,348,0.0
0,624,0.0
0,180,0.0
0,18,0.0
-6,24,0.0
0,18,0.0
0,30,0.0
0,18,0.0
0,12,0.0
0,12,0.0
-6,18,0.0
0,612,0.0
0,924,0.0
0,288,0.0
-30,270,-81.00000000000004
0,180,0.0
0,180,0.0
0,72,0.0
-24,144,-86.39999999999998
0,72,0.0
0,144,0.0
0,36,0.0
0,36,0.0
0,72,0.0
0,36,0.0
0,36,0.0
0,780,0.0
0,72,0.0
0,12,0.0
-6,12,0.0
-6,18,0.0
0,2,0.0
0,600,0.0
0,48,0.0
0,72,0.0
0,12,0.0
0,12,0.0
0,24,0.0
0,12,0.0
0,12,0.0
-6,24,-16.2
0,612,0.0
0,24,0.0
0,36,0.0
-6,24,0.0
0,1116,0.0
0,192,0.0
0,24,0.0
-12,24,0.0
0,24,0.0
0,24,0.0
-12,24,0.0
0,24,0.0
0,312,0.0
0,24,0.0
0,48,0.0
0,744,0.0
-6,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
-6,12,0.0
0,12,0.0
0,630,0.0
0,240,0.0
-18,108,0.0
0,54,0.0
-12,24,0.0
0,24,0.0
0,24,0.0
0,720,0.0
0,30,0.0
0,24,0.0
0,18,0.0
0,756,0.0
0,432,0.0
0,36,0.0
0,54,0.0
0,108,0.0
0,72,0.0
0,36,0.0
0,36,0.0
0,36,0.0
0,54,0.0
-18,54,-32.400000000000006
0,28,0.0
0,1054,0.0
0,144,0.0
0,36,0.0
0,36,0.0
0,72,0.0
0,60,0.0
0,36,0.0
-6,24,-27.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,1302,0.0
0,372,0.0
-6,36,0.0
0,624,0.0
-6,18,0.0
0,12,0.0
0,12,0.0
0,18,0.0
0,42,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,1050,0.0
0,150,0.0
0,180,0.0
0,24,0.0
0,48,0.0
0,48,0.0
0,24,0.0
0,468,0.0
0,336,0.0
0,180,0.0
0,48,0.0
0,48,0.0
0,36,0.0
0,48,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,1260,0.0
0,120,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,648,0.0
0,18,0.0
0,36,0.0
0,18,0.0
0,2,0.0
0,2,0.0
-1,3,-1.2
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,624,0.0
0,48,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,24,0.0
0,24,0.0
0,24,0.0
-12,48,-36.0
0,24,0.0
0,24,0.0
0,24,0.0
0,1302,0.0
0,72,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,624,0.0
0,84,0.0
0,24,0.0
0,30,0.0
0,504,0.0
0,12,0.0
0,18,0.0
0,24,0.0
0,720,0.0
0,65,0.0
0,60,0.0
0,24,0.0
-12,48,0.0
0,24,0.0
0,60,0.0
0,24,0.0
0,36,0.0
0,24,0.0
0,24,0.0
0,1116,0.0
0,54,0.0
0,36,0.0
-18,54,0.0
0,1344,0.0
0,120,0.0
0,120,0.0
0,24,0.0
-12,84,-57.59999999999999
-12,36,0.0
0,600,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,24,0.0
-6,12,0.0
0,12,0.0
-6,12,0.0
0,750,0.0
0,48,0.0
0,84,0.0
