reward,numerosity,fitness
0,1428,0.0
0,90,0.0
0,72,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,91,0.0
0,50,0.0
0,740,0.0
-6,24,0.0
0,12,0.0
0,30,0.0
0,624,0.0
0,180,0.0
0,18,0.0
0,18,0.0
0,30,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,2286,0.0
0,48,0.0
0,12,0.0
0,24,0.0
-6,18,0.0
0,36,0.0
0,1110,0.0
0,162,0.0
0,36,0.0
0,48,0.0
0,18,0.0
0,12,0.0
0,12,0.0
0,836,0.0
0,18,0.0
0,24,0.0
0,30,0.0
-1,2,0.0
-1,2,0.0
0,2,0.0
0,840,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,18,0.0
0,12,0.0
0,24,0.0
0,1361,0.0
0,120,0.0
0,144,0.0
-18,90,-64.80000000000001
0,54,0.0
0,36,0.0
0,532,0.0
0,42,0.0
0,18,0.0
-6,30,0.0
0,540,0.0
-6,18,0.0
0,36,0.0
0,18,0.0
0,30,0.0
0,2,0.0
0,2,0.0
0,2,0.0
-1,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,1170,0.0
0,48,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,30,0.0
0,12,0.0
-6,12,0.0
0,288,0.0
0,108,0.0
0,24,0.0
0,30,0.0
0,30,0.0
0,432,0.0
0,240,0.0
0,180,0.0
0,210,0.0
0,90,0.0
0,72,0.0
0,696,0.0
0,120,0.0
0,72,0.0
0,162,0.0
0,72,0.0
0,18,0.0
0,12,0.0
0,600,0.0
0,480,0.0
0,126,0.0
0,48,0.0
0,48,0.0
0,60,0.0
0,48,0.0
0,18,0.0
0,24,0.0
0,18,0.0
0,408,0.0
0,18,0.0
0,18,0.0
0,18,0.0
0,18,0.0
0,18,0.0
0,2,0.0
0,2,0.0
0,4,0.0
0,888,0.0
0,792,0.0
0,48,0.0
0,72,0.0
0,14,0.0
0,14,0.0
-7,21,-4.2
0,14,0.0
0,14,0.0
0,1110,0.0
-12,144,-21.600000000000005
0,18,0.0
0,18,0.0
0,30,0.0
-6,18,-10.8
0,1403,0.0
0,90,0.0
-18,54,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,792,0.0
0,36,0.0
0,2,0.0
0,832,0.0
0,360,0.0
0,36,0.0
0,24,0.0
0,720,0.0
0,420,0.0
0,18,0.0
0,12,0.0
0,18,0.0
0,12,0.0
0,18,0.0
0,24,0.0
0,24,0.0
0,12,0.0
0,1549,0.0
0,36,0.0
0,54,0.0
0,36,0.0
0,1110,0.0
0,72,0.0
0,72,0.0
0,18,0.0
0,690,0.0
0,300,0.0
0,36,0.0
0,84,0.0
0,36,0.0
0,420,0.0
0,1171,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,18,0.0
0,975,0.0
0,597,0.0
0,288,0.0
0,90,0.0
0,180,0.0
0,96,0.0
0,36,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,775,0.0
0,777,0.0
0,18,0.0
-6,24,-3.6
0,648,0.0
0,54,0.0
0,738,0.0
0,24,0.0
-6,18,0.0
0,768,0.0
0,90,0.0
0,1589,0.0
-24,96,0.0
-18,36,0.0
-18,36,0.0
0,1983,0.0
0,192,0.0
0,144,0.0
0,36,0.0
0,36,0.0
-18,72,0.0
0,16,0.0
0,665,0.0
0,30,0.0
0,684,0.0
0,544,0.0
0,20,0.0
0,10,0.0
0,10,0.0
0,15,0.0
-5,10,0.0
-5,10,0.0
0,853,0.0
0,1008,0.0
0,18,0.0
-6,12,0.0
-6,12,0.0
0,18,0.0
0,816,0.0
0,36,0.0
0,450,0.0
0,120,0.0
0,84,0.0
0,2064,0.0
0,240,0.0
0,120,0.0
-24,144,0.0
0,54,0.0
-18,36,0.0
-18,36,0.0
0,36,0.0
0,925,0.0
0,96,0.0
0,24,0.0
0,24,0.0
-12,48,-21.600000000000005
-12,36,0.0
0,24,0.0
0,957,0.0
0,36,0.0
0,1704,0.0
0,72,0.0
0,72,0.0
0,192,0.0
0,48,0.0
-12,36,0.0
0,24,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,14,0.0
0,504,0.0
0,360,0.0
0,36,0.0
0,36,0.0
0,72,0.0
0,24,0.0
0,986,0.0
-6,72,0.0
0,576,0.0
0,792,0.0
0,108,0.0
0,36,0.0
0,48,0.0
0,48,0.0
0,12,0.0
0,12,0.0
0,12,0.0
-6,18,-14.4
0,1552,0.0
