reward,numerosity,fitness
0,990,0.0
0,54,0.0
0,72,0.0
0,72,0.0
0,36,0.0
0,36,0.0
0,36,0.0
0,970,0.0
0,270,0.0
0,36,0.0
0,54,0.0
0,36,0.0
0,36,0.0
0,36,0.0
0,36,0.0
0,1116,0.0
0,150,0.0
0,54,0.0
0,54,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,24,0.0
0,24,0.0
0,24,0.0
0,24,0.0
0,2257,0.0
0,240,0.0
0,96,0.0
-48,336,-216.0
0,864,0.0
-12,72,-21.600000000000005
0,12,0.0
-6,12,0.0
0,1044,0.0
0,144,0.0
0,72,0.0
-24,144,-86.39999999999998
0,712,0.0
0,18,0.0
0,18,0.0
0,2180,0.0
0,168,0.0
0,126,0.0
0,112,0.0
0,720,0.0
0,90,0.0
0,1008,0.0
0,120,0.0
-30,90,0.0
0,120,0.0
0,180,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,665,0.0
0,232,0.0
0,92,0.0
0,34,0.0
0,51,0.0
0,51,0.0
0,34,0.0
0,900,0.0
0,210,0.0
0,36,0.0
-12,36,0.0
0,36,0.0
0,12,0.0
0,12,0.0
0,12,0.0
-6,18,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,888,0.0
0,1224,0.0
0,116,0.0
0,145,0.0
0,46,0.0
0,46,0.0
0,69,0.0
0,1428,0.0
-12,36,0.0
0,1536,0.0
0,108,0.0
0,108,0.0
0,144,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,720,0.0
0,216,0.0
0,72,0.0
0,54,0.0
0,24,0.0
-12,24,0.0
0,24,0.0
0,432,0.0
0,150,0.0
0,240,0.0
0,240,0.0
0,96,0.0
0,72,0.0
0,36,0.0
0,36,0.0
0,732,0.0
0,168,0.0
0,90,0.0
0,90,0.0
0,72,0.0
0,72,0.0
0,36,0.0
0,558,0.0
0,48,0.0
0,18,0.0
0,882,0.0
0,161,0.0
0,138,0.0
0,92,0.0
0,92,0.0
0,69,0.0
0,69,0.0
0,34,0.0
0,34,0.0
0,34,0.0
0,34,0.0
0,34,0.0
0,1080,0.0
0,48,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,960,0.0
0,90,0.0
0,36,0.0
-12,60,0.0
0,12,0.0
0,12,0.0
0,324,0.0
0,84,0.0
0,24,0.0
0,24,0.0
0,18,0.0
0,18,0.0
0,24,0.0
0,24,0.0
0,1152,0.0
0,216,0.0
0,24,0.0
-6,18,0.0
0,852,0.0
0,108,0.0
0,48,0.0
0,12,0.0
0,12,0.0
-6,12,0.0
0,576,0.0
0,432,0.0
0,150,0.0
0,96,0.0
-18,72,0.0
0,36,0.0
0,1849,0.0
0,120,0.0
0,48,0.0
0,24,0.0
-12,36,-7.199999999999998
0,24,0.0
0,1440,0.0
0,90,0.0
0,120,0.0
0,90,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,48,0.0
0,504,0.0
0,108,0.0
0,108,0.0
0,48,0.0
0,36,0.0
0,36,0.0
0,48,0.0
0,14,0.0
0,14,0.0
