reward,numerosity,fitness
0,1269,0.0
0,18,0.0
0,24,0.0
0,18,0.0
0,1558,0.0
0,144,0.0
0,180,0.0
0,108,0.0
0,60,0.0
0,60,0.0
0,886,0.0
0,12,0.0
0,12,0.0
0,783,0.0
0,420,0.0
0,90,0.0
0,48,0.0
-12,60,0.0
0,18,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,2,0.0
0,1472,0.0
0,36,0.0
0,24,0.0
0,2335,0.0
0,324,0.0
0,192,0.0
0,96,0.0
-48,96,0.0
0,96,0.0
0,96,0.0
0,96,0.0
0,192,0.0
0,1355,0.0
0,12,0.0
0,18,0.0
0,18,0.0
0,1448,0.0
0,12,0.0
-6,12,0.0
0,1367,0.0
0,24,0.0
-12,60,-7.199999999999998
0,24,0.0
0,1148,0.0
0,856,0.0
0,24,0.0
0,24,0.0
0,1310,0.0
0,24,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,1676,0.0
0,150,0.0
-18,54,0.0
0,24,0.0
-12,36,0.0
0,1308,0.0
0,72,0.0
0,72,0.0
0,24,0.0
0,1509,0.0
0,36,0.0
0,1863,0.0
0,24,0.0
0,24,0.0
0,48,0.0
0,24,0.0
0,1390,0.0
0,216,0.0
0,150,0.0
0,96,0.0
0,36,0.0
0,36,0.0
0,36,0.0
-18,36,0.0
0,36,0.0
0,36,0.0
0,991,0.0
0,1206,0.0
0,867,0.0
-6,36,-28.8
0,12,0.0
0,18,0.0
0,18,0.0
0,12,0.0
0,1991,0.0
0,144,0.0
0,36,0.0
0,90,0.0
0,36,0.0
0,54,0.0
0,36,0.0
0,36,0.0
0,54,0.0
0,36,0.0
0,36,0.0
0,1296,0.0
0,120,0.0
0,120,0.0
0,54,0.0
0,24,0.0
0,24,0.0
0,36,0.0
0,2,0.0
0,899,0.0
0,1341,0.0
0,36,0.0
0,885,0.0
0,12,0.0
0,12,0.0
0,12,0.0
0,1189,0.0
0,1148,0.0
0,1179,0.0
0,48,0.0
0,12,0.0
0,12,0.0
