      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.0077    0.0  -0.011 -0.0044   True
     average  egalitarian  -0.0323    0.0 -0.0356  -0.029   True
     average majoritarian  -0.0266    0.0 -0.0298 -0.0233   True
     average      maximin  -0.0245    0.0 -0.0278 -0.0212   True
     average     optimist   -0.029    0.0 -0.0323 -0.0257   True
     average  utilitarian  -0.0202    0.0 -0.0234 -0.0169   True
     average         veto  -0.0238    0.0 -0.0271 -0.0205   True
    baseline  egalitarian  -0.0246    0.0 -0.0279 -0.0213   True
    baseline majoritarian  -0.0188    0.0 -0.0221 -0.0156   True
    baseline      maximin  -0.0168    0.0 -0.0201 -0.0135   True
    baseline     optimist  -0.0213    0.0 -0.0246  -0.018   True
    baseline  utilitarian  -0.0125    0.0 -0.0157 -0.0092   True
    baseline         veto  -0.0161    0.0 -0.0194 -0.0128   True
 egalitarian majoritarian   0.0058    0.0  0.0025   0.009   True
 egalitarian      maximin   0.0078    0.0  0.0045  0.0111   True
 egalitarian     optimist   0.0033 0.0498     0.0  0.0066   True
 egalitarian  utilitarian   0.0122    0.0  0.0089  0.0154   True
 egalitarian         veto   0.0085    0.0  0.0052  0.0118   True
majoritarian      maximin    0.002 0.5621 -0.0012  0.0053  False
majoritarian     optimist  -0.0024 0.3209 -0.0057  0.0008  False
majoritarian  utilitarian   0.0064    0.0  0.0031  0.0097   True
majoritarian         veto   0.0028 0.1839 -0.0005   0.006  False
     maximin     optimist  -0.0045 0.0009 -0.0078 -0.0012   True
     maximin  utilitarian   0.0044 0.0016  0.0011  0.0076   True
     maximin         veto   0.0007 0.9983 -0.0026   0.004  False
    optimist  utilitarian   0.0088    0.0  0.0056  0.0121   True
    optimist         veto   0.0052    0.0  0.0019  0.0085   True
 utilitarian         veto  -0.0036 0.0181 -0.0069 -0.0004   True
----------------------------------------------------------------
