      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -0.1024    0.0  -0.164 -0.0407   True
     average  egalitarian  -0.3518    0.0 -0.4134 -0.2901   True
     average majoritarian  -0.1991    0.0 -0.2607 -0.1374   True
     average      maximin  -0.1418    0.0 -0.2034 -0.0801   True
     average     optimist  -0.1151    0.0 -0.1767 -0.0534   True
     average  utilitarian  -0.1604    0.0 -0.2221 -0.0988   True
     average         veto  -0.1582    0.0 -0.2199 -0.0966   True
    baseline  egalitarian  -0.2494    0.0 -0.3111 -0.1877   True
    baseline majoritarian  -0.0967 0.0001 -0.1584  -0.035   True
    baseline      maximin  -0.0394  0.526 -0.1011  0.0223  False
    baseline     optimist  -0.0127 0.9986 -0.0744   0.049  False
    baseline  utilitarian  -0.0581 0.0821 -0.1198  0.0036  False
    baseline         veto  -0.0559 0.1089 -0.1176  0.0058  False
 egalitarian majoritarian   0.1527    0.0   0.091  0.2144   True
 egalitarian      maximin     0.21    0.0  0.1483  0.2717   True
 egalitarian     optimist   0.2367    0.0   0.175  0.2984   True
 egalitarian  utilitarian   0.1913    0.0  0.1296   0.253   True
 egalitarian         veto   0.1935    0.0  0.1318  0.2552   True
majoritarian      maximin   0.0573 0.0911 -0.0044   0.119  False
majoritarian     optimist    0.084  0.001  0.0223  0.1457   True
majoritarian  utilitarian   0.0386 0.5533 -0.0231  0.1003  False
majoritarian         veto   0.0408 0.4786 -0.0209  0.1025  False
     maximin     optimist   0.0267 0.8947  -0.035  0.0884  False
     maximin  utilitarian  -0.0187 0.9844 -0.0804   0.043  False
     maximin         veto  -0.0165 0.9926 -0.0782  0.0452  False
    optimist  utilitarian  -0.0454 0.3332 -0.1071  0.0163  False
    optimist         veto  -0.0432 0.4001 -0.1049  0.0185  False
 utilitarian         veto   0.0022    1.0 -0.0595  0.0639  False
----------------------------------------------------------------
