      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    0.367    0.0  0.2952  0.4388   True
     average  egalitarian  -0.8235    0.0 -0.8953 -0.7517   True
     average majoritarian   -0.268    0.0 -0.3398 -0.1962   True
     average      maximin  -0.0927 0.0023 -0.1644 -0.0209   True
     average     optimist  -0.0099 0.9999 -0.0817  0.0619  False
     average  utilitarian  -0.1399    0.0 -0.2117 -0.0681   True
     average         veto  -0.1331    0.0 -0.2049 -0.0613   True
    baseline  egalitarian  -1.1905    0.0 -1.2623 -1.1187   True
    baseline majoritarian   -0.635    0.0 -0.7068 -0.5632   True
    baseline      maximin  -0.4597    0.0 -0.5314 -0.3879   True
    baseline     optimist  -0.3769    0.0 -0.4487 -0.3051   True
    baseline  utilitarian  -0.5069    0.0 -0.5787 -0.4351   True
    baseline         veto  -0.5001    0.0 -0.5719 -0.4283   True
 egalitarian majoritarian   0.5555    0.0  0.4837  0.6273   True
 egalitarian      maximin   0.7308    0.0  0.6591  0.8026   True
 egalitarian     optimist   0.8136    0.0  0.7418  0.8854   True
 egalitarian  utilitarian   0.6836    0.0  0.6118  0.7554   True
 egalitarian         veto   0.6904    0.0  0.6186  0.7622   True
majoritarian      maximin   0.1753    0.0  0.1036  0.2471   True
majoritarian     optimist   0.2581    0.0  0.1863  0.3299   True
majoritarian  utilitarian   0.1281    0.0  0.0563  0.1999   True
majoritarian         veto   0.1349    0.0  0.0631  0.2067   True
     maximin     optimist   0.0828 0.0112   0.011  0.1545   True
     maximin  utilitarian  -0.0472  0.485  -0.119  0.0245  False
     maximin         veto  -0.0404  0.682 -0.1122  0.0313  False
    optimist  utilitarian    -0.13    0.0 -0.2018 -0.0582   True
    optimist         veto  -0.1232    0.0  -0.195 -0.0514   True
 utilitarian         veto   0.0068    1.0  -0.065  0.0786  False
----------------------------------------------------------------
