      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    0.999    0.0  0.3933  1.6047   True
     average  egalitarian    -5.87    0.0 -6.4757 -5.2643   True
     average majoritarian   -1.654    0.0 -2.2597 -1.0483   True
     average      maximin   -0.032    1.0 -0.6377  0.5737  False
     average     optimist   0.8692 0.0006  0.2496  1.4888   True
     average  utilitarian   -0.749 0.0044 -1.3547 -0.1433   True
     average         veto   -0.756 0.0039 -1.3617 -0.1503   True
    baseline  egalitarian   -6.869    0.0 -7.4747 -6.2633   True
    baseline majoritarian   -2.653    0.0 -3.2587 -2.0473   True
    baseline      maximin   -1.031    0.0 -1.6367 -0.4253   True
    baseline     optimist  -0.1298 0.9984 -0.7494  0.4898  False
    baseline  utilitarian   -1.748    0.0 -2.3537 -1.1423   True
    baseline         veto   -1.755    0.0 -2.3607 -1.1493   True
 egalitarian majoritarian    4.216    0.0  3.6103  4.8217   True
 egalitarian      maximin    5.838    0.0  5.2323  6.4437   True
 egalitarian     optimist   6.7392    0.0  6.1196  7.3588   True
 egalitarian  utilitarian    5.121    0.0  4.5153  5.7267   True
 egalitarian         veto    5.114    0.0  4.5083  5.7197   True
majoritarian      maximin    1.622    0.0  1.0163  2.2277   True
majoritarian     optimist   2.5232    0.0  1.9036  3.1428   True
majoritarian  utilitarian    0.905 0.0002  0.2993  1.5107   True
majoritarian         veto    0.898 0.0002  0.2923  1.5037   True
     maximin     optimist   0.9012 0.0003  0.2816  1.5208   True
     maximin  utilitarian   -0.717  0.008 -1.3227 -0.1113   True
     maximin         veto   -0.724 0.0071 -1.3297 -0.1183   True
    optimist  utilitarian  -1.6182    0.0 -2.2378 -0.9986   True
    optimist         veto  -1.6252    0.0 -2.2448 -1.0056   True
 utilitarian         veto   -0.007    1.0 -0.6127  0.5987  False
----------------------------------------------------------------
