       Multiple Comparison of Means - Tukey HSD, FWER=0.05        
==================================================================
   group1       group2    meandiff p-adj   lower    upper   reject
------------------------------------------------------------------
     average     baseline     7.34    0.0   6.1836   8.4964   True
     average  egalitarian   -16.47    0.0 -17.6264 -15.3136   True
     average majoritarian    -5.36    0.0  -6.5164  -4.2036   True
     average      maximin   -1.853    0.0  -3.0094  -0.6966   True
     average     optimist   -0.198 0.9996  -1.3544   0.9584  False
     average  utilitarian   -2.798    0.0  -3.9544  -1.6416   True
     average         veto   -2.662    0.0  -3.8184  -1.5056   True
    baseline  egalitarian   -23.81    0.0 -24.9664 -22.6536   True
    baseline majoritarian    -12.7    0.0 -13.8564 -11.5436   True
    baseline      maximin   -9.193    0.0 -10.3494  -8.0366   True
    baseline     optimist   -7.538    0.0  -8.6944  -6.3816   True
    baseline  utilitarian  -10.138    0.0 -11.2944  -8.9816   True
    baseline         veto  -10.002    0.0 -11.1584  -8.8456   True
 egalitarian majoritarian    11.11    0.0   9.9536  12.2664   True
 egalitarian      maximin   14.617    0.0  13.4606  15.7734   True
 egalitarian     optimist   16.272    0.0  15.1156  17.4284   True
 egalitarian  utilitarian   13.672    0.0  12.5156  14.8284   True
 egalitarian         veto   13.808    0.0  12.6516  14.9644   True
majoritarian      maximin    3.507    0.0   2.3506   4.6634   True
majoritarian     optimist    5.162    0.0   4.0056   6.3184   True
majoritarian  utilitarian    2.562    0.0   1.4056   3.7184   True
majoritarian         veto    2.698    0.0   1.5416   3.8544   True
     maximin     optimist    1.655 0.0004   0.4986   2.8114   True
     maximin  utilitarian   -0.945 0.2052  -2.1014   0.2114  False
     maximin         veto   -0.809 0.4013  -1.9654   0.3474  False
    optimist  utilitarian     -2.6    0.0  -3.7564  -1.4436   True
    optimist         veto   -2.464    0.0  -3.6204  -1.3076   True
 utilitarian         veto    0.136    1.0  -1.0204   1.2924  False
------------------------------------------------------------------
