agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,average,1,10,0,0,0,0.0,0.0,36.0,19,-1.1,6,0
1,average,1,10,0,0,0,0.0,0.0,36.0,12,-1.1,5,0
2,average,1,22,0,2,0,0.0,0.0,96.0,9,-1.1,13,2
3,average,1,10,0,0,0,0.0,0.0,36.0,16,-1.1,7,0
4,average,1,10,0,0,0,0.0,0.0,36.0,20,-1.1,6,0
5,average,1,10,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
6,average,1,16,0,1,0,0.0,0.0,75.0,19,-1.1,11,1
7,average,1,10,0,0,0,0.0,0.0,36.0,11,-1.1,6,0
8,average,1,10,0,0,0,0.0,0.0,36.0,1,-1.1,8,0
9,average,1,10,0,0,0,0.0,0.0,36.0,18,-1.1,7,0
10,average,1,10,0,0,0,0.0,0.0,36.0,20,-1.1,7,0
11,average,1,10,0,0,0,0.0,0.0,36.0,17,-1.1,7,0
12,average,1,16,0,1,0,0.0,0.0,75.0,20,-1.1,9,1
13,average,1,16,0,1,0,0.0,0.0,87.0,10,-1.1,5,1
14,average,1,10,0,0,0,0.0,0.0,36.0,18,-1.1,7,0
15,average,1,10,0,0,0,0.0,0.0,36.0,11,-1.1,7,0
16,average,1,10,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
17,average,1,10,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
18,average,1,10,0,0,0,0.0,0.0,36.0,6,-1.1,5,0
19,average,1,10,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
0,average,2,21,0,2,0,0.0,0.0,108.0,1,-1.1,9,2
1,average,2,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
2,average,2,9,0,0,0,0.0,0.0,36.0,7,-1.1,5,0
3,average,2,15,0,1,0,0.0,0.0,57.0,1,-1.1,8,1
4,average,2,9,0,0,0,0.0,0.0,36.0,17,-1.1,6,0
5,average,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
6,average,2,9,0,0,0,0.0,0.0,36.0,8,-1.1,4,0
7,average,2,9,0,0,0,0.0,0.0,36.0,10,-1.1,5,0
8,average,2,9,0,0,0,0.0,0.0,36.0,20,-1.1,5,0
9,average,2,9,0,0,0,0.0,0.0,36.0,8,-1.1,6,0
10,average,2,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
11,average,2,9,0,0,0,0.0,0.0,36.0,13,-1.1,5,0
12,average,2,9,0,0,0,0.0,0.0,36.0,2,-1.1,6,0
13,average,2,9,0,0,0,0.0,0.0,36.0,9,-1.1,6,0
14,average,2,9,0,0,0,0.0,0.0,36.0,17,-1.1,6,0
15,average,2,15,0,1,0,0.0,0.0,81.0,17,-1.1,8,1
16,average,2,9,0,0,0,0.0,0.0,36.0,16,-1.1,5,0
17,average,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
18,average,2,9,0,0,0,0.0,0.0,36.0,4,-1.1,6,0
19,average,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
0,average,3,21,0,2,0,0.0,0.0,90.0,10,-1.1,10,2
1,average,3,9,0,0,0,0.0,0.0,36.0,19,-1.1,5,0
2,average,3,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
3,average,3,9,0,0,0,0.0,0.0,36.0,16,-1.1,4,0
4,average,3,9,0,0,0,0.0,0.0,36.0,14,-1.1,4,0
5,average,3,9,0,0,0,0.0,0.0,36.0,6,-1.1,4,0
6,average,3,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
7,average,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
8,average,3,15,0,1,0,0.0,0.0,63.0,1,-1.1,9,1
9,average,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
10,average,3,15,0,1,0,0.0,0.0,75.0,5,-1.1,8,1
11,average,3,9,0,0,0,0.0,0.0,36.0,19,-1.1,4,0
12,average,3,9,0,0,0,0.0,0.0,36.0,14,-1.1,4,0
13,average,3,9,0,0,0,0.0,0.0,36.0,10,-1.1,5,0
14,average,3,9,0,0,0,0.0,0.0,36.0,7,-1.1,4,0
15,average,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
16,average,3,9,0,0,0,0.0,0.0,36.0,14,-1.1,4,0
17,average,3,15,0,1,0,0.0,0.0,57.0,9,-1.1,7,1
18,average,3,9,0,0,0,0.0,0.0,36.0,6,-1.1,5,0
19,average,3,9,0,0,0,0.0,0.0,36.0,10,-1.1,6,0
0,average,4,15,0,1,0,0.0,0.0,57.0,17,-1.1,6,1
1,average,4,9,0,0,0,0.0,0.0,36.0,19,-1.1,4,0
2,average,4,9,0,0,0,0.0,0.0,36.0,9,-1.1,3,0
3,average,4,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
4,average,4,9,0,0,0,0.0,0.0,36.0,17,-1.1,5,0
5,average,4,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
6,average,4,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
7,average,4,9,0,0,0,0.0,0.0,36.0,10,-1.1,5,0
8,average,4,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
9,average,4,9,0,0,0,0.0,0.0,36.0,7,-1.1,3,0
10,average,4,9,0,0,0,0.0,0.0,36.0,5,-1.1,4,0
11,average,4,9,0,0,0,0.0,0.0,36.0,17,-1.1,4,0
12,average,4,9,0,0,0,0.0,0.0,36.0,5,-1.1,4,0
13,average,4,9,0,0,0,0.0,0.0,36.0,9,-1.1,4,0
14,average,4,9,0,0,0,0.0,0.0,36.0,4,-1.1,5,0
15,average,4,9,0,0,0,0.0,0.0,36.0,13,-1.1,5,0
16,average,4,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
17,average,4,9,0,0,0,0.0,0.0,36.0,9,-1.1,4,0
18,average,4,9,0,0,0,0.0,0.0,36.0,4,-1.1,4,0
19,average,4,9,0,0,0,0.0,0.0,36.0,9,-1.1,4,0
0,average,5,9,0,0,0,0.0,0.0,36.0,10,-1.1,4,0
1,average,5,15,1,1,0,0.0,5.000000000000001,68.0,0,-0.1999999999999999,6,2
2,average,5,15,0,1,0,0.0,0.0,69.0,9,-1.1,7,1
3,average,5,21,0,2,0,0.0,0.0,96.0,19,-1.1,11,2
4,average,5,15,0,1,0,0.0,0.0,57.0,17,-1.1,8,1
5,average,5,9,0,0,0,0.0,0.0,36.0,17,-1.1,5,0
6,average,5,15,0,1,0,0.0,0.0,75.0,19,-1.1,6,1
7,average,5,9,0,0,0,0.0,0.0,36.0,11,-1.1,3,0
8,average,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
9,average,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
10,average,5,9,0,0,0,0.0,0.0,36.0,14,-1.1,6,0
11,average,5,9,0,0,0,0.0,0.0,36.0,17,-1.1,4,0
12,average,5,9,0,0,0,0.0,0.0,36.0,20,-1.1,5,0
13,average,5,9,0,0,0,0.0,0.0,36.0,9,-1.1,4,0
14,average,5,9,0,0,0,0.0,0.0,36.0,6,-1.1,5,0
15,average,5,9,0,0,0,0.0,0.0,36.0,7,-1.1,4,0
16,average,5,9,0,0,0,0.0,0.0,36.0,15,-1.1,4,0
17,average,5,9,0,0,0,0.0,0.0,36.0,8,-1.1,4,0
18,average,5,9,0,0,0,0.0,0.0,36.0,6,-1.1,5,0
19,average,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
0,average,6,9,0,0,0,0.0,0.0,36.0,17,-1.1,7,0
1,average,6,15,0,1,0,0.0,0.0,57.0,17,-1.1,10,1
2,average,6,15,0,1,0,0.0,0.0,93.0,9,-1.1,10,1
