reward,numerosity,fitness
0,258,0.0
0,457,0.0
-6,138,0.0
0,277,0.0
0,488,0.0
-6,114,-45.0
0,495,0.0
-6,156,-54.0
0,4,0.0
0,426,0.0
-6,180,0.0
0,462,0.0
-6,210,-14.4
0,265,0.0
0,488,0.0
0,270,0.0
0,234,0.0
0,452,0.0
0,150,0.0
0,449,0.0
-6,180,0.0
0,3,0.0
0,456,0.0
-6,108,0.0
0,36,0.0
0,30,0.0
0,12,0.0
0,2,0.0
0,259,0.0
0,277,0.0
0,192,0.0
-6,240,-54.0
0,762,0.0
-12,156,0.0
0,12,0.0
0,5,0.0
0,280,0.0
0,514,0.0
0,36,0.0
-6,156,-10.8
0,18,0.0
0,482,0.0
-6,162,0.0
0,506,0.0
-6,96,0.0
0,6,0.0
0,265,0.0
0,486,0.0
-6,174,-45.0
0,3,0.0
0,470,0.0
-6,144,-27.0
0,427,0.0
0,24,0.0
-6,96,0.0
0,24,0.0
0,552,0.0
-6,156,0.0
0,259,0.0
0,492,0.0
-6,102,0.0
0,475,0.0
-6,102,-7.2
0,495,0.0
-6,144,-27.0
0,475,0.0
-6,108,0.0
0,24,0.0
0,505,0.0
-6,168,-54.0
0,12,0.0
0,233,0.0
0,465,0.0
-6,144,0.0
0,18,0.0
0,12,0.0
0,3,0.0
0,259,0.0
0,438,0.0
-6,126,0.0
0,447,0.0
-6,114,0.0
0,499,0.0
-6,198,-28.8
0,444,0.0
0,499,0.0
-6,102,0.0
0,240,0.0
0,445,0.0
-6,102,-21.6
0,18,0.0
0,24,0.0
0,18,0.0
0,84,0.0
0,48,0.0
-6,114,0.0
0,72,0.0
0,54,0.0
0,18,0.0
0,259,0.0
0,451,0.0
-6,78,0.0
0,262,0.0
0,416,0.0
0,60,0.0
-6,90,0.0
0,24,0.0
0,18,0.0
0,481,0.0
-6,114,-45.0
0,252,0.0
0,222,0.0
0,144,0.0
0,13,0.0
0,470,0.0
-6,138,-27.0
0,6,0.0
0,254,0.0
0,481,0.0
-6,78,0.0
0,466,0.0
-6,102,0.0
0,36,0.0
0,36,0.0
0,462,0.0
-6,198,-18.0
0,279,0.0
0,471,0.0
0,36,0.0
0,30,0.0
0,78,0.0
0,241,0.0
0,474,0.0
0,42,0.0
0,102,0.0
0,607,0.0
-12,156,0.0
0,84,0.0
0,278,0.0
-6,126,0.0
0,481,0.0
-6,72,0.0
0,247,0.0
0,956,0.0
0,126,0.0
-18,414,-64.80000000000001
0,24,0.0
0,481,0.0
-6,180,-54.0
0,2,0.0
0,475,0.0
0,66,0.0
0,42,0.0
0,42,0.0
0,30,0.0
0,438,0.0
-6,120,0.0
0,24,0.0
0,280,0.0
0,441,0.0
0,54,0.0
-6,174,0.0
0,30,0.0
0,12,0.0
0,479,0.0
-6,132,0.0
0,239,0.0
0,480,0.0
-6,150,0.0
0,495,0.0
0,54,0.0
0,48,0.0
-6,120,-21.6
0,5,0.0
0,656,0.0
-12,312,-21.600000000000005
0,2,0.0
0,474,0.0
-6,192,-3.6
0,425,0.0
-6,84,0.0
0,461,0.0
0,90,0.0
0,2,0.0
0,273,0.0
0,450,0.0
-6,90,0.0
0,266,0.0
0,716,0.0
-12,276,0.0
0,36,0.0
0,475,0.0
-6,126,-10.8
0,474,0.0
0,120,0.0
0,30,0.0
0,210,0.0
-6,192,-45.0
0,24,0.0
0,24,0.0
0,270,0.0
0,491,0.0
-6,174,-21.6
0,474,0.0
-6,180,-54.0
0,505,0.0
0,198,0.0
0,235,0.0
0,451,0.0
-6,168,-18.0
0,24,0.0
0,458,0.0
0,446,0.0
0,132,0.0
0,453,0.0
0,174,0.0
0,24,0.0
0,439,0.0
-6,168,-27.0
0,507,0.0
-6,126,0.0
0,30,0.0
0,18,0.0
0,8,0.0
0,482,0.0
0,30,0.0
-6,102,-16.2
0,12,0.0
0,257,0.0
0,278,0.0
0,482,0.0
-6,216,0.0
0,409,0.0
-6,114,0.0
0,482,0.0
0,222,0.0
0,479,0.0
0,60,0.0
-6,144,-16.2
0,36,0.0
0,476,0.0
-6,162,-45.0
0,476,0.0
-6,126,0.0
0,5,0.0
0,439,0.0
0,42,0.0
-6,102,-3.6
0,437,0.0
0,30,0.0
-6,126,-21.6
0,487,0.0
-6,90,0.0
0,462,0.0
-6,246,-45.0
0,267,0.0
0,488,0.0
-6,174,0.0
0,60,0.0
0,489,0.0
-6,96,-3.6
0,30,0.0
0,18,0.0
0,452,0.0
0,12,0.0
0,36,0.0
0,84,0.0
0,24,0.0
0,18,0.0
0,482,0.0
-6,138,0.0
0,493,0.0
0,120,0.0
0,18,0.0
0,501,0.0
-6,150,0.0
0,42,0.0
0,18,0.0
0,252,0.0
0,487,0.0
-6,150,0.0
0,413,0.0
0,198,0.0
0,497,0.0
0,451,0.0
-6,270,-54.0
0,507,0.0
-6,198,-27.0
0,427,0.0
0,24,0.0
-6,198,-21.6
0,489,0.0
0,192,0.0
0,7,0.0
0,500,0.0
0,48,0.0
-6,84,-36.0
0,427,0.0
0,24,0.0
0,30,0.0
0,126,0.0
0,18,0.0
0,6,0.0
0,456,0.0
-6,114,-45.0
0,3,0.0
0,437,0.0
0,24,0.0
0,18,0.0
0,42,0.0
-6,144,-16.2
0,30,0.0
0,414,0.0
-6,84,0.0
0,30,0.0
0,506,0.0
-6,144,0.0
0,507,0.0
-6,132,0.0
0,2,0.0
0,186,0.0
-6,156,0.0
0,478,0.0
-6,126,0.0
0,12,0.0
0,452,0.0
0,24,0.0
0,48,0.0
0,126,0.0
0,42,0.0
0,280,0.0
-6,126,0.0
0,30,0.0
0,24,0.0
0,460,0.0
-6,108,-3.6
0,30,0.0
0,12,0.0
0,433,0.0
-6,216,-36.0
0,395,0.0
-6,120,-3.6
0,48,0.0
0,470,0.0
-6,252,-54.0
0,2,0.0
0,458,0.0
-6,186,-3.6
0,426,0.0
-6,96,0.0
0,30,0.0
0,24,0.0
0,18,0.0
0,18,0.0
0,475,0.0
-6,144,0.0
0,247,0.0
0,450,0.0
-6,120,0.0
0,18,0.0
0,451,0.0
-6,108,0.0
0,5,0.0
0,462,0.0
0,180,0.0
0,240,0.0
0,253,0.0
0,488,0.0
-6,222,-18.0
0,375,0.0
0,36,0.0
0,36,0.0
0,54,0.0
0,243,0.0
0,273,0.0
0,466,0.0
-6,150,0.0
0,4,0.0
0,504,0.0
0,138,0.0
0,30,0.0
0,36,0.0
0,412,0.0
-6,102,-45.0
0,480,0.0
-6,150,0.0
0,487,0.0
-6,168,-36.0
0,30,0.0
0,527,0.0
-6,120,-54.0
0,193,0.0
0,463,0.0
-6,72,-3.6
0,452,0.0
-6,132,0.0
0,42,0.0
0,30,0.0
0,469,0.0
-6,156,0.0
0,267,0.0
0,273,0.0
0,505,0.0
-6,222,-36.0
0,24,0.0
0,259,0.0
0,474,0.0
-6,126,-10.8
0,465,0.0
-6,174,-27.0
0,23,0.0
0,513,0.0
-6,108,0.0
0,451,0.0
-6,132,0.0
0,2,0.0
0,449,0.0
-6,186,-45.0
0,5,0.0
0,475,0.0
0,96,0.0
0,247,0.0
0,240,0.0
0,476,0.0
-6,132,-21.6
0,271,0.0
0,254,0.0
0,464,0.0
-6,210,0.0
0,3,0.0
