      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.0058 0.8705 -0.0071  0.0188  False
     average  egalitarian  -0.0124 0.0691 -0.0254  0.0005  False
     average majoritarian  -0.0208    0.0 -0.0337 -0.0078   True
     average      maximin  -0.0041 0.9797  -0.017  0.0088  False
     average     optimist  -0.0194 0.0001 -0.0323 -0.0065   True
     average  utilitarian  -0.0068 0.7612 -0.0197  0.0062  False
     average         veto  -0.0095 0.3356 -0.0224  0.0034  False
    baseline  egalitarian  -0.0183 0.0005 -0.0312 -0.0054   True
    baseline majoritarian  -0.0266    0.0 -0.0395 -0.0137   True
    baseline      maximin    -0.01  0.276 -0.0229   0.003  False
    baseline     optimist  -0.0252    0.0 -0.0382 -0.0123   True
    baseline  utilitarian  -0.0126 0.0626 -0.0255  0.0003  False
    baseline         veto  -0.0153 0.0078 -0.0283 -0.0024   True
 egalitarian majoritarian  -0.0083 0.5193 -0.0212  0.0046  False
 egalitarian      maximin   0.0083 0.5112 -0.0046  0.0213  False
 egalitarian     optimist   -0.007 0.7327 -0.0199   0.006  False
 egalitarian  utilitarian   0.0057 0.8852 -0.0072  0.0186  False
 egalitarian         veto   0.0029 0.9972   -0.01  0.0159  False
majoritarian      maximin   0.0166 0.0024  0.0037  0.0296   True
majoritarian     optimist   0.0014    1.0 -0.0116  0.0143  False
majoritarian  utilitarian    0.014 0.0231  0.0011  0.0269   True
majoritarian         veto   0.0113 0.1429 -0.0017  0.0242  False
     maximin     optimist  -0.0153 0.0081 -0.0282 -0.0024   True
     maximin  utilitarian  -0.0026 0.9986 -0.0156  0.0103  False
     maximin         veto  -0.0054 0.9114 -0.0183  0.0075  False
    optimist  utilitarian   0.0126 0.0606 -0.0003  0.0256  False
    optimist         veto   0.0099 0.2823  -0.003  0.0228  False
 utilitarian         veto  -0.0027 0.9982 -0.0157  0.0102  False
----------------------------------------------------------------
