      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.0064 0.0027  0.0014  0.0113   True
     average  egalitarian  -0.0013 0.9926 -0.0063  0.0036  False
     average majoritarian  -0.0059 0.0087 -0.0108 -0.0009   True
     average      maximin   0.0012 0.9966 -0.0038  0.0061  False
     average     optimist  -0.0033 0.4546 -0.0083  0.0016  False
     average  utilitarian   0.0017  0.973 -0.0033  0.0066  False
     average         veto  -0.0003    1.0 -0.0053  0.0046  False
    baseline  egalitarian  -0.0077 0.0001 -0.0127 -0.0027   True
    baseline majoritarian  -0.0122    0.0 -0.0172 -0.0072   True
    baseline      maximin  -0.0052 0.0341 -0.0102 -0.0002   True
    baseline     optimist  -0.0097    0.0 -0.0147 -0.0047   True
    baseline  utilitarian  -0.0047 0.0805 -0.0097  0.0003  False
    baseline         veto  -0.0067 0.0012 -0.0117 -0.0017   True
 egalitarian majoritarian  -0.0045 0.1065 -0.0095  0.0005  False
 egalitarian      maximin   0.0025 0.7942 -0.0025  0.0075  False
 egalitarian     optimist   -0.002 0.9234  -0.007   0.003  False
 egalitarian  utilitarian    0.003 0.6053  -0.002   0.008  False
 egalitarian         veto    0.001 0.9988  -0.004   0.006  False
majoritarian      maximin    0.007 0.0005   0.002   0.012   True
majoritarian     optimist   0.0025 0.7931 -0.0025  0.0075  False
majoritarian  utilitarian   0.0075 0.0001  0.0025  0.0125   True
majoritarian         veto   0.0055 0.0177  0.0005  0.0105   True
     maximin     optimist  -0.0045  0.107 -0.0095  0.0005  False
     maximin  utilitarian   0.0005    1.0 -0.0045  0.0055  False
     maximin         veto  -0.0015 0.9843 -0.0065  0.0035  False
    optimist  utilitarian    0.005 0.0473     0.0    0.01   True
    optimist         veto    0.003 0.5959  -0.002   0.008  False
 utilitarian         veto   -0.002 0.9276  -0.007   0.003  False
----------------------------------------------------------------
