episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
1,22,0,-1.0100000000000002,0,1.0,0.0,2.0,0.23809523809523808,0,0.0,0.9,0.32809523809523816,0.30000000000000016,0.059354860654436604,20,11
2,21,0,-1.12,0,1.0,0.0,2.0,0.20098039215686275,0,0.0,0.9,0.32450980392156875,0.30000000000000016,0.05920461372101404,20,11
3,21,0,-0.8649999999999999,0,1.0,0.0,2.0,0.21428571428571427,0,0.0,0.7000000000000001,0.31380952380952387,0.30000000000000016,0.054810539921540176,20,5
4,15,0,-1.23,0,1.0,0.0,1.0,0.03763440860215054,0,0.0,0.7000000000000001,0.3091397849462367,0.30000000000000016,0.057928891458303225,20,2
5,21,0,-0.9400000000000002,0,1.0,0.0,2.0,0.25,0,0.0,0.8000000000000002,0.31759259259259276,0.30000000000000016,0.05626578073089702,20,6
6,15,0,-1.1050000000000002,0,1.0,0.0,1.0,0.22380952380952382,0,0.03333333333333333,1.1,0.3366666666666667,0.30000000000000016,0.06451416131885077,20,11
7,21,0,-0.9450000000000003,0,1.0,0.0,2.0,0.26851851851851855,0,0.0,0.7000000000000002,0.31203703703703717,0.30000000000000016,0.05476369092273068,20,13
8,21,0,-1.1400000000000001,0,1.0,0.0,2.0,0.16161616161616163,0,0.0,0.9,0.3207070707070708,0.30000000000000016,0.05962324311914903,20,14
9,27,0,-0.7699999999999999,0,1.0,0.0,3.0,0.37719298245614036,0,0.0,1.0,0.3298245614035089,0.30000000000000016,0.06121693630610007,20,7
10,15,0,-1.3450000000000002,0,1.0,0.0,1.0,0.043010752688172046,0,0.0,0.7000000000000001,0.31236559139784953,0.30000000000000016,0.05785951727128197,20,1
11,15,0,-1.2650000000000001,0,1.0,0.0,1.0,0.1414141414141414,0,0.0,0.9,0.3267676767676769,0.30000000000000016,0.0611537382343188,20,12
12,15,0,-1.0650000000000002,0,1.0,0.0,1.0,0.14705882352941177,0,0.0,0.7000000000000002,0.30980392156862757,0.30000000000000016,0.05617974288117265,20,4
13,15,0,-1.0350000000000001,0,1.0,0.0,1.0,0.15196078431372548,0,0.0,0.7000000000000002,0.31274509803921585,0.30000000000000016,0.05611342064159557,20,5
14,15,0,-1.445,0,1.0,0.0,1.0,0.03763440860215054,0,0.0,0.7000000000000001,0.3091397849462367,0.30000000000000016,0.057928891458303225,20,2
