,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
698,0,1,200,0,54,0,13.300000000000038,133.00000000000037,14484.0,0,1.0,,54
699,1,1,200,0,45,4,7.900000000000039,79.00000000000038,11424.0,4,0.9,,45
414,2,1,105,1,16,1,0.0,5.999999999999968,1164.0,0,-0.1999999999999999,,17
700,3,1,200,3,32,14,0.0999999999999981,18.99999999999998,2412.0,3,0.9,,35
1213,0,2,200,0,57,0,15.000000000000034,150.00000000000034,15672.0,1,1.8,,57
1214,1,2,200,0,39,1,4.199999999999998,41.99999999999998,6816.0,0,1.0,,39
735,2,2,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,,1
1024,3,2,105,1,16,4,0.0,5.000000000000001,965.0,0,-1.0,,17
1863,0,3,200,0,52,0,12.000000000000028,120.00000000000028,12402.0,0,1.0,,52
1864,1,3,200,0,49,2,10.200000000000047,102.00000000000048,14538.0,0,1.0,,49
1865,2,3,200,1,32,4,0.0,5.999999999999926,2664.0,0,0.8,,33
1418,3,3,51,1,7,4,0.0,5.000000000000005,410.0,0,-1.0,,8
2520,0,4,200,1,50,3,10.800000000000034,114.00000000000034,13434.0,3,1.5,,51
2521,1,4,200,0,36,0,2.3999999999999866,23.999999999999865,4776.0,2,0.9,,36
2522,2,4,200,1,43,2,6.600000000000016,72.00000000000014,6156.0,0,1.0,,44
2093,3,4,57,0,8,1,0.0,0.0,402.0,4,-1.1,,8
3124,0,5,200,0,53,4,12.60000000000004,126.0000000000004,19146.0,3,0.9,,53
2932,1,5,104,0,16,0,0.0,0.0,1800.0,1,-1.1,,16
3125,2,5,200,1,47,2,9.000000000000016,96.00000000000016,7218.0,0,1.0,,48
2918,3,5,99,0,15,3,0.0,0.0,717.0,4,-1.1,,15
3732,0,6,200,1,53,1,12.60000000000003,132.00000000000028,13596.0,0,1.8,,54
3733,1,6,200,0,36,1,2.4000000000000297,24.00000000000029,7704.0,2,0.9,,36
3734,2,6,200,1,43,0,6.600000000000013,72.00000000000013,7398.0,1,1.8,,44
3161,3,6,9,0,0,1,0.0,0.0,42.0,0,-1.0,,0
4382,0,7,200,1,33,13,0.6000000000000013,12.000000000000012,7134.0,3,1.5,,34
4383,1,7,200,0,42,4,6.000000000000001,60.00000000000001,6510.0,1,1.8,,42
4384,2,7,200,0,54,0,13.200000000000038,132.00000000000037,13596.0,0,1.0,,54
3934,3,7,50,1,7,5,0.0,5.999999999999998,489.0,0,-1.0,,8
4992,0,8,200,0,48,3,9.600000000000035,96.00000000000034,12036.0,3,0.9,,48
4968,1,8,188,0,30,0,0.0,0.0,3192.0,3,-1.1,,30
4993,2,8,200,1,46,0,8.400000000000025,90.00000000000024,9030.0,1,1.8,,47
4468,3,8,21,1,2,1,0.0,5.000000000000001,113.0,0,-0.1999999999999999,,3
5452,0,9,200,0,38,6,3.600000000000044,36.00000000000044,13254.0,3,0.9,,38
5051,1,9,15,0,1,0,0.0,0.0,75.0,1,-1.1,,1
5453,2,9,200,5,49,1,10.200000000000028,132.00000000000026,11910.0,0,1.8,,54
5143,3,9,45,0,6,1,0.0,0.0,318.0,4,-1.1,,6
6120,0,10,200,1,51,1,11.400000000000048,120.00000000000044,15402.0,3,1.5,,52
6121,1,10,200,0,33,2,0.5999999999999878,5.999999999999877,4260.0,1,0.9,,33
6122,2,10,200,1,44,0,7.2000000000000135,78.00000000000013,7488.0,0,1.8,,45
5729,3,10,69,0,10,1,0.0,0.0,516.0,4,-1.1,,10
6765,0,11,200,0,53,0,12.600000000000042,126.0000000000004,15660.0,0,1.0,,53
6766,1,11,200,0,35,0,1.7999999999999994,17.999999999999993,6228.0,3,0.9,,35
6767,2,11,200,1,44,1,7.200000000000016,78.00000000000016,7032.0,0,1.0,,45
6302,3,11,45,0,6,2,0.0,0.0,288.0,0,-1.0,,6
7541,0,12,200,0,53,4,12.600000000000046,126.00000000000044,18258.0,3,0.9,,53
7542,1,12,200,0,34,0,1.1999999999999855,11.999999999999854,5370.0,3,0.9,,34
