,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
0,1.0,0.0,0.07807807807807808,0.0,0.0,0.7000000000000001,7.468468468468468,15.468468468468469,0.07807807807807808,1.0,999
1,1.0,1.0,0.02002002002002002,0.0,0.0,0.7000000000000001,7.12012012012012,15.12012012012012,0.02002002002002002,1.0,999
2,1.0,2.0,0.03903903903903904,0.0,0.0,0.7000000000000001,7.2342342342342345,15.234234234234235,0.03903903903903904,1.0,999
3,1.0,3.0,0.02902902902902903,0.0,0.0,0.7000000000000001,7.1741741741741745,15.174174174174174,0.02902902902902903,1.0,999
4,2.0,0.0,0.238,0.035,0.076,0.6211000000000001,7.639000000000001,23.022,0.2738,1.259,1000
5,2.0,1.0,0.105,0.1,0.001,0.6601000000000001,7.231000000000001,22.086,0.1245,1.305,1000
6,2.0,2.0,0.152,0.016,0.03,0.6097,7.009000000000001,22.2,0.176,1.31,1000
7,2.0,3.0,0.09,0.009,0.018,0.6055000000000001,6.595000000000001,21.762,0.102,1.33,1000
8,3.0,0.0,0.325,0.143,0.269,0.5859000000000001,7.809000000000001,30.597,0.3877,1.836,1000
9,3.0,1.0,0.165,0.424,0.004,0.7545000000000001,8.535,29.955,0.26830000000000004,1.814,1000
10,3.0,2.0,0.217,0.082,0.127,0.5493000000000001,6.795000000000001,28.965,0.3205,1.889,1000
11,3.0,3.0,0.208,0.024,0.073,0.5145000000000001,6.393000000000001,28.107,0.2045,1.911,1000
12,4.0,0.0,0.516,0.169,0.279,0.5015000000000001,8.111,38.702,0.2052,2.793,1000
13,4.0,1.0,0.182,0.595,0.004,0.7571,8.663,38.576,0.3368,2.679,1000
14,4.0,2.0,0.329,0.174,0.129,0.5045000000000001,7.019,35.984,0.2704,2.863,1000
15,4.0,3.0,0.37,0.037,0.075,0.42230000000000006,6.4430000000000005,34.55,0.16140000000000002,2.903,1000
16,5.0,0.0,0.652,0.193,0.289,0.4159000000000001,8.071,46.755,0.104,3.425,1000
17,5.0,1.0,0.192,0.78,0.004,0.7681,8.833,47.391,0.356,3.189,1000
18,5.0,2.0,0.377,0.318,0.13,0.4909000000000001,7.171000000000001,43.155,0.29810000000000003,3.478,1000
19,5.0,3.0,0.508,0.088,0.078,0.3529000000000001,6.577000000000001,41.121,0.1911,3.544,1000
20,6.0,0.0,0.724,0.254,0.308,0.35250000000000004,7.869000000000001,54.618,0.10529999999999999,3.974,1000
21,6.0,1.0,0.159,0.984,0.004,0.7905,8.859,56.19,0.3434,3.563,1000
22,6.0,2.0,0.427,0.44,0.131,0.46410000000000007,7.203000000000001,50.352,0.2385,3.996,1000
23,6.0,3.0,0.554,0.195,0.084,0.3171000000000001,6.495000000000002,47.58,0.2046,4.161,1000
24,7.0,0.0,0.682,0.41,0.326,0.3461000000000001,7.553000000000002,62.123,0.1812,4.322,1000
25,7.0,1.0,0.148,1.162,0.004,0.7973000000000001,8.861,64.991,0.307,3.76,1000
26,7.0,2.0,0.307,0.694,0.144,0.5165000000000001,7.007000000000001,57.359,0.3715,4.353,1000
27,7.0,3.0,0.555,0.325,0.089,0.29510000000000014,6.2810000000000015,53.855,0.2067,4.492,1000
28,8.0,0.0,0.519,0.662,0.349,0.3973000000000001,7.087000000000001,69.168,0.2771,4.725,1000
29,8.0,1.0,0.172,1.347,0.005,0.8082999999999999,9.115,73.95,0.3195,3.971,1000
30,8.0,2.0,0.138,0.978,0.17,0.5869000000000001,6.697000000000001,64.038,0.428,4.773,1000
31,8.0,3.0,0.463,0.539,0.101,0.3235000000000002,6.013000000000001,59.868,0.3378,4.983,1000
32,9.0,0.0,0.392,0.895,0.372,0.4625000000000001,6.747000000000001,75.873,0.07970000000000001,5.443,1000
33,9.0,1.0,0.191,1.564,0.005,0.8439,9.548,83.365,0.309,4.487,1000
34,9.0,2.0,0.159,1.086,0.202,0.5567000000000002,6.495000000000001,70.509,0.22519999999999998,5.31,1000
35,9.0,3.0,0.378,0.741,0.116,0.3732000000000001,5.767000000000001,65.629,0.0381,5.554,1000
36,10.0,0.0,0.3418230563002681,1.2386058981233243,0.43967828418230565,0.5432975871313673,7.483914209115283,85.9892761394102,0.23056300268096513,6.415549597855228,746
37,10.0,1.0,0.16279069767441862,1.813953488372093,0.005285412262156448,0.888583509513742,9.861522198731501,95.71670190274841,0.31585623678646935,5.217758985200845,946
38,10.0,2.0,0.22526315789473683,1.2442105263157894,0.18526315789473685,0.5466315789473685,6.817894736842106,78.82315789473684,0.2783157894736842,6.157894736842105,950
39,10.0,3.0,0.25594405594405595,1.0615384615384615,0.1258741258741259,0.4372027972027973,5.906293706293708,75.07832167832167,0.14657342657342656,6.562237762237762,715
40,11.0,0.0,0.4879356568364611,1.3230563002680966,0.44638069705093836,0.4939678284182306,7.867292225201074,93.8485254691689,0.28699731903485254,6.879356568364611,746
41,11.0,1.0,0.17566137566137566,1.9788359788359788,0.005291005291005291,0.8873015873015873,9.926984126984127,105.68253968253968,0.33269841269841266,5.560846560846561,945
42,11.0,2.0,0.2694736842105263,1.416842105263158,0.18526315789473685,0.5502105263157896,7.118947368421054,85.9421052631579,0.38,6.58421052631579,950
43,11.0,3.0,0.3739495798319328,1.1316526610644257,0.12745098039215685,0.37899159663865567,6.033613445378153,81.1344537815126,0.23403361344537815,6.983193277310924,714
44,12.0,0.0,0.561662198391421,1.4597855227882037,0.4571045576407507,0.476005361930295,8.130026809651476,101.96246648793566,0.30294906166219837,7.214477211796247,746
45,12.0,1.0,0.18306878306878308,2.149206349206349,0.005291005291005291,0.8895238095238095,9.993650793650794,115.65079365079364,0.33502645502645506,5.828571428571428,945
46,12.0,2.0,0.25263157894736843,1.6157894736842104,0.1863157894736842,0.5695789473684212,7.211578947368422,93.15368421052632,0.37105263157894736,6.910526315789474,950
47,12.0,3.0,0.4327731092436975,1.2591036414565826,0.13165266106442577,0.35546218487394976,6.151260504201682,87.26890756302521,0.29173669467787117,7.30532212885154,714
48,13.0,0.0,0.4436997319034853,1.7117962466487935,0.47050938337801607,0.5272117962466489,7.934316353887401,109.85656836461126,0.35495978552278823,7.53083109919571,746
49,13.0,1.0,0.17777777777777778,2.3322751322751323,0.006349206349206349,0.8993650793650794,10.060317460317458,125.67301587301587,0.3448677248677248,6.027513227513228,945
50,13.0,2.0,0.22842105263157894,1.825263157894737,0.18842105263157893,0.5952631578947369,7.323157894736843,100.4642105263158,0.3877894736842105,7.162105263157895,950
51,13.0,3.0,0.47058823529411764,1.4075630252100841,0.1400560224089636,0.3445378151260506,6.268907563025212,93.5126050420168,0.3187675070028011,7.5322128851540615,714
52,14.0,0.0,0.3739946380697051,1.9436997319034852,0.4839142091152815,0.5663538873994639,7.90750670241287,117.75603217158177,0.3694369973190349,7.851206434316354,746
53,14.0,1.0,0.17883597883597885,2.5238095238095237,0.008465608465608466,0.9142857142857141,10.215873015873013,135.8,0.3358730158730158,6.246560846560847,945
54,14.0,2.0,0.18526315789473685,2.0042105263157897,0.2031578947368421,0.6026315789473685,7.137894736842107,107.5957894736842,0.33052631578947367,7.444210526315789,950
55,14.0,3.0,0.36134453781512604,1.6624649859943978,0.15546218487394958,0.39747899159663885,6.142857142857144,99.6470588235294,0.40938375350140055,7.868347338935574,714
56,15.0,0.0,0.36193029490616624,2.1193029490616624,0.5040214477211796,0.5867292225201073,7.928954423592494,125.66890080428955,0.182171581769437,8.296246648793566,746
57,15.0,1.0,0.15978835978835979,2.7386243386243385,0.009523809523809525,0.9485714285714284,10.42328042328042,146.1015873015873,0.2794708994708995,6.656084656084656,945
58,15.0,2.0,0.20421052631578948,2.14,0.22736842105263158,0.5942105263157896,7.120000000000001,114.69684210526316,0.20642105263157895,7.851578947368421,950
59,15.0,3.0,0.2703081232492997,1.8557422969187676,0.17787114845938376,0.4334733893557425,5.841736694677873,105.4719887955182,0.10672268907563026,8.375350140056023,714
60,16.0,0.0,0.37697160883280756,2.419558359621451,0.5252365930599369,0.6518927444794954,8.780757097791799,138.75078864353313,0.30441640378548895,8.884858044164037,634
61,16.0,1.0,0.17002237136465326,2.9865771812080535,0.008948545861297539,0.991946308724832,10.93959731543624,161.38926174496643,0.3125279642058165,7.174496644295302,894
62,16.0,2.0,0.20843091334894615,2.398126463700234,0.22482435597189696,0.6389929742388759,7.640515222482437,126.26932084309134,0.29613583138173305,8.423887587822014,854
63,16.0,3.0,0.2819614711033275,2.1033274956217163,0.19089316987740806,0.4619964973730299,6.3117338003502645,116.66900175131349,0.16567425569176883,8.99124343257443,571
64,17.0,0.0,0.49369085173501576,2.5362776025236595,0.5283911671924291,0.6219242902208203,9.181388012618298,147.93217665615143,0.31955835962145107,9.206624605678233,634
65,17.0,1.0,0.15883668903803133,3.151006711409396,0.008948545861297539,0.9906040268456373,10.859060402684563,172.248322147651,0.3149888143176734,7.430648769574944,894
