agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,22,0,2,0,0.0,0.0,120.0,3,-1.1,12,2
1,1,200,2,41,10,5.500000000000014,67.00000000000014,7608.0,0,1.0,28,43
2,1,200,0,45,11,7.900000000000018,79.00000000000017,9066.0,0,1.0,16,45
3,1,22,0,2,1,0.0,0.0,144.0,2,-1.1,10,2
0,2,200,1,45,0,7.800000000000029,84.00000000000028,9900.0,0,1.8,21,46
1,2,21,0,2,0,0.0,0.0,126.0,0,-1.0,11,2
2,2,200,1,44,0,7.200000000000027,78.00000000000026,9240.0,0,1.0,17,45
3,2,33,2,4,1,0.0,11.000000000000004,245.0,0,-0.1999999999999999,16,6
0,3,50,1,7,4,0.0,5.99999999999999,621.0,0,-1.0,27,8
1,3,200,2,41,10,5.400000000000014,66.00000000000013,8514.0,0,1.0,28,43
2,3,200,0,45,6,7.800000000000033,78.00000000000033,9228.0,0,1.0,32,45
3,3,39,1,5,1,0.0,5.000000000000005,290.0,0,-1.0,23,6
0,4,15,0,1,0,0.0,0.0,57.0,3,-1.1,7,1
1,4,200,0,38,1,3.6000000000000023,36.00000000000002,7578.0,3,0.9,21,38
2,4,21,0,2,0,0.0,0.0,126.0,1,-1.1,9,2
3,4,200,0,38,3,3.599999999999996,35.99999999999996,4092.0,0,1.0,23,38
0,5,200,0,47,1,9.000000000000023,90.00000000000023,8634.0,1,1.8,22,47
1,5,38,0,5,2,0.0,0.0,381.0,0,-1.0,13,5
2,5,200,1,45,0,7.800000000000027,84.00000000000027,10296.0,1,1.8,18,46
3,5,15,1,1,0,0.0,5.000000000000002,80.0,0,-0.1999999999999999,9,2
0,6,15,2,1,0,0.0,11.0,110.0,0,-0.1999999999999999,8,3
1,6,200,1,44,12,7.200000000000009,78.00000000000009,7608.0,1,1.8,26,45
2,6,200,0,46,10,8.400000000000023,84.00000000000023,8664.0,1,1.8,19,46
3,6,33,0,4,0,0.0,0.0,216.0,2,-1.1,18,4
0,7,9,0,0,1,0.0,0.0,42.0,4,-1.1,6,0
1,7,200,2,42,12,6.000000000000021,72.00000000000021,7932.0,0,1.8,26,44
2,7,200,1,43,10,6.600000000000027,72.00000000000027,8880.0,0,1.8,19,44
3,7,27,1,3,0,0.0,5.000000000000003,212.0,0,-1.0,11,4
0,8,200,0,44,1,7.200000000000018,72.00000000000017,7008.0,0,1.0,28,44
1,8,27,0,3,2,0.0,0.0,153.0,0,-1.0,16,3
2,8,200,1,44,0,7.200000000000021,78.0000000000002,9108.0,0,1.0,22,45
3,8,39,1,5,0,0.0,5.000000000000005,290.0,0,-1.0,25,6
0,9,200,1,48,0,9.600000000000035,102.00000000000036,12270.0,1,1.8,14,49
1,9,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
2,9,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
3,9,44,1,6,1,0.0,5.999999999999993,510.0,0,-1.0,21,7
0,10,75,1,11,3,0.0,5.000000000000005,572.0,4,-1.1,28,12
1,10,68,0,10,5,0.0,0.0,618.0,2,-1.1,25,10
2,10,200,0,47,1,9.00000000000004,90.0000000000004,12840.0,0,1.0,22,47
3,10,93,2,14,3,0.0,11.000000000000014,977.0,0,-1.0,29,16
0,11,9,1,0,0,0.0,5.000000000000001,71.0,2,-1.1,4,1
1,11,27,2,3,0,0.0,11.000000000000002,188.0,0,-1.0,12,5
2,11,200,0,44,0,7.20000000000001,72.0000000000001,7800.0,1,1.8,22,44
3,11,21,0,2,0,0.0,0.0,96.0,2,-1.1,10,2
0,12,27,0,3,1,0.0,0.0,129.0,0,-1.0,11,3
1,12,27,2,3,1,0.0,11.0,206.0,0,-0.1999999999999999,9,5
2,12,200,1,44,0,7.200000000000028,78.00000000000027,10278.0,0,1.8,11,45
3,12,27,1,3,1,0.0,5.000000000000003,152.0,0,-1.0,13,4
0,13,200,0,49,2,10.200000000000022,102.0000000000002,9234.0,1,1.8,25,49
1,13,39,0,5,6,0.0,0.0,321.0,2,-1.1,18,5
2,13,200,1,45,2,7.800000000000049,84.00000000000048,12366.0,0,1.0,25,46
3,13,69,2,10,2,0.0,11.0,731.0,0,-1.0,23,12
0,14,45,0,6,2,0.0,0.0,312.0,3,-1.1,18,6
1,14,200,3,36,14,2.399999999999997,41.99999999999997,2424.0,0,1.0,34,39
2,14,200,0,42,10,6.000000000000044,60.00000000000043,10704.0,1,1.8,32,42
3,14,200,1,38,9,3.5999999999999948,41.99999999999994,4446.0,0,1.8,41,39
0,15,27,0,3,1,0.0,0.0,171.0,4,-1.1,14,3
1,15,200,0,34,8,1.1999999999999966,11.999999999999966,2280.0,0,1.0,26,34
2,15,200,0,46,16,8.400000000000043,84.00000000000043,10986.0,0,1.0,25,46
3,15,200,0,39,17,4.199999999999992,41.99999999999992,4704.0,4,1.5,34,39
0,16,39,0,5,0,0.0,0.0,183.0,0,-1.0,17,5
1,16,200,2,32,16,0.0,11.999999999999996,2130.0,0,0.0,31,34
2,16,200,0,48,20,9.600000000000046,96.00000000000044,12834.0,4,0.9,26,48
3,16,200,2,42,18,5.9999999999999964,71.99999999999996,5598.0,0,1.0,36,44
0,17,38,1,5,1,0.0,5.999999999999995,345.0,0,-0.1999999999999999,13,6
1,17,200,1,41,7,5.400000000000004,60.00000000000004,5040.0,0,1.0,35,42
2,17,200,1,43,7,6.600000000000013,72.00000000000013,6858.0,0,1.8,23,44
3,17,39,0,5,2,0.0,0.0,261.0,2,-1.1,18,5
0,18,51,0,7,2,0.0,0.0,387.0,1,-1.1,21,7
1,18,200,1,40,2,4.800000000000024,54.00000000000024,7566.0,3,0.9,28,41
2,18,21,1,2,0,0.0,5.000000000000003,101.0,0,-0.1999999999999999,10,3
3,18,200,0,40,7,4.800000000000024,48.00000000000024,6576.0,1,1.8,24,40
0,19,200,1,41,5,5.400000000000019,60.000000000000185,7332.0,0,1.8,21,42
1,19,200,0,41,11,5.400000000000006,54.00000000000006,6996.0,0,1.0,32,41
2,19,200,0,44,5,7.200000000000044,72.00000000000043,11052.0,1,1.8,26,44
3,19,15,0,1,1,0.0,0.0,75.0,0,-1.0,8,1
0,20,200,0,42,0,6.00000000000002,60.00000000000019,6480.0,1,1.8,18,42
1,20,39,0,5,2,0.0,0.0,291.0,2,-1.1,15,5
2,20,200,1,42,1,6.000000000000036,66.00000000000034,9540.0,1,1.8,20,43
3,20,39,0,5,2,0.0,0.0,267.0,3,-1.1,16,5
0,21,21,1,2,1,0.0,5.000000000000002,113.0,0,-0.1999999999999999,10,3
1,21,45,3,6,1,0.0,17.0,425.0,3,-1.1,20,9
2,21,200,7,32,0,2.775557561562892e-17,42.0,5652.0,0,1.0,24,39
3,21,33,1,4,1,0.0,5.000000000000004,221.0,0,-1.0,17,5
0,22,200,0,35,5,1.7999999999999885,17.999999999999883,3738.0,0,1.0,39,35
