,reward,numerosity,fitness
0,1,57,684.0
1,1,47,920.4
2,1,28,212.4
3,2,40,1274.7
4,1,43,367.2
5,1,16,141.0
6,1,36,433.2
7,1,43,928.8
8,1,60,1020.6
9,1,23,241.8
10,1,22,117.6
11,1,22,148.5
12,1,12,103.2
13,1,30,158.4
14,2,24,910.8
15,1,29,190.8
16,1,35,219.6
17,1,66,1305.6
18,1,20,110.7
19,1,67,1653.9
20,1,40,907.2
21,1,55,865.8
22,1,27,218.4
23,1,13,48.3
24,1,14,402.6
25,1,28,218.4
26,1,51,996.3
27,1,22,114.0
28,1,44,633.6
29,1,34,486.0
30,2,45,1281.6
31,1,17,269.1
32,1,46,456.0
33,1,18,158.4
34,1,30,345.6
35,1,16,324.0
36,1,45,1041.6
37,1,17,33.6
38,1,14,165.6
39,1,47,793.5
40,1,43,745.2
41,1,61,1468.8
42,1,30,959.4
43,1,50,972.0
44,2,19,384.0
45,1,47,522.0
46,1,50,1041.6
47,1,25,66.0
48,1,40,1134.6
