,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
627,0,1,200,0,40,7,4.900000000000017,49.00000000000017,6732.0,1,1.8,31,40
628,1,1,200,0,42,7,6.100000000000026,61.00000000000026,10116.0,0,1.0,29,42
629,2,1,200,0,45,0,7.900000000000029,79.00000000000028,8862.0,1,1.8,21,45
131,3,1,34,0,4,1,0.0,0.0,192.0,3,-1.1,15,4
1242,0,2,200,0,36,6,2.399999999999988,23.99999999999988,4710.0,0,1.0,18,36
1243,1,2,200,3,34,8,1.1999999999999864,29.99999999999986,4518.0,0,1.0,35,37
1244,2,2,200,0,42,4,6.000000000000036,60.00000000000036,8046.0,0,1.0,22,42
689,3,2,15,0,1,0,0.0,0.0,63.0,1,-1.1,12,1
1679,0,3,200,0,48,0,9.600000000000032,96.00000000000033,10218.0,1,1.8,19,48
1278,1,3,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,5,2
1680,2,3,200,5,38,0,3.599999999999992,65.99999999999991,6264.0,0,1.0,22,43
1334,3,3,27,2,3,0,0.0,11.000000000000002,230.0,2,-1.1,13,5
2305,0,4,200,0,37,4,2.999999999999988,29.99999999999988,4302.0,0,1.0,28,37
2306,1,4,200,1,35,11,1.7999999999999892,23.99999999999989,5328.0,0,1.0,33,36
2307,2,4,200,1,42,6,6.000000000000025,66.00000000000024,8274.0,0,1.8,20,43
1788,3,4,27,0,3,2,0.0,0.0,135.0,2,-1.1,12,3
2950,0,5,200,1,40,6,4.800000000000012,54.000000000000114,6384.0,0,1.8,24,41
2951,1,5,200,0,40,8,4.800000000000025,48.00000000000024,6858.0,0,1.0,25,40
2952,2,5,200,1,43,4,6.600000000000045,72.00000000000044,9336.0,0,1.8,19,44
2487,3,5,45,0,6,0,0.0,0.0,258.0,3,-1.1,20,6
3565,0,6,200,2,36,7,2.3999999999999897,35.99999999999989,4344.0,0,1.8,25,38
3566,1,6,200,0,45,3,7.800000000000026,78.00000000000026,9684.0,0,1.0,20,45
3567,2,6,200,0,41,0,5.400000000000007,54.000000000000064,6366.0,0,1.0,20,41
3012,3,6,15,0,1,0,0.0,0.0,57.0,0,-1.0,9,1
4174,0,7,200,0,37,9,2.9999999999999893,29.999999999999893,3972.0,1,1.8,36,37
4175,1,7,200,0,39,18,4.200000000000001,42.00000000000001,7356.0,0,1.0,31,39
3602,2,7,9,0,0,1,0.0,0.0,42.0,0,-1.0,6,0
4176,3,7,200,0,37,16,2.999999999999988,29.99999999999988,5592.0,3,1.5,28,37
4209,0,8,9,1,0,0,0.0,5.000000000000001,71.0,2,-1.1,5,1
4241,1,8,21,3,2,0,0.0,17.0,215.0,0,-0.1999999999999999,11,5
4421,2,8,200,9,32,0,4.718447854656915e-16,54.0,7044.0,4,0.9,19,41
4230,3,8,15,0,1,0,0.0,0.0,87.0,0,-1.0,8,1
5034,0,9,200,1,40,8,4.80000000000002,54.0000000000002,7560.0,0,1.0,23,41
5035,1,9,200,0,45,9,7.800000000000029,78.00000000000028,8466.0,0,1.0,28,45
5036,2,9,200,0,44,1,7.200000000000036,72.00000000000036,10002.0,0,1.0,20,44
4481,3,9,15,0,1,0,0.0,0.0,57.0,3,-1.1,8,1
5069,0,10,9,1,0,0,0.0,5.000000000000001,53.0,2,-1.1,6,1
5471,1,10,200,0,40,1,4.80000000000002,48.0000000000002,7506.0,1,1.8,21,40
5125,2,10,27,0,3,0,0.0,0.0,123.0,1,-1.1,11,3
5472,3,10,200,0,39,0,4.200000000000016,42.00000000000016,5298.0,0,1.0,22,39
5578,0,11,33,0,4,2,0.0,0.0,234.0,1,-1.1,15,4
5913,1,11,200,0,40,2,4.800000000000006,48.00000000000006,7170.0,1,1.8,26,40
5507,2,11,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
5914,3,11,200,0,39,2,4.199999999999995,41.99999999999994,4230.0,0,1.0,31,39
6077,0,12,50,1,7,2,0.0,5.999999999999975,681.0,0,-0.1999999999999999,14,8
6378,1,12,200,2,42,12,6.000000000000016,72.00000000000016,7584.0,4,0.9,32,44
6379,2,12,200,1,46,7,8.400000000000023,90.00000000000023,8838.0,0,1.8,24,47
5974,3,12,15,0,1,2,0.0,0.0,87.0,0,-1.0,6,1
6874,0,13,200,1,45,1,7.800000000000026,84.00000000000024,8382.0,0,1.8,21,46
6588,1,13,57,0,8,1,0.0,0.0,360.0,2,-1.1,23,8
6875,2,13,200,1,42,0,6.00000000000003,66.0000000000003,9690.0,0,1.0,21,43
6535,3,13,39,0,5,1,0.0,0.0,213.0,3,-1.1,15,5
7363,0,14,200,0,44,2,7.200000000000015,72.00000000000014,6426.0,0,1.0,26,44
7123,1,14,80,0,12,2,0.0,0.0,888.0,2,-1.1,23,12
7364,2,14,200,1,43,0,6.60000000000003,72.00000000000028,7896.0,0,1.0,26,44
6911,3,14,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,2,1
7421,0,15,15,1,1,0,0.0,5.000000000000002,116.0,2,-1.1,7,2
7471,1,15,38,4,5,0,0.0,24.0,453.0,0,-1.0,16,9
7441,2,15,21,0,2,0,0.0,0.0,126.0,1,-1.1,10,2
7466,3,15,33,0,4,0,0.0,0.0,192.0,3,-1.1,18,4
8090,0,16,200,0,44,4,7.200000000000006,72.00000000000006,6204.0,0,1.0,26,44
8091,1,16,200,0,43,6,6.599999999999998,65.99999999999997,5286.0,1,1.8,36,43
8092,2,16,200,0,46,2,8.40000000000003,84.0000000000003,10866.0,1,1.8,29,46
7555,3,16,21,0,2,1,0.0,0.0,120.0,3,-1.1,15,2
8245,0,17,39,1,5,0,0.0,5.000000000000006,260.0,0,-0.1999999999999999,13,6
8569,1,17,200,2,40,12,4.800000000000017,60.00000000000016,7200.0,0,1.0,32,42
