agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,200,2,41,6,5.500000000000017,67.00000000000017,7680.0,0,1.8,23,43
1,1,200,1,41,12,5.500000000000004,61.00000000000004,7044.0,0,1.8,31,42
2,1,16,2,1,1,0.0,11.0,128.0,0,-0.1999999999999999,7,3
3,1,200,0,49,1,10.300000000000036,103.00000000000036,13530.0,0,1.0,19,49
0,2,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,9,1
1,2,57,1,8,0,0.0,5.000000000000004,557.0,0,-0.1999999999999999,11,9
2,2,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,8,1
3,2,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,3,27,0,3,0,0.0,0.0,177.0,1,-1.1,14,3
1,3,15,1,1,0,0.0,5.000000000000001,110.0,4,-1.1,7,2
2,3,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,7,1
3,3,200,2,35,0,1.7999999999999905,29.9999999999999,4038.0,0,1.0,18,37
0,4,200,2,40,10,4.800000000000017,60.00000000000016,7698.0,0,1.0,25,42
1,4,200,1,43,14,6.6000000000000005,72.0,6894.0,1,1.8,27,44
2,4,15,1,1,1,0.0,5.000000000000001,98.0,0,-0.1999999999999999,9,2
3,4,200,0,51,2,11.400000000000034,114.00000000000034,12966.0,1,1.8,25,51
0,5,9,0,0,0,0.0,0.0,36.0,1,-1.1,7,0
1,5,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,6,1
2,5,21,0,2,0,0.0,0.0,138.0,2,-1.1,12,2
3,5,200,3,35,0,1.7999999999999885,35.99999999999988,4566.0,0,1.8,12,38
0,6,200,0,42,6,6.00000000000002,60.0000000000002,7242.0,4,1.9,24,42
1,6,9,1,0,0,0.0,5.000000000000001,77.0,4,-1.1,3,1
2,6,21,0,2,0,0.0,0.0,102.0,4,-1.1,9,2
3,6,200,0,42,0,6.000000000000003,60.00000000000002,5634.0,1,1.8,21,42
0,7,200,1,40,6,4.800000000000025,54.00000000000024,7284.0,2,1.5,23,41
