episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,41.0,9408.0,4268.0,17072.0,0.5205892689784443,1,46,23.25,93,0.48118279569892475,10,200,106.5,426,0.4424882629107981
2,42.0,15918.0,5507.25,22029.0,0.6011507558218712,0,58,25.75,103,0.5121359223300971,9,200,108.75,435,0.42931034482758623
3,87.0,5970.0,2928.75,11715.0,0.3854673495518566,1,41,28.5,114,0.26754385964912286,15,200,153.75,615,0.22560975609756095
4,41.0,13002.0,3311.25,13245.0,0.7345979614949038,1,54,15.0,60,0.6666666666666666,9,200,59.75,239,0.6119246861924686
5,80.0,12408.0,3178.5,12714.0,0.7275837659273242,2,54,15.0,60,0.65,15,200,61.25,245,0.5663265306122449
6,105.0,11622.0,3006.75,12027.0,0.7194437515589923,2,53,15.5,62,0.6209677419354839,21,200,70.25,281,0.48309608540925264
7,57.0,12042.0,3067.0,12268.0,0.7332491033583306,1,51,13.75,55,0.6863636363636364,9,200,59.75,239,0.5993723849372385
8,41.0,13818.0,3502.75,14011.0,0.7375098137177931,1,55,14.5,58,0.6982758620689655,9,200,58.25,233,0.621244635193133
9,42.0,13428.0,3406.75,13627.0,0.7372312321127173,0,50,13.25,53,0.7122641509433962,9,200,58.25,233,0.621244635193133
10,203.0,10530.0,3599.0,14396.0,0.5927688246735204,5,46,23.5,94,0.4042553191489362,33,200,121.0,484,0.3357438016528925
11,36.0,13956.0,4791.5,19166.0,0.6091777105290619,0,54,24.25,97,0.5128865979381443,9,200,106.0,424,0.44693396226415094
12,228.0,19404.0,6760.5,27042.0,0.5935766585311737,4,57,27.5,110,0.4363636363636364,33,200,122.5,490,0.3285714285714286
13,110.0,14088.0,3964.75,15859.0,0.6662620593984488,2,54,21.5,86,0.4593023255813954,15,200,100.25,401,0.3460099750623441
14,75.0,18264.0,6123.5,24494.0,0.6097411611006777,1,56,27.0,108,0.45833333333333337,15,200,118.0,472,0.36970338983050843
15,53.0,11178.0,2973.0,11892.0,0.701816347124117,1,49,16.0,64,0.5703125,9,200,73.25,293,0.4940273037542662
16,219.0,18720.0,6447.5,25790.0,0.5993408297789841,5,61,28.75,115,0.44130434782608696,39,200,121.0,484,0.3295454545454546
17,87.0,16086.0,5741.75,22967.0,0.5938847041407237,1,50,24.0,96,0.484375,15,200,107.5,430,0.43023255813953487
18,141.0,19002.0,5928.75,23715.0,0.6389943074003795,3,56,25.75,103,0.46359223300970875,27,200,118.0,472,0.3569915254237288
19,41.0,15324.0,6315.5,25262.0,0.55007521178054,1,50,24.0,96,0.49479166666666663,9,200,106.0,424,0.44693396226415094
20,129.0,18804.0,6446.0,25784.0,0.6065195470058952,3,60,27.25,109,0.47935779816513757,21,200,112.0,448,0.3962053571428571
21,86.0,14694.0,3939.25,15757.0,0.7065272577267246,2,54,17.75,71,0.5809859154929577,15,200,76.25,305,0.4844262295081967
22,186.0,20322.0,7011.5,28046.0,0.6023140554802824,2,64,28.0,112,0.5,20,200,111.75,447,0.3987695749440716
23,171.0,17382.0,4547.75,18191.0,0.710447474025617,3,57,18.75,75,0.55,27,200,80.75,323,0.4063467492260062
24,122.0,9756.0,3374.5,13498.0,0.5820491924729589,4,50,25.5,102,0.4068627450980392,27,200,122.5,490,0.3346938775510204
25,161.0,7860.0,5429.75,21719.0,0.27559970532713296,3,44,32.25,129,0.2383720930232558,21,200,155.25,621,0.21618357487922713
26,132.0,21486.0,7230.75,28923.0,0.610076755523286,2,63,29.25,117,0.4551282051282052,21,200,124.0,496,0.33366935483870963
27,86.0,12060.0,3093.75,12375.0,0.7261212121212122,2,51,14.75,59,0.6313559322033898,15,200,62.75,251,0.5587649402390438
28,84.0,15636.0,5582.25,22329.0,0.5944175735590488,1,54,24.5,98,0.5051020408163265,15,200,109.0,436,0.42087155963302747
29,114.0,9168.0,4945.5,19782.0,0.37465878070973613,2,43,30.75,123,0.2621951219512195,21,200,155.25,621,0.21618357487922713
30,69.0,13488.0,4740.0,18960.0,0.5977056962025317,1,50,23.25,93,0.48118279569892475,15,200,113.5,454,0.3942731277533039
31,47.0,9504.0,3955.25,15821.0,0.5443556033120536,1,47,23.0,92,0.4836956521739131,9,200,107.5,430,0.4372093023255814
32,138.0,11382.0,3924.5,15698.0,0.5987068416358772,2,50,24.0,96,0.46875,21,200,112.0,448,0.3962053571428571
33,42.0,13212.0,3358.75,13435.0,0.7357089691105322,0,52,13.75,55,0.7136363636363636,9,200,58.25,233,0.621244635193133
34,210.0,14616.0,4951.5,19806.0,0.6003483792790064,4,54,25.75,103,0.43446601941747576,33,200,122.5,490,0.3285714285714286
35,71.0,8472.0,5221.25,20885.0,0.3432726837443141,1,46,32.0,128,0.27734375,9,200,152.25,609,0.2352216748768472
36,113.0,11460.0,2980.5,11922.0,0.7148968293910418,3,52,15.5,62,0.5967741935483871,21,200,67.25,269,0.5046468401486989
37,92.0,13986.0,3584.25,14337.0,0.7272965055450931,2,53,15.0,60,0.6416666666666667,15,200,62.75,251,0.5587649402390438
38,41.0,14316.0,5189.0,20756.0,0.5909375602235498,1,49,23.25,93,0.49731182795698925,9,200,106.0,424,0.44693396226415094
39,41.0,13638.0,5392.25,21569.0,0.5468612360331958,1,53,29.0,116,0.3836206896551724,9,200,134.5,538,0.2992565055762082
40,120.0,13428.0,3474.5,13898.0,0.7199237300330983,2,53,15.5,62,0.6290322580645161,21,200,67.25,269,0.5046468401486989
41,75.0,8370.0,4118.25,16473.0,0.4060735749408122,1,43,30.0,120,0.275,15,200,153.75,615,0.22560975609756095
42,84.0,15024.0,5159.0,20636.0,0.6052529559992247,2,53,24.75,99,0.4772727272727273,21,200,112.0,448,0.3962053571428571
43,189.0,19140.0,6686.75,26747.0,0.5909354320110667,3,57,28.5,114,0.42105263157894735,27,200,125.5,502,0.32071713147410363
44,86.0,8592.0,3703.0,14812.0,0.5311234134485552,2,47,24.0,96,0.46354166666666663,15,200,107.5,430,0.43023255813953487
45,36.0,7218.0,3213.5,12854.0,0.5250894663139879,0,43,21.75,87,0.48563218390804597,9,200,106.0,424,0.44693396226415094
46,74.0,15102.0,5183.75,20735.0,0.607487340245961,2,54,24.75,99,0.48737373737373735,15,200,110.5,442,0.4117647058823529
47,77.0,10614.0,2794.75,11179.0,0.7070176223275785,1,49,15.5,62,0.5806451612903226,9,200,73.25,293,0.4940273037542662
48,47.0,16206.0,5493.25,21973.0,0.6145382970008647,1,56,24.5,98,0.5153061224489796,9,200,106.0,424,0.44693396226415094
49,87.0,11688.0,3108.0,12432.0,0.7049951737451737,1,51,16.25,65,0.5884615384615385,15,200,74.5,298,0.4697986577181208
50,81.0,12930.0,3326.75,13307.0,0.7249004283459833,1,52,14.75,59,0.6483050847457628,15,200,65.75,263,0.5332699619771863
51,75.0,13020.0,5321.0,21284.0,0.5457385829731254,1,50,25.5,102,0.4558823529411765,15,200,112.0,448,0.4029017857142857
52,81.0,13254.0,4485.5,17942.0,0.6115260283134545,1,49,22.5,90,0.49444444444444446,15,200,109.0,436,0.42087155963302747
53,120.0,17022.0,4579.5,18318.0,0.7026695054045201,2,57,19.25,77,0.5681818181818182,21,200,83.5,334,0.437125748502994
54,131.0,9162.0,4844.75,19379.0,0.38674596212394863,3,42,30.5,122,0.24590163934426235,21,200,155.25,621,0.21618357487922713
55,135.0,11334.0,5621.25,22485.0,0.40610406937958643,3,47,32.5,130,0.2615384615384615,27,200,156.75,627,0.2069377990430623
