agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,1,200,1,41,22,5.500000000000029,61.00000000000029,8328.0,0,1.8,21,42
1,1,200,0,43,0,6.700000000000011,67.0000000000001,7974.0,0,1.0,27,43
2,1,200,0,40,22,4.900000000000011,49.00000000000011,6606.0,0,1.0,26,40
3,1,10,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,5,1
0,2,56,0,8,0,0.0,0.0,552.0,1,-1.1,15,8
1,2,200,1,44,0,7.200000000000015,78.00000000000014,6174.0,0,1.0,27,45
2,2,33,1,4,2,0.0,5.000000000000003,257.0,0,-0.1999999999999999,13,5
3,2,9,2,0,0,0.0,11.0,71.0,0,-0.1999999999999999,8,2
0,3,200,0,44,3,7.200000000000009,72.00000000000009,6702.0,0,1.0,27,44
1,3,200,1,36,1,2.399999999999987,29.99999999999987,4626.0,0,1.0,31,37
2,3,200,0,38,6,3.5999999999999943,35.99999999999994,2754.0,0,1.0,34,38
3,3,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,7,2
0,4,200,0,40,1,4.800000000000017,48.00000000000016,7026.0,2,0.9,26,40
1,4,200,0,39,43,4.199999999999998,41.99999999999998,6720.0,4,1.1,22,39
2,4,21,1,2,1,0.0,5.000000000000001,155.0,0,-0.1999999999999999,10,3
3,4,200,0,44,38,7.1999999999999975,71.99999999999997,5784.0,0,1.0,28,44
0,5,200,1,45,40,7.800000000000042,84.00000000000041,10932.0,0,1.0,21,46
1,5,9,0,0,1,0.0,0.0,42.0,1,-1.1,7,0
2,5,200,1,47,33,9.000000000000025,96.00000000000024,9126.0,0,1.8,19,48
3,5,27,0,3,1,0.0,0.0,195.0,1,-1.1,16,3
0,6,200,0,49,0,10.200000000000037,102.00000000000036,12054.0,0,1.0,23,49
1,6,200,1,48,2,9.600000000000025,102.00000000000024,10812.0,1,1.8,26,49
2,6,200,0,35,5,1.7999999999999954,17.999999999999954,2532.0,1,1.8,28,35
3,6,39,0,5,3,0.0,0.0,285.0,2,-1.1,17,5
0,7,200,0,46,16,8.400000000000034,84.00000000000034,10650.0,0,1.0,19,46
1,7,200,1,43,0,6.60000000000003,72.00000000000028,9108.0,0,1.0,18,44
2,7,200,0,37,18,2.999999999999987,29.99999999999987,4296.0,1,1.8,18,37
3,7,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,7,1
0,8,200,0,44,19,7.200000000000007,72.00000000000007,6978.0,0,1.0,21,44
1,8,200,0,42,1,6.000000000000024,60.00000000000024,7356.0,1,1.8,28,42
2,8,200,0,42,18,6.000000000000005,60.00000000000005,5478.0,2,1.1,26,42
3,8,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,7,1
0,9,200,0,39,0,4.199999999999998,41.99999999999998,6324.0,1,1.8,28,39
1,9,200,0,35,39,1.7999999999999887,17.999999999999886,3024.0,0,1.0,29,35
2,9,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
3,9,200,0,40,33,4.799999999999994,47.999999999999936,4218.0,0,1.0,27,40
0,10,200,0,43,15,6.600000000000042,66.00000000000041,11640.0,0,1.0,21,43
1,10,200,0,45,1,7.800000000000029,78.00000000000028,10560.0,1,1.8,21,45
2,10,200,0,42,10,5.999999999999997,59.99999999999997,5202.0,0,1.0,24,42
3,10,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,11,200,0,34,0,1.2,11.999999999999998,1644.0,1,1.8,12,34
1,11,15,1,1,0,0.0,5.000000000000001,62.0,0,-0.1999999999999999,5,2
2,11,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
3,11,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
0,12,200,0,40,0,4.799999999999991,47.99999999999991,5148.0,0,1.0,19,40
1,12,146,1,23,0,0.0,5.9999999999999885,1269.0,0,-0.1999999999999999,22,24
2,12,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
3,12,15,0,1,0,0.0,0.0,87.0,1,-1.1,10,1
0,13,200,1,52,0,12.000000000000036,126.00000000000034,13482.0,0,1.8,20,53
1,13,200,2,48,0,9.600000000000032,108.0000000000003,12690.0,0,1.0,24,50
2,13,57,2,8,1,0.0,11.0,521.0,0,-0.1999999999999999,26,10
3,13,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,8,2
0,14,200,1,42,3,6.000000000000052,66.00000000000051,11796.0,1,1.8,32,43
1,14,200,1,37,39,2.999999999999991,35.99999999999991,5508.0,0,1.8,36,38
2,14,21,1,2,1,0.0,5.000000000000002,113.0,0,-0.1999999999999999,12,3
3,14,200,0,44,32,7.200000000000011,72.0000000000001,6738.0,0,1.0,29,44
0,15,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
1,15,200,1,50,0,10.800000000000033,114.00000000000033,12798.0,0,1.0,14,51
2,15,15,2,1,0,0.0,11.0,152.0,0,-1.0,5,3
3,15,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,7,1
0,16,200,0,45,28,7.800000000000026,78.00000000000026,9132.0,0,1.0,20,45
1,16,200,2,46,1,8.400000000000029,96.00000000000028,9708.0,0,1.8,20,48
2,16,200,0,44,27,7.200000000000024,72.00000000000024,8136.0,0,1.0,20,44
3,16,9,0,0,1,0.0,0.0,42.0,0,-1.0,4,0
0,17,200,0,49,0,10.200000000000037,102.00000000000034,11514.0,1,1.8,16,49
1,17,33,0,4,0,0.0,0.0,192.0,2,-1.1,13,4
2,17,39,1,5,1,0.0,5.000000000000005,296.0,0,-1.0,15,6
3,17,9,2,0,0,0.0,11.0,89.0,2,-1.1,4,2
0,18,200,0,47,0,9.00000000000002,90.00000000000018,9030.0,0,1.0,19,47
1,18,56,1,8,0,0.0,5.999999999999998,456.0,0,-0.1999999999999999,20,9
2,18,39,2,5,0,0.0,11.000000000000004,302.0,0,-0.1999999999999999,16,7
3,18,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,19,200,1,42,12,6.000000000000044,66.00000000000044,11604.0,0,1.0,23,43
1,19,200,3,35,1,1.7999999999999856,35.99999999999985,6210.0,0,1.8,25,38
2,19,200,1,41,11,5.4,60.0,5004.0,0,1.8,27,42
3,19,21,0,2,1,0.0,0.0,108.0,2,-1.1,8,2
0,20,200,0,44,0,7.200000000000035,72.00000000000034,9468.0,0,1.0,13,44
1,20,200,1,42,0,6.000000000000004,66.00000000000003,6396.0,0,1.0,12,43
2,20,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
3,20,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
0,21,200,1,42,1,6.00000000000003,66.0000000000003,7890.0,0,1.8,26,43
1,21,200,2,37,4,2.9999999999999867,41.999999999999865,5436.0,0,1.8,34,39
2,21,50,0,7,0,0.0,0.0,405.0,0,-1.0,22,7
3,21,45,0,6,5,0.0,0.0,366.0,0,-1.0,25,6
0,22,200,0,39,8,4.20000000000003,42.0000000000003,8352.0,1,0.9,26,39
1,22,200,1,40,49,4.799999999999989,53.999999999999886,4908.0,0,1.0,26,41
2,22,21,0,2,0,0.0,0.0,120.0,0,-1.0,11,2
3,22,200,0,49,39,10.20000000000003,102.00000000000028,9858.0,0,1.0,27,49
0,23,200,0,40,0,4.799999999999993,47.99999999999992,4704.0,0,1.0,17,40
1,23,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
2,23,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,23,200,1,37,1,2.9999999999999862,35.99999999999986,5412.0,0,1.0,21,38
0,24,200,0,44,26,7.200000000000034,72.00000000000034,10404.0,3,1.9,19,44
1,24,200,1,44,1,7.200000000000022,78.00000000000021,9450.0,0,1.0,22,45
2,24,200,1,41,26,5.400000000000004,60.00000000000004,5898.0,0,1.0,21,42
3,24,9,1,0,1,0.0,5.000000000000001,77.0,0,-1.0,7,1
0,25,200,0,41,18,5.400000000000026,54.000000000000256,7146.0,0,1.0,24,41
1,25,200,2,39,0,4.199999999999996,53.99999999999996,6318.0,0,1.8,23,41
2,25,200,0,40,19,4.800000000000001,48.00000000000001,5262.0,0,1.0,21,40
3,25,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
0,26,200,0,44,32,7.200000000000029,72.00000000000028,9360.0,3,0.9,23,44
1,26,200,1,42,0,6.000000000000012,66.00000000000011,7848.0,0,1.0,23,43
2,26,200,0,41,32,5.400000000000008,54.00000000000007,6954.0,0,1.0,23,41
3,26,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,7,1
0,27,200,0,44,4,7.200000000000048,72.00000000000048,11328.0,1,1.8,31,44
1,27,200,3,34,31,1.199999999999995,29.999999999999947,3906.0,0,1.8,46,37
2,27,69,1,10,1,0.0,5.0,515.0,0,-0.1999999999999999,26,11
3,27,200,0,36,27,2.3999999999999893,23.99999999999989,4410.0,0,1.0,41,36
