episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,195.0,7236.0,4226.25,16905.0,0.33322981366459625,3,44,31.5,126,0.25,28,200,157.0,628,0.2054140127388535
2,63.0,7062.0,3036.75,12147.0,0.5246357125216102,1,44,21.25,85,0.47352941176470587,15,200,111.75,447,0.40436241610738255
3,68.0,2028.0,648.75,2595.0,0.5800578034682081,2,14,6.25,25,0.39,15,92,41.75,167,0.3727544910179641
4,360.0,2415.0,957.5,3830.0,0.408355091383812,6,19,11.5,46,0.21739130434782616,44,122,73.0,292,0.22089041095890405
5,71.0,8202.0,3896.75,15587.0,0.5050843651761083,2,44,22.75,91,0.4587912087912088,9,200,107.5,430,0.4372093023255814
6,47.0,6846.0,2835.5,11342.0,0.5438194321989067,1,40,20.0,80,0.48124999999999996,9,200,106.0,424,0.44693396226415094
7,720.0,9582.0,5101.5,20406.0,0.3504116436342253,11,43,32.75,131,0.18893129770992356,68,200,167.0,668,0.14820359281437123
8,225.0,8988.0,5027.25,20109.0,0.3545800387886021,4,43,31.5,126,0.2420634920634921,26,200,156.5,626,0.20846645367412142
9,36.0,12210.0,6619.5,26478.0,0.35774983004758665,0,55,34.5,138,0.3188405797101449,9,200,152.25,609,0.2352216748768472
10,188.0,7842.0,4577.0,18308.0,0.3436202752894909,4,41,30.25,121,0.24173553719008267,27,200,156.75,627,0.2069377990430623
11,119.0,10110.0,6508.25,26033.0,0.29336803288134294,3,46,35.0,140,0.2321428571428572,21,200,155.25,621,0.21618357487922713
12,41.0,10320.0,4893.25,19573.0,0.5074975731875543,1,49,25.5,102,0.4607843137254902,9,200,109.0,436,0.4277522935779816
13,408.0,6348.0,3787.5,15150.0,0.34425742574257423,8,42,30.75,123,0.20934959349593485,57,200,164.25,657,0.16324200913242004
14,36.0,12282.0,3356.0,13424.0,0.7006853396901073,0,42,14.0,56,0.6071428571428571,9,200,76.0,304,0.524671052631579
15,77.0,2556.0,796.25,3185.0,0.6054160125588697,1,19,8.0,32,0.453125,9,80,44.75,179,0.3310055865921788
16,561.0,3756.0,2111.25,8445.0,0.31039076376554176,11,36,28.25,113,0.165929203539823,75,200,168.75,675,0.13888888888888884
17,2691.0,9324.0,5037.75,20151.0,0.25044662795891026,23,42,35.5,142,0.10915492957746475,146,200,186.5,746,0.054289544235925025
18,93.0,12174.0,7107.75,28431.0,0.3334652316133797,1,49,35.0,140,0.26428571428571423,15,200,153.75,615,0.22560975609756095
19,1200.0,7716.0,5241.0,20964.0,0.24928448769318834,21,42,35.0,140,0.11428571428571432,128,200,182.0,728,0.07417582417582413
20,156.0,5238.0,2013.0,8052.0,0.5257078986587184,4,39,20.0,80,0.38125,33,200,113.5,454,0.3215859030837004
21,108.0,11094.0,5255.0,21020.0,0.4971455756422455,2,49,26.5,106,0.42452830188679247,21,200,118.0,472,0.3633474576271186
22,104.0,10518.0,3006.5,12026.0,0.6729170131382005,2,45,17.25,69,0.532608695652174,15,200,91.0,364,0.4546703296703297
23,36.0,10782.0,2805.75,11223.0,0.7223336006415397,0,46,13.25,53,0.6650943396226415,9,200,67.25,269,0.5492565055762082
24,225.0,7212.0,3320.25,13281.0,0.4693358933815225,5,47,26.75,107,0.3481308411214953,39,200,135.75,543,0.2665745856353591
