,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.11611611611611612,0.0,0.0,0.7000000000000001,7.696696696696697,15.696696696696696,1.0,999
1,1.0,1.0,0.11711711711711711,0.0,0.0,0.7000000000000001,7.702702702702703,15.702702702702704,1.0,999
2,1.0,2.0,0.05205205205205205,0.0,0.0,0.7000000000000001,7.312312312312312,15.312312312312311,1.0,999
3,1.0,3.0,0.06806806806806807,0.0,0.0,0.7000000000000001,7.408408408408408,15.408408408408409,1.0,999
4,2.0,0.0,0.32,0.136,0.009,0.6817000000000001,8.737,24.33,1.455,1000
5,2.0,1.0,0.298,0.077,0.093,0.6463000000000001,8.251000000000001,23.808,1.451,1000
6,2.0,2.0,0.181,0.034,0.018,0.6205000000000002,7.291000000000001,22.596,1.578,1000
7,2.0,3.0,0.182,0.105,0.067,0.6631000000000001,7.723000000000001,22.812,1.48,1000
8,3.0,0.0,0.273,0.54,0.02,0.8241000000000002,9.879,33.915,2.207,1000
9,3.0,1.0,0.292,0.287,0.287,0.6723000000000001,8.475,32.085,2.166,1000
10,3.0,2.0,0.237,0.149,0.084,0.5895000000000001,7.317000000000001,29.913,2.305,1000
11,3.0,3.0,0.235,0.324,0.218,0.6945000000000001,8.355,30.549,2.184,1000
12,4.0,0.0,0.244,0.845,0.02,0.9071,10.535,44.294,3.114,1000
13,4.0,1.0,0.357,0.436,0.316,0.6617000000000001,8.759,40.736,3.104,1000
14,4.0,2.0,0.294,0.297,0.084,0.5783,7.547,37.46,3.274,1000
15,4.0,3.0,0.324,0.353,0.298,0.6119000000000001,8.063,38.54,3.105,1000
16,5.0,0.0,0.183,1.093,0.026,0.9559,10.657,54.915,3.703,1000
17,5.0,1.0,0.459,0.544,0.346,0.6265,9.019,49.677,3.749,1000
18,5.0,2.0,0.275,0.466,0.088,0.5797,7.447,44.907,3.95,1000
19,5.0,3.0,0.502,0.399,0.336,0.5395000000000001,8.407,46.833,3.779,1000
20,6.0,0.0,0.205,1.301,0.031,0.9807,11.037,65.874,4.074,1000
21,6.0,1.0,0.465,0.749,0.398,0.6495,9.285,58.74,4.283,1000
22,6.0,2.0,0.303,0.581,0.097,0.5487000000000001,7.305000000000001,52.206,4.502,1000
23,6.0,3.0,0.519,0.49,0.43,0.4941000000000001,8.055000000000001,54.678,4.381,1000
24,7.0,0.0,0.259,1.524,0.04,1.0145,11.699,77.453,4.4,1000
25,7.0,1.0,0.375,1.053,0.448,0.7319000000000001,9.569,68.093,4.779,1000
26,7.0,2.0,0.233,0.753,0.119,0.5519000000000001,6.917000000000001,59.117,4.937,1000
27,7.0,3.0,0.528,0.612,0.509,0.46730000000000005,7.841000000000001,62.261,4.877,1000
28,8.0,0.0,0.243,1.81,0.045,1.0860999999999998,12.318999999999999,89.682,4.781,1000
29,8.0,1.0,0.221,1.385,0.519,0.8311000000000001,9.637,77.394,5.337,1000
30,8.0,2.0,0.173,0.922,0.149,0.5533,6.571000000000001,65.676,5.368,1000
31,8.0,3.0,0.549,0.724,0.61,0.43450000000000005,7.639000000000001,69.69,5.369,1000
32,9.0,0.0,0.225,2.097,0.05,1.1593,12.934999999999999,102.437,5.357,1000
33,9.0,1.0,0.256,1.57,0.59,0.846,9.992,87.104,5.921,1000
34,9.0,2.0,0.187,1.042,0.192,0.5373000000000001,6.457000000000001,72.127,5.914,1000
35,9.0,3.0,0.533,0.875,0.718,0.4601,7.519,77.003,5.913,1000
36,10.0,0.0,0.2101010101010101,2.3373737373737375,0.052525252525252523,1.2025252525252523,13.285858585858584,116.26262626262626,6.070707070707071,990
37,10.0,1.0,0.38189386056191466,1.7585848074921957,0.6087408949011447,0.85525494276795,10.843912591050989,99.73257023933402,6.665972944849115,961
38,10.0,2.0,0.19545454545454546,1.3125,0.19318181818181818,0.5876136363636364,7.048863636363637,83.43636363636364,6.797727272727273,880
39,10.0,3.0,0.32769230769230767,1.42,1.0492307692307692,0.6523076923076923,8.487692307692308,92.44923076923077,6.683076923076923,650
40,11.0,0.0,0.24242424242424243,2.5575757575757576,0.05353535353535353,1.2346464646464643,13.8010101010101,130.0151515151515,6.55050505050505,990
41,11.0,1.0,0.39854318418314255,1.9438085327783559,0.6607700312174818,0.8663891779396462,11.055150884495317,110.7003121748179,7.190426638917794,961
42,11.0,2.0,0.2681818181818182,1.4511363636363637,0.20227272727272727,0.5707954545454547,7.317045454545456,90.75340909090909,7.302272727272728,880
43,11.0,3.0,0.37442218798151,1.5824345146379044,1.0986132511556241,0.6494607087827426,8.741140215716486,100.98305084745763,7.164869029275809,649
44,12.0,0.0,0.21616161616161617,2.815151515151515,0.05555555555555555,1.2891919191919192,14.188888888888886,144.14949494949494,6.957575757575758,990
45,12.0,1.0,0.39438085327783556,2.170655567117586,0.700312174817898,0.9024973985431842,11.391259105098856,121.9105098855359,7.613943808532778,961
46,12.0,2.0,0.25,1.6488636363636364,0.21704545454545454,0.5894318181818182,7.394318181818183,98.14772727272727,7.723863636363636,880
47,12.0,3.0,0.3852080123266564,1.7395993836671804,1.184899845916795,0.6437596302003081,8.74884437596302,109.57473035439138,7.559322033898305,649
48,13.0,0.0,0.2202020202020202,3.0575757575757576,0.0595959595959596,1.3346464646464644,14.667676767676763,158.72626262626264,7.236363636363636,990
49,13.0,1.0,0.3548387096774194,2.420395421436004,0.7460978147762747,0.9523413111342351,11.652445369406868,133.38813735691988,7.994797086368366,961
50,13.0,2.0,0.23068181818181818,1.821590909090909,0.24772727272727274,0.5930681818181819,7.314772727272728,105.45568181818182,8.077272727272728,880
51,13.0,3.0,0.35130970724191063,1.913713405238829,1.275808936825886,0.6482280431432974,8.590138674884438,117.92449922958397,7.938366718027735,649
52,14.0,0.0,0.21313131313131314,3.3070707070707073,0.06161616161616162,1.384343434343434,15.122222222222218,173.71515151515152,7.511111111111111,990
53,14.0,1.0,0.3028095733610822,2.672216441207076,0.7929240374609782,1.003433922996878,11.851196670135273,145.0894901144641,8.371488033298647,961
54,14.0,2.0,0.21136363636363636,1.9670454545454545,0.28295454545454546,0.5803409090909092,7.07159090909091,112.52045454545454,8.420454545454545,880
55,14.0,3.0,0.33436055469953774,2.0600924499229585,1.3636363636363635,0.636055469953775,8.366718027734978,126.0693374422188,8.295839753466872,649
56,15.0,0.0,0.24646464646464647,3.5585858585858587,0.06161616161616162,1.4363636363636358,15.838383838383836,189.4080808080808,7.914141414141414,990
