norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,medium days,medium days,THEN,throw",26022.89999999999,58709,1023030.1800000002,95
"IF,medium berries,high health,high days,high days,THEN,throw",9972.099999999997,42335,919720.9799999999,56
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",26574.8,61824,895176.0899999995,65
"IF,medium berries,high health,medium days,medium days,medium days,THEN,throw",8793.799999999994,11502,647490.8400000001,21
"IF,medium berries,high health,medium days,high days,THEN,throw",12059.700000000004,37069,535627.4400000001,82
"IF,medium berries,medium health,medium days,medium days,THEN,throw",10393.899999999996,32543,333548.0700000002,62
"IF,medium berries,high health,high days,medium days,THEN,throw",3475.9999999999986,15514,139511.94000000003,34
"IF,medium berries,high health,high days,high days,high days,THEN,throw",1521.5000000000002,3791,98385.72000000002,6
"IF,medium berries,high health,high days,medium days,medium days,THEN,throw",2225.899999999998,3639,91352.43,11
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",2942.7999999999965,5604,70721.33999999998,18
"IF,medium berries,high health,medium days,high days,medium days,THEN,throw",1032.6999999999994,1487,56269.74000000002,8
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",4073.7999999999984,8722,37538.09999999999,21
"IF,medium berries,high health,high days,high days,medium days,THEN,throw",1026.6999999999998,2013,34760.03999999999,9
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",3578.6000000000013,5746,27462.029999999962,11
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",1577.4000000000012,2898,25676.340000000015,12
"IF,medium berries,high health,medium days,THEN,throw",341.0,2120,21779.159999999996,7
"IF,medium berries,high health,high days,medium days,high days,THEN,throw",524.2999999999997,919,19428.719999999998,5
"IF,medium berries,medium health,medium days,high days,THEN,throw",793.3999999999992,9660,17484.21,43
"IF,medium berries,high health,medium days,medium days,high days,THEN,throw",703.6999999999995,1089,16272.239999999996,5
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",772.9999999999998,1766,14701.740000000022,5
"IF,medium berries,high health,high days,THEN,throw",266.29999999999995,1785,10084.139999999998,12
"IF,medium berries,high health,medium days,low days,low days,THEN,throw",271.99999999999955,340,7389.899999999987,1
"IF,medium berries,medium health,high days,medium days,THEN,throw",179.19999999999996,3322,7011.569999999998,16
"IF,medium berries,high health,high days,low days,THEN,throw",330.9999999999998,700,4947.509999999998,4
"IF,medium berries,medium health,low days,medium days,THEN,throw",1753.8999999999994,3761,4001.5199999999963,10
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",676.4000000000013,1068,3760.4400000000023,3
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",839.6000000000006,1068,3651.6000000000026,5
"IF,medium berries,medium health,high days,medium days,medium days,THEN,throw",273.6000000000003,480,2061.0599999999977,3
"IF,medium berries,medium health,medium days,high days,medium days,THEN,throw",51.70000000000002,125,1764.8399999999997,2
"IF,medium berries,medium health,medium days,low days,THEN,throw",141.00000000000003,486,404.99999999999943,2
"IF,medium berries,high health,low days,medium days,medium days,THEN,throw",97.20000000000006,108,233.2799999999999,1
"IF,medium berries,high health,high days,medium days,low days,THEN,throw",58.89999999999997,93,200.87999999999994,1
"IF,medium berries,medium health,high days,low days,THEN,throw",4.199999999999999,34,34.379999999999995,2
"IF,medium berries,high health,medium days,high days,high days,THEN,throw",2.8,4,18.36,1
"IF,medium berries,medium health,medium days,medium days,high days,THEN,throw",1.9,3,7.56,1
