norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,medium days,medium days,THEN,throw",10082.899999999996,14071,1121009.820000001,23
"IF,medium berries,medium health,medium days,medium days,THEN,throw",17384.40000000001,51148,753697.8900000002,67
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",62159.30000000001,80681,668516.7899999999,170
"IF,medium berries,high health,high days,medium days,THEN,throw",3636.7000000000003,8907,227350.91999999998,34
"IF,medium berries,high health,high days,high days,THEN,throw",1854.3999999999999,8266,144750.44999999998,27
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",12622.000000000005,18528,144380.94000000003,61
"IF,medium berries,medium health,high days,medium days,THEN,throw",2910.7999999999997,20032,119179.20000000001,68
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",9737.300000000001,23637,75527.52000000003,63
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",10154.000000000007,16892,75098.63999999996,56
"IF,medium berries,high health,medium days,high days,THEN,throw",1112.2000000000003,2824,74036.01000000002,18
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",6373.399999999997,9478,71837.28,28
"IF,medium berries,medium health,medium days,medium days,high days,THEN,throw",2958.5999999999985,8914,58167.62999999999,28
"IF,medium berries,medium health,high days,medium days,medium days,THEN,throw",2867.1000000000013,8115,52641.780000000006,27
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",4891.300000000002,7629,45798.390000000014,21
"IF,medium berries,medium health,medium days,high days,THEN,throw",1125.3000000000002,7405,39601.44000000001,38
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",5167.200000000002,8272,38942.609999999986,31
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",5311.299999999999,10425,38266.679999999986,32
"IF,medium berries,high health,medium days,medium days,high days,THEN,throw",472.6999999999996,623,13163.67000000001,3
"IF,medium berries,medium health,medium days,low days,THEN,throw",1357.599999999999,2680,12550.92000000001,9
"IF,medium berries,high health,low days,medium days,medium days,THEN,throw",356.99999999999943,510,7864.200000000017,1
"IF,medium berries,high health,medium days,medium days,medium days,THEN,throw",740.1000000000001,1009,7045.86,4
"IF,medium berries,medium health,low days,medium days,THEN,throw",937.9000000000017,1621,6983.639999999992,6
"IF,medium berries,high health,medium days,high days,medium days,THEN,throw",477.89999999999964,531,4300.559999999996,4
"IF,medium berries,medium health,high days,medium days,low days,THEN,throw",273.0000000000002,546,3684.2400000000025,3
"IF,medium berries,medium health,high days,low days,medium days,THEN,throw",533.2000000000005,1004,3614.280000000001,4
"IF,medium berries,high health,high days,medium days,medium days,THEN,throw",518.7999999999997,788,3405.1499999999983,4
"IF,medium berries,high health,low days,medium days,high days,THEN,throw",115.90000000000012,183,2635.199999999999,1
"IF,medium berries,medium health,low days,medium days,high days,THEN,throw",354.20000000000005,1222,1934.2800000000018,4
"IF,medium berries,medium health,medium days,THEN,throw",113.40000000000008,126,1678.3200000000008,1
"IF,medium berries,high health,medium days,high days,high days,THEN,throw",81.0,90,1535.76,1
"IF,medium berries,medium health,medium days,high days,medium days,THEN,throw",223.0,474,1265.1599999999994,3
"IF,high berries,high health,high days,THEN,throw",51.50000000000001,219,1164.1200000000001,2
"IF,medium berries,high health,medium days,low days,medium days,THEN,throw",93.4999999999999,255,703.7999999999986,1
"IF,medium berries,high health,high days,medium days,high days,THEN,throw",57.59999999999998,96,685.4399999999996,1
"IF,medium berries,high health,high days,low days,medium days,THEN,throw",58.89999999999997,93,334.8000000000002,1
"IF,medium berries,medium health,high days,high days,THEN,throw",7.600000000000001,76,87.21000000000004,1
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",112.1999999999998,306,61.2000000000001,1
"IF,medium berries,high health,high days,high days,low days,THEN,throw",58.89999999999997,93,55.79999999999997,1
"IF,medium berries,high health,medium days,medium days,low days,THEN,throw",16.2,18,38.88000000000001,1
