      Multiple Comparison of Means - Tukey HSD, FWER=0.05      
===============================================================
   group1       group2    meandiff p-adj   lower  upper  reject
---------------------------------------------------------------
     average     baseline   1.9945 0.0001   0.697  3.292   True
     average  egalitarian   2.1137    0.0  0.8163 3.4112   True
     average majoritarian   0.7222 0.6957 -0.5752 2.0197  False
     average      maximin   4.6427    0.0  3.3453 5.9402   True
     average     optimist   3.4722    0.0  2.1748 4.7697   True
     average  utilitarian   5.1212    0.0  3.8238 6.4187   True
     average         veto   5.1157    0.0  3.8183 6.4132   True
    baseline  egalitarian   0.1193    1.0 -1.1782 1.4167  False
    baseline majoritarian  -1.2722 0.0593 -2.5697 0.0252  False
    baseline      maximin   2.6483    0.0  1.3508 3.9457   True
    baseline     optimist   1.4778  0.013  0.1803 2.7752   True
    baseline  utilitarian   3.1268    0.0  1.8293 4.4242   True
    baseline         veto   3.1212    0.0  1.8238 4.4187   True
 egalitarian majoritarian  -1.3915 0.0255  -2.689 -0.094   True
 egalitarian      maximin    2.529    0.0  1.2315 3.8265   True
 egalitarian     optimist   1.3585 0.0325   0.061  2.656   True
 egalitarian  utilitarian   3.0075    0.0    1.71  4.305   True
 egalitarian         veto    3.002    0.0  1.7045 4.2995   True
majoritarian      maximin   3.9205    0.0   2.623  5.218   True
majoritarian     optimist     2.75    0.0  1.4525 4.0475   True
majoritarian  utilitarian    4.399    0.0  3.1015 5.6965   True
majoritarian         veto   4.3935    0.0   3.096  5.691   True
     maximin     optimist  -1.1705 0.1124  -2.468  0.127  False
     maximin  utilitarian   0.4785 0.9532  -0.819  1.776  False
     maximin         veto    0.473  0.956 -0.8245 1.7705  False
    optimist  utilitarian    1.649  0.003  0.3515 2.9465   True
    optimist         veto   1.6435 0.0031   0.346  2.941   True
 utilitarian         veto  -0.0055    1.0  -1.303  1.292  False
---------------------------------------------------------------
