      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline  -4.2243    0.0 -4.6534 -3.7951   True
     average  egalitarian  -2.5285    0.0 -2.9577 -2.0993   True
     average majoritarian  -2.0175    0.0 -2.4467 -1.5883   True
     average      maximin  -1.1398    0.0 -1.5689 -0.7106   True
     average     optimist  -2.1533    0.0 -2.5824 -1.7241   True
     average  utilitarian    -3.32    0.0 -3.7492 -2.8908   True
     average         veto    1.887    0.0  1.4578  2.3162   True
    baseline  egalitarian   1.6958    0.0  1.2666  2.1249   True
    baseline majoritarian   2.2068    0.0  1.7776  2.6359   True
    baseline      maximin   3.0845    0.0  2.6553  3.5137   True
    baseline     optimist    2.071    0.0  1.6418  2.5002   True
    baseline  utilitarian   0.9042    0.0  0.4751  1.3334   True
    baseline         veto   6.1112    0.0  5.6821  6.5404   True
 egalitarian majoritarian    0.511 0.0074  0.0818  0.9402   True
 egalitarian      maximin   1.3888    0.0  0.9596  1.8179   True
 egalitarian     optimist   0.3752 0.1383 -0.0539  0.8044  False
 egalitarian  utilitarian  -0.7915    0.0 -1.2207 -0.3623   True
 egalitarian         veto   4.4155    0.0  3.9863  4.8447   True
majoritarian      maximin   0.8777    0.0  0.4486  1.3069   True
majoritarian     optimist  -0.1358   0.98 -0.5649  0.2934  False
majoritarian  utilitarian  -1.3025    0.0 -1.7317 -0.8733   True
majoritarian         veto   3.9045    0.0  3.4753  4.3337   True
     maximin     optimist  -1.0135    0.0 -1.4427 -0.5843   True
     maximin  utilitarian  -2.1802    0.0 -2.6094 -1.7511   True
     maximin         veto   3.0268    0.0  2.5976  3.4559   True
    optimist  utilitarian  -1.1668    0.0 -1.5959 -0.7376   True
    optimist         veto   4.0402    0.0  3.6111  4.4694   True
 utilitarian         veto    5.207    0.0  4.7778  5.6362   True
----------------------------------------------------------------
