,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.005005005005005005,0.0,0.0,0.7000000000000001,7.03003003003003,15.03003003003003,1.0,999
1,1.0,1.0,0.044044044044044044,0.0,0.0,0.7000000000000001,7.2642642642642645,15.264264264264265,1.0,999
2,1.0,2.0,0.028028028028028028,0.0,0.0,0.7000000000000001,7.168168168168168,15.168168168168169,1.0,999
3,1.0,3.0,0.03403403403403404,0.0,0.0,0.7000000000000001,7.2042042042042045,15.204204204204204,1.0,999
4,2.0,0.0,0.063,0.003,0.005,0.6019000000000001,6.397000000000001,21.408,1.966,1000
5,2.0,1.0,0.161,0.009,0.036,0.6055000000000001,7.021000000000001,22.272,1.201,1000
6,2.0,2.0,0.1,0.056,0.009,0.6337,6.937000000000001,22.002,1.5,1000
7,2.0,3.0,0.112,0.04,0.0,0.6241000000000001,6.913000000000001,22.08,1.215,1000
8,3.0,0.0,0.171,0.005,0.065,0.5031000000000001,6.057000000000001,27.465,2.439,1000
9,3.0,1.0,0.242,0.084,0.15,0.5505000000000001,6.957000000000001,29.127,1.679,1000
10,3.0,2.0,0.188,0.259,0.027,0.6555000000000001,7.683,29.361,1.948,1000
11,3.0,3.0,0.177,0.179,0.0,0.6075000000000002,7.137000000000001,29.121,1.723,1000
12,4.0,0.0,0.395,0.011,0.065,0.4067000000000001,6.437000000000001,33.896,3.437,1000
13,4.0,1.0,0.306,0.21,0.158,0.5261,7.097,36.224,2.655,1000
14,4.0,2.0,0.218,0.418,0.031,0.6509000000000001,7.817,37.148,2.851,1000
15,4.0,3.0,0.213,0.353,0.0,0.6119000000000001,7.397,36.512,2.672,1000
16,5.0,0.0,0.534,0.063,0.067,0.3379000000000001,6.583000000000001,40.461,4.118,1000
17,5.0,1.0,0.337,0.357,0.167,0.5143000000000001,7.165000000000001,43.389,3.269,1000
18,5.0,2.0,0.242,0.567,0.042,0.6403000000000001,7.855,44.985,3.459,1000
19,5.0,3.0,0.205,0.544,0.0,0.6265,7.495,44.007,3.254,1000
20,6.0,0.0,0.496,0.26,0.071,0.3561000000000001,6.537000000000002,46.974,4.746,1000
21,6.0,1.0,0.22,0.613,0.181,0.5679000000000001,6.9990000000000006,50.382,3.745,1000
22,6.0,2.0,0.131,0.782,0.057,0.6693000000000001,7.479000000000001,52.422,3.903,1000
23,6.0,3.0,0.176,0.721,0.0,0.6327,7.383000000000001,51.378,3.659,1000
24,7.0,0.0,0.395,0.477,0.077,0.38630000000000014,6.233000000000001,53.189,5.128,1000
25,7.0,1.0,0.2,0.774,0.204,0.5645000000000001,6.845000000000001,57.203,4.038,1000
26,7.0,2.0,0.136,0.896,0.077,0.6377,7.1930000000000005,59.537,4.157,1000
27,7.0,3.0,0.143,0.908,0.0,0.6449000000000001,7.307000000000001,58.673,3.902,1000
28,8.0,0.0,0.338,0.646,0.093,0.38770000000000016,5.905000000000002,59.052,5.52,1000
