agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,99,9,15,0,0.0,53.999999999999964,1899.0,0,-0.1999999999999999,30,24
1,1,94,0,14,4,0.0,0.0,882.0,3,-1.1,26,14
2,1,16,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,7,2
3,1,28,0,3,0,0.0,0.0,147.0,4,-1.1,15,3
0,2,44,3,6,0,0.0,17.999999999999982,918.0,0,-1.0,18,9
1,2,39,0,5,2,0.0,0.0,267.0,2,-1.1,13,5
2,2,21,0,2,0,0.0,0.0,108.0,3,-1.1,8,2
3,2,21,0,2,1,0.0,0.0,102.0,4,-1.1,11,2
0,3,27,0,3,1,0.0,0.0,153.0,1,-1.1,11,3
1,3,9,0,0,1,0.0,0.0,42.0,2,-1.1,6,0
2,3,26,0,3,0,0.0,0.0,213.0,2,-1.1,14,3
3,3,38,1,5,0,0.0,5.99999999999999,357.0,0,-0.1999999999999999,12,6
0,4,15,0,1,1,0.0,0.0,69.0,0,-1.0,8,1
1,4,200,0,35,0,1.7999999999999918,17.99999999999992,2700.0,0,1.0,26,35
2,4,33,1,4,0,0.0,5.0,221.0,0,-0.1999999999999999,17,5
3,4,27,0,3,2,0.0,0.0,201.0,0,-1.0,15,3
0,5,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
1,5,170,1,27,0,0.0,5.999999999999922,2001.0,0,-0.1999999999999999,13,28
2,5,15,0,1,0,0.0,0.0,75.0,0,-1.0,9,1
3,5,33,1,4,0,0.0,5.000000000000005,191.0,0,-0.1999999999999999,14,5
0,6,39,0,5,3,0.0,0.0,321.0,1,-1.1,17,5
1,6,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,8,1
2,6,33,1,4,0,0.0,5.0,263.0,0,-0.1999999999999999,20,5
3,6,50,0,7,2,0.0,0.0,417.0,0,-1.0,22,7
0,7,15,1,1,1,0.0,5.000000000000001,92.0,0,-0.1999999999999999,8,2
1,7,200,1,35,1,1.7999999999999925,23.99999999999992,2694.0,0,1.8,25,36
2,7,21,0,2,0,0.0,0.0,102.0,3,-1.1,12,2
3,7,26,0,3,1,0.0,0.0,183.0,0,-1.0,11,3
0,8,21,5,2,0,0.0,29.000000000000004,323.0,0,-1.0,10,7
1,8,200,0,34,1,1.199999999999989,11.99999999999989,3174.0,0,1.0,23,34
2,8,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,8,27,0,3,0,0.0,0.0,135.0,0,-1.0,13,3
0,9,27,0,3,2,0.0,0.0,159.0,1,-1.1,13,3
1,9,21,1,2,0,0.0,5.000000000000003,137.0,0,-0.1999999999999999,7,3
2,9,15,0,1,0,0.0,0.0,57.0,0,-1.0,7,1
3,9,122,0,19,0,0.0,0.0,1665.0,0,-1.0,12,19
0,10,21,0,2,3,0.0,0.0,150.0,2,-1.1,13,2
1,10,200,0,38,1,3.599999999999989,35.999999999999886,4440.0,1,1.8,22,38
2,10,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,10,200,1,35,0,1.7999999999999878,23.99999999999988,4218.0,0,1.0,29,36
0,11,44,7,6,3,0.0,41.99999999999998,1158.0,0,-1.0,20,13
1,11,39,1,5,0,0.0,5.000000000000003,314.0,4,-1.1,18,6
2,11,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
3,11,32,0,4,4,0.0,0.0,294.0,4,-1.1,15,4
0,12,68,0,10,0,0.0,0.0,618.0,0,-1.0,24,10
1,12,57,1,8,2,0.0,5.000000000000004,527.0,0,-1.0,23,9
2,12,32,0,4,0,0.0,0.0,270.0,0,-1.0,11,4
3,12,9,0,0,1,0.0,0.0,42.0,0,-1.0,4,0
0,13,39,4,5,0,0.0,23.000000000000007,482.0,0,-1.0,9,9
1,13,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
2,13,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
3,13,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
0,14,182,11,29,2,0.0,65.9999999999999,6237.0,0,-0.1999999999999999,33,40
1,14,15,0,1,1,0.0,0.0,69.0,0,-1.0,10,1
2,14,104,0,16,0,0.0,0.0,870.0,2,-1.1,21,16
3,14,26,0,3,2,0.0,0.0,213.0,1,-1.1,13,3
0,15,200,3,35,3,1.799999999999995,35.99999999999994,4914.0,0,1.8,41,38
1,15,68,0,10,3,0.0,0.0,642.0,0,-1.0,29,10
2,15,188,0,30,0,0.0,0.0,3858.0,0,-1.0,39,30
3,15,27,1,3,2,0.0,5.000000000000002,182.0,0,-0.1999999999999999,13,4
0,16,111,0,17,6,0.0,0.0,885.0,1,-1.1,34,17
1,16,51,0,7,1,0.0,0.0,255.0,0,-1.0,19,7
2,16,68,0,10,0,0.0,0.0,876.0,0,-1.0,19,10
3,16,116,0,18,2,0.0,0.0,1368.0,0,-1.0,31,18
0,17,15,3,1,0,0.0,17.0,224.0,0,-1.0,9,4
1,17,200,0,34,0,1.1999999999999886,11.999999999999886,2886.0,0,1.0,24,34
2,17,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,5,1
3,17,75,1,11,0,0.0,5.00000000000001,680.0,0,-1.0,16,12
0,18,33,0,4,0,0.0,0.0,204.0,4,-1.1,14,4
1,18,200,1,34,0,1.1999999999999909,17.999999999999908,2634.0,0,1.8,22,35
2,18,27,0,3,0,0.0,0.0,147.0,1,-1.1,14,3
3,18,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
0,19,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
1,19,200,0,35,0,1.7999999999999887,17.999999999999886,2964.0,0,1.0,16,35
2,19,15,0,1,0,0.0,0.0,87.0,0,-1.0,6,1
3,19,9,0,0,1,0.0,0.0,42.0,0,-1.0,6,0
0,20,33,0,4,2,0.0,0.0,234.0,4,-1.1,14,4
1,20,39,1,5,2,0.0,5.000000000000006,260.0,0,-0.1999999999999999,18,6
2,20,44,0,6,0,0.0,0.0,486.0,0,-1.0,14,6
