agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,16,1,1,1,0.0,5.000000000000001,98.0,2,-1.2,5,2
1,1,200,1,39,0,4.299999999999996,48.99999999999996,5640.0,0,2.0,9,40
2,1,16,1,1,0,0.0,5.000000000000001,62.0,0,0.0,5,2
3,1,22,2,2,0,0.0,11.0,101.0,0,0.0,8,4
0,2,128,0,20,0,0.0,0.0,1818.0,0,-1.0,26,20
1,2,39,0,5,0,0.0,0.0,225.0,0,-1.0,15,5
2,2,33,1,4,0,0.0,5.000000000000001,197.0,0,0.0,15,5
3,2,15,1,1,0,0.0,5.000000000000001,122.0,0,-1.0,8,2
0,3,9,1,0,1,0.0,5.000000000000001,65.0,2,-1.2,5,1
1,3,200,0,38,0,3.599999999999986,35.99999999999986,5256.0,1,2.0,12,38
2,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,3,33,2,4,0,0.0,11.0,353.0,0,-1.0,8,6
0,4,51,1,7,2,0.0,5.000000000000001,368.0,0,0.0,13,8
1,4,200,0,41,0,5.400000000000004,54.00000000000004,5964.0,1,2.0,17,41
2,4,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
3,4,15,1,1,1,0.0,5.000000000000001,92.0,0,0.0,6,2
0,5,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
1,5,200,1,38,0,3.599999999999992,41.99999999999992,5172.0,0,2.0,20,39
2,5,15,0,1,0,0.0,0.0,63.0,1,-1.2,7,1
3,5,39,2,5,0,0.0,11.000000000000004,404.0,0,0.0,16,7
0,6,74,0,11,0,0.0,0.0,993.0,0,-1.0,20,11
1,6,56,0,8,2,0.0,0.0,570.0,0,-1.0,14,8
2,6,15,0,1,0,0.0,0.0,81.0,0,-1.0,8,1
3,6,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,5,1
0,7,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
1,7,27,1,3,0,0.0,5.000000000000002,206.0,0,0.0,14,4
2,7,15,0,1,0,0.0,0.0,75.0,4,-1.2,10,1
3,7,9,1,0,0,0.0,5.000000000000001,83.0,0,-1.0,6,1
0,8,27,1,3,0,0.0,5.000000000000004,176.0,0,0.0,7,4
1,8,200,0,41,0,5.400000000000008,54.00000000000008,6156.0,0,1.0,10,41
2,8,27,1,3,0,0.0,5.000000000000004,152.0,0,-1.0,7,4
3,8,21,0,2,0,0.0,0.0,84.0,0,-1.0,5,2
0,9,158,0,25,0,0.0,0.0,3051.0,0,-1.0,29,25
1,9,134,0,21,1,0.0,0.0,1119.0,0,-1.0,14,21
2,9,15,1,1,0,0.0,5.000000000000002,74.0,0,0.0,9,2
