agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,1,200,0,41,0,5.500000000000015,55.00000000000015,5484.0,1,1.8,19,41
1,1,200,2,34,2,1.2999999999999865,24.999999999999865,4398.0,0,1.8,36,36
2,1,75,0,11,0,0.0,0.0,633.0,0,-1.0,19,11
3,1,10,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,6,1
0,2,21,0,2,0,0.0,0.0,114.0,0,-1.0,9,2
1,2,200,0,40,0,4.800000000000004,48.00000000000004,5298.0,0,1.0,18,40
2,2,9,0,0,0,0.0,0.0,36.0,2,-1.1,5,0
3,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
0,3,26,0,3,0,0.0,0.0,237.0,1,-1.1,13,3
1,3,200,1,38,0,3.5999999999999885,41.999999999999886,5028.0,0,1.8,22,39
2,3,21,0,2,0,0.0,0.0,144.0,2,-1.1,11,2
3,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
0,4,200,0,42,0,6.000000000000008,60.00000000000008,6336.0,0,1.0,20,42
1,4,21,0,2,0,0.0,0.0,108.0,0,-1.0,8,2
2,4,38,0,5,0,0.0,0.0,285.0,0,-1.0,14,5
3,4,9,2,0,0,0.0,11.0,95.0,2,-1.1,5,2
0,5,111,0,17,0,0.0,0.0,843.0,0,-1.0,16,17
1,5,27,0,3,1,0.0,0.0,135.0,0,-1.0,14,3
2,5,21,1,2,1,0.0,5.000000000000003,125.0,0,-1.0,12,3
3,5,15,1,1,0,0.0,5.000000000000001,104.0,0,-1.0,8,2
0,6,86,0,13,0,0.0,0.0,675.0,1,-1.1,25,13
1,6,200,1,40,9,4.800000000000012,54.000000000000114,4872.0,0,1.0,34,41
2,6,15,0,1,0,0.0,0.0,69.0,0,-1.0,7,1
3,6,74,0,11,8,0.0,0.0,963.0,0,-1.0,21,11
0,7,39,0,5,0,0.0,0.0,315.0,0,-1.0,10,5
1,7,200,1,37,0,2.9999999999999907,35.99999999999991,5190.0,0,1.8,20,38
2,7,9,0,0,0,0.0,0.0,36.0,2,-1.1,5,0
3,7,9,0,0,0,0.0,0.0,36.0,1,-1.1,4,0
0,8,27,0,3,0,0.0,0.0,207.0,0,-1.0,10,3
1,8,200,0,43,0,6.600000000000006,66.00000000000006,7038.0,0,1.0,22,43
2,8,27,1,3,0,0.0,5.000000000000003,134.0,0,-1.0,15,4
3,8,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
0,9,182,0,29,0,0.0,0.0,2349.0,0,-1.0,15,29
1,9,116,0,18,0,0.0,0.0,1200.0,0,-1.0,20,18
2,9,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,9,21,0,2,0,0.0,0.0,114.0,1,-1.1,11,2
0,10,44,0,6,0,0.0,0.0,384.0,0,-1.0,14,6
1,10,200,0,38,1,3.599999999999997,35.99999999999997,4938.0,0,1.0,28,38
2,10,15,1,1,0,0.0,5.000000000000001,68.0,0,-1.0,9,2
3,10,15,1,1,0,0.0,5.000000000000001,98.0,0,-1.0,7,2
0,11,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,5,1
1,11,200,0,40,0,4.8000000000000025,48.00000000000002,5226.0,0,1.0,23,40
2,11,56,1,8,0,0.0,5.999999999999984,606.0,0,-1.0,13,9
3,11,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,12,27,0,3,0,0.0,0.0,153.0,4,-1.1,15,3
1,12,200,2,44,0,7.200000000000024,84.00000000000023,8658.0,0,1.8,24,46
2,12,51,2,7,0,0.0,11.000000000000002,446.0,0,-1.0,16,9
3,12,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,7,1
0,13,21,0,2,0,0.0,0.0,144.0,0,-1.0,12,2
1,13,200,0,40,0,4.8,47.99999999999999,5838.0,0,1.0,20,40
2,13,15,0,1,0,0.0,0.0,87.0,2,-1.1,6,1
3,13,9,1,0,1,0.0,5.000000000000001,53.0,0,-1.0,6,1
0,14,39,0,5,0,0.0,0.0,231.0,4,-1.1,18,5
1,14,15,0,1,2,0.0,0.0,69.0,0,-1.0,8,1
2,14,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
3,14,44,0,6,1,0.0,0.0,498.0,0,-1.0,15,6
0,15,189,1,30,0,0.0,5.000000000000001,1607.0,0,-0.1999999999999999,18,31
1,15,33,0,4,0,0.0,0.0,282.0,0,-1.0,18,4
2,15,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
3,15,15,0,1,0,0.0,0.0,81.0,1,-1.1,10,1
0,16,200,1,41,0,5.399999999999995,59.99999999999994,5400.0,0,1.8,24,42
1,16,87,0,13,1,0.0,0.0,639.0,0,-1.0,18,13
2,16,27,1,3,0,0.0,5.000000000000002,200.0,0,-1.0,16,4
3,16,21,0,2,1,0.0,0.0,132.0,0,-1.0,14,2
0,17,200,1,42,0,6.000000000000004,66.00000000000004,6180.0,0,1.8,20,43
1,17,98,1,15,2,0.0,5.999999999999972,1179.0,0,-0.1999999999999999,20,16
2,17,27,0,3,0,0.0,0.0,123.0,2,-1.1,11,3
3,17,15,0,1,3,0.0,0.0,93.0,0,-1.0,6,1
0,18,21,0,2,0,0.0,0.0,138.0,0,-1.0,7,2
1,18,21,0,2,0,0.0,0.0,102.0,0,-1.0,12,2
2,18,15,0,1,0,0.0,0.0,69.0,2,-1.1,8,1
3,18,9,0,0,0,0.0,0.0,36.0,3,-1.1,3,0
0,19,21,0,2,0,0.0,0.0,126.0,0,-1.0,9,2
1,19,15,0,1,0,0.0,0.0,63.0,0,-1.0,8,1
2,19,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,19,21,0,2,0,0.0,0.0,120.0,1,-1.1,12,2
0,20,200,0,43,0,6.600000000000002,66.00000000000001,6156.0,1,1.8,21,43
1,20,74,0,11,3,0.0,0.0,729.0,0,-1.0,20,11
2,20,27,1,3,0,0.0,5.000000000000003,170.0,0,-0.1999999999999999,13,4
3,20,15,2,1,0,0.0,11.0,128.0,0,-0.1999999999999999,7,3
0,21,44,0,6,0,0.0,0.0,396.0,1,-1.1,16,6
1,21,63,0,9,0,0.0,0.0,537.0,0,-1.0,26,9
2,21,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
3,21,15,0,1,1,0.0,0.0,93.0,1,-1.1,10,1
0,22,80,0,12,0,0.0,0.0,750.0,4,-1.1,16,12
1,22,200,0,40,1,4.8000000000000105,48.0000000000001,5004.0,0,1.0,30,40
2,22,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,22,15,0,2,0,0.6,5.999999999999999,69.0,1,-1.1,11,2
0,23,21,0,2,0,0.0,0.0,126.0,0,-1.0,12,2
1,23,200,0,39,0,4.199999999999996,41.99999999999996,4398.0,0,1.0,21,39
2,23,15,1,1,0,0.0,5.000000000000001,104.0,0,-1.0,6,2
3,23,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,24,200,1,42,0,6.000000000000021,66.0000000000002,7818.0,0,1.8,11,43
1,24,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
2,24,33,1,4,0,0.0,5.000000000000004,191.0,0,-1.0,14,5
3,24,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,6,1
0,25,27,0,3,0,0.0,0.0,189.0,4,-1.1,13,3
1,25,9,0,0,1,0.0,0.0,42.0,1,-1.1,6,0
2,25,15,0,1,0,0.0,0.0,69.0,1,-1.1,10,1
3,25,32,0,4,0,0.0,0.0,318.0,0,-1.0,15,4
0,26,200,0,36,0,2.3999999999999857,23.99999999999985,4224.0,0,1.0,28,36
1,26,200,0,35,33,1.7999999999999945,17.999999999999943,2412.0,0,1.0,22,35
2,26,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,7,1
3,26,200,0,34,29,1.199999999999989,11.99999999999989,3306.0,3,1.9,26,34
0,27,21,1,2,0,0.0,5.000000000000001,161.0,0,-1.0,10,3
1,27,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
2,27,27,0,3,0,0.0,0.0,183.0,1,-1.1,11,3
3,27,9,2,0,0,0.0,11.0,77.0,0,-0.1999999999999999,6,2
0,28,200,1,37,0,3.000000000000023,36.00000000000023,7200.0,0,1.8,14,38
1,28,200,0,39,0,4.20000000000001,42.0000000000001,5712.0,0,1.0,17,39
2,28,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,28,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
0,29,188,1,30,0,0.0,5.999999999999955,2136.0,0,-0.1999999999999999,22,31
1,29,68,2,10,10,0.0,11.99999999999998,798.0,0,-1.0,15,12
2,29,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,6,1
3,29,80,0,12,8,0.0,0.0,1086.0,1,-1.1,16,12
0,30,200,1,36,0,2.399999999999987,29.99999999999987,5058.0,0,1.8,24,37
1,30,200,0,34,36,1.1999999999999895,11.999999999999895,2772.0,0,1.0,25,34
2,30,21,0,2,0,0.0,0.0,90.0,0,-1.0,11,2
3,30,200,0,37,29,2.9999999999999867,29.999999999999865,5058.0,0,1.0,29,37
0,31,15,1,1,0,0.0,5.000000000000001,62.0,0,-0.1999999999999999,7,2
1,31,33,0,4,0,0.0,0.0,204.0,0,-1.0,12,4
2,31,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,5,1
3,31,9,2,0,0,0.0,11.0,89.0,3,-1.1,3,2
0,32,200,0,41,0,5.399999999999996,53.99999999999996,5712.0,1,1.8,30,41
1,32,134,0,21,14,0.0,0.0,1311.0,4,-1.1,40,21
2,32,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,32,158,0,25,12,0.0,0.0,1719.0,0,-1.0,35,25
0,33,27,0,3,0,0.0,0.0,213.0,0,-1.0,10,3
1,33,27,0,3,0,0.0,0.0,153.0,0,-1.0,12,3
2,33,15,0,1,0,0.0,0.0,87.0,0,-1.0,8,1
3,33,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,7,1
0,34,15,1,1,0,0.0,5.000000000000001,92.0,0,-0.1999999999999999,8,2
1,34,15,0,1,3,0.0,0.0,93.0,4,-1.1,8,1
2,34,9,0,0,0,0.0,0.0,36.0,2,-1.1,7,0
3,34,32,0,4,1,0.0,0.0,342.0,1,-1.1,12,4
0,35,146,1,23,0,0.0,5.999999999999964,1593.0,0,-0.1999999999999999,18,24
1,35,80,0,12,0,0.0,0.0,714.0,0,-1.0,18,12
2,35,15,0,1,0,0.0,0.0,63.0,2,-1.1,8,1
3,35,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,5,2
0,36,200,1,43,0,6.600000000000006,72.00000000000006,7368.0,0,1.8,14,44
1,36,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
2,36,45,1,6,0,0.0,5.000000000000004,251.0,0,-1.0,12,7
3,36,9,2,0,0,0.0,11.0,95.0,4,-1.1,3,2
0,37,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
1,37,200,0,40,0,4.800000000000012,48.00000000000012,6840.0,0,1.0,17,40
2,37,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
3,37,15,0,1,0,0.0,0.0,57.0,1,-1.1,7,1
0,38,159,1,25,0,0.0,5.000000000000018,1022.0,0,-0.1999999999999999,16,26
1,38,21,0,2,1,0.0,0.0,120.0,0,-1.0,11,2
2,38,21,1,2,0,0.0,5.000000000000002,155.0,2,-1.1,10,3
3,38,15,1,1,0,0.0,5.0,128.0,0,-1.0,6,2
0,39,21,0,2,0,0.0,0.0,132.0,0,-1.0,12,2
1,39,21,0,2,0,0.0,0.0,114.0,0,-1.0,9,2
2,39,15,0,1,0,0.0,0.0,69.0,2,-1.1,9,1
3,39,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
0,40,200,0,42,0,6.000000000000013,60.00000000000013,7566.0,1,1.8,16,42
