,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.05205205205205205,0.0,0.0,0.7000000000000001,7.312312312312312,15.312312312312311,1.0,999
1,1.0,1.0,0.05305305305305305,0.0,0.0,0.7000000000000001,7.318318318318318,15.318318318318319,1.0,999
2,1.0,2.0,0.021021021021021023,0.0,0.0,0.7000000000000001,7.126126126126126,15.126126126126126,1.0,999
3,1.0,3.0,0.023023023023023025,0.0,0.0,0.7000000000000001,7.138138138138138,15.138138138138139,1.0,999
4,2.0,0.0,0.192,0.048,0.05,0.6289000000000001,7.441000000000001,22.626,1.319,1000
5,2.0,1.0,0.192,0.003,0.053,0.6019000000000001,7.171000000000001,22.464,1.328,1000
6,2.0,2.0,0.085,0.042,0.0,0.6253000000000001,6.763000000000001,21.81,1.317,1000
7,2.0,3.0,0.076,0.052,0.023,0.6313000000000001,6.769000000000001,21.72,1.311,1000
8,3.0,0.0,0.306,0.196,0.209,0.6177000000000001,8.013,30.201,1.866,1000
9,3.0,1.0,0.276,0.018,0.239,0.5109000000000001,6.765000000000001,29.199,1.92,1000
10,3.0,2.0,0.136,0.169,0.002,0.6015000000000001,6.831000000000001,28.479,1.891,1000
11,3.0,3.0,0.141,0.259,0.082,0.6555000000000001,7.401000000000001,28.623,1.824,1000
12,4.0,0.0,0.511,0.198,0.232,0.5189000000000001,8.255,38.444,2.769,1000
13,4.0,1.0,0.451,0.046,0.241,0.4277000000000001,6.983,36.182,2.918,1000
14,4.0,2.0,0.158,0.297,0.002,0.5783,6.731,35.138,2.847,1000
15,4.0,3.0,0.227,0.316,0.108,0.5897,7.259,35.798,2.725,1000
16,5.0,0.0,0.511,0.343,0.284,0.5059000000000001,8.125,46.569,3.475,1000
17,5.0,1.0,0.361,0.317,0.241,0.49030000000000007,7.069000000000001,43.245,3.584,1000
18,5.0,2.0,0.18,0.467,0.002,0.5803,6.883000000000001,41.913,3.407,1000
19,5.0,3.0,0.232,0.47,0.143,0.5821000000000001,7.213000000000001,42.909,3.294,1000
20,6.0,0.0,0.286,0.669,0.315,0.6015000000000001,7.731000000000001,54.294,4.055,1000
21,6.0,1.0,0.18,0.629,0.245,0.5775000000000001,6.855000000000001,50.1,4.15,1000
22,6.0,2.0,0.118,0.668,0.002,0.6009000000000001,6.7170000000000005,48.528,3.883,1000
23,6.0,3.0,0.234,0.592,0.176,0.5553,6.957000000000001,49.764,3.795,1000
24,7.0,0.0,0.274,0.831,0.348,0.5987000000000001,7.631000000000001,61.883,4.404,1000
25,7.0,1.0,0.16,0.784,0.263,0.5705000000000001,6.665000000000001,56.765,4.48,1000
26,7.0,2.0,0.109,0.782,0.002,0.5693,6.347000000000001,54.803,4.164,1000
27,7.0,3.0,0.207,0.729,0.204,0.5375000000000001,6.617000000000001,56.261,4.108,1000
28,8.0,0.0,0.284,0.962,0.416,0.5773000000000001,7.477000000000001,69.246,4.749,1000
29,8.0,1.0,0.192,0.877,0.308,0.5263000000000002,6.415000000000002,63.174,4.838,1000
30,8.0,2.0,0.138,0.868,0.003,0.5209000000000001,6.037000000000001,60.768,4.502,1000
31,8.0,3.0,0.191,0.917,0.232,0.5503000000000001,6.649000000000001,62.7,4.457,1000
32,9.0,0.0,0.359,1.081,0.477,0.5575000000000001,7.706000000000001,76.772,5.328,1000
33,9.0,1.0,0.26,0.952,0.377,0.48010000000000014,6.3340000000000005,69.49,5.448,1000
34,9.0,2.0,0.146,0.991,0.004,0.5237,6.049,66.727,5.016,1000
35,9.0,3.0,0.145,1.091,0.279,0.5766,6.577,69.037,4.994,1000
36,10.0,0.0,0.5054824561403509,1.25,0.4857456140350877,0.5501096491228071,8.533991228070176,88.75219298245614,6.286184210526316,912
37,10.0,1.0,0.3717105263157895,1.1206140350877194,0.35855263157894735,0.4724780701754387,6.955043859649124,79.1798245614035,6.37390350877193,912
38,10.0,2.0,0.1028169014084507,1.5112676056338028,0.0028169014084507044,0.7069014084507041,7.685915492957746,85.8112676056338,5.774647887323944,710
39,10.0,3.0,0.16261203585147246,1.440460947503201,0.3393085787451985,0.664404609475032,7.619718309859155,84.87451984635084,5.851472471190781,781
40,11.0,0.0,0.543859649122807,1.3958333333333333,0.5098684210526315,0.5376096491228072,8.639254385964913,97.3717105263158,6.832236842105263,912
41,11.0,1.0,0.34210526315789475,1.331140350877193,0.35964912280701755,0.498793859649123,7.040570175438598,86.22039473684211,6.87390350877193,912
42,11.0,2.0,0.1056338028169014,1.6253521126760564,0.0028169014084507044,0.6753521126760563,7.387323943661972,93.1225352112676,6.235211267605634,710
43,11.0,3.0,0.21895006402048656,1.5364916773367479,0.35979513444302175,0.6220230473751601,7.53393085787452,92.31626120358514,6.28169014084507,781
44,12.0,0.0,0.5,1.6480263157894737,0.518640350877193,0.5889254385964914,8.889254385964913,106.18859649122807,7.256578947368421,912
45,12.0,1.0,0.26096491228070173,1.5701754385964912,0.36293859649122806,0.542214912280702,6.9879385964912295,93.20833333333333,7.321271929824562,912
46,12.0,2.0,0.11830985915492957,1.7577464788732395,0.0028169014084507044,0.6547887323943662,7.25774647887324,100.28732394366197,6.597183098591549,710
47,12.0,3.0,0.176696542893726,1.6606914212548016,0.3994878361075544,0.5965428937259923,7.025608194622279,99.29577464788733,6.686299615877081,781
48,13.0,0.0,0.45614035087719296,1.8596491228070176,0.5394736842105263,0.6158991228070178,8.895833333333334,115.0515350877193,7.62390350877193,912
49,13.0,1.0,0.23355263157894737,1.7587719298245614,0.37280701754385964,0.5553728070175441,6.955043859649125,100.15679824561404,7.676535087719298,912
50,13.0,2.0,0.10140845070422536,1.8746478873239436,0.0028169014084507044,0.6249295774647887,6.857746478873239,107.1281690140845,6.836619718309859,710
51,13.0,3.0,0.1946222791293214,1.7976952624839948,0.41357234314980795,0.5787451984635084,6.955185659411011,106.15877080665813,6.962868117797695,781
52,14.0,0.0,0.5010964912280702,1.9736842105263157,0.5877192982456141,0.5843201754385966,8.849780701754387,123.86184210526316,8.00109649122807,912
53,14.0,1.0,0.2631578947368421,1.8826754385964912,0.39473684210526316,0.529714912280702,6.876096491228072,107.02631578947368,8.010964912280702,912
54,14.0,2.0,0.12394366197183099,1.9774647887323944,0.0028169014084507044,0.5866197183098592,6.609859154929578,113.67887323943663,7.133802816901408,710
55,14.0,3.0,0.1587708066581306,1.9859154929577465,0.43661971830985913,0.5916773367477594,6.869398207426377,112.797695262484,7.289372599231754,781
56,15.0,0.0,0.5449561403508771,2.116228070175439,0.6293859649122807,0.580701754385965,9.033991228070175,132.6984649122807,8.515350877192983,912
57,15.0,1.0,0.29714912280701755,1.986842105263158,0.44956140350877194,0.5035087719298247,6.773026315789474,113.79934210526316,8.550438596491228,912
58,15.0,2.0,0.11267605633802817,2.1140845070422536,0.005633802816901409,0.5969014084507042,6.60845070422535,120.21971830985916,7.649295774647888,710
59,15.0,3.0,0.15108834827144688,2.1267605633802815,0.47759282970550576,0.5998719590268886,6.857874519846351,119.45582586427656,7.784891165172855,781
60,16.0,0.0,0.6346863468634686,2.337023370233702,0.6482164821648216,0.6023370233702339,9.83148831488315,145.9581795817958,9.309963099630997,813
61,16.0,1.0,0.39060568603213847,2.206427688504326,0.45982694684796044,0.5239802224969099,7.5834363411619305,125.557478368356,9.406674907292954,809
62,16.0,2.0,0.11394891944990176,2.654223968565815,0.005893909626719057,0.792927308447937,8.611001964636541,145.74852652259332,8.200392927308448,509
63,16.0,3.0,0.1593959731543624,2.546979865771812,0.5369127516778524,0.7283557046979865,8.23993288590604,140.13758389261744,8.546979865771812,596
64,17.0,0.0,0.6937269372693727,2.4772447724477247,0.6642066420664207,0.5864698646986471,10.027060270602707,155.97047970479704,9.71709717097171,813
65,17.0,1.0,0.3831891223733004,2.396786155747837,0.4647713226205192,0.5381953028430163,7.681087762669965,133.23856613102595,9.833127317676144,809
66,17.0,2.0,0.08070866141732283,2.7696850393700787,0.005905511811023622,0.7618110236220471,8.102362204724407,153.89763779527559,8.5748031496063,508
67,17.0,3.0,0.19798657718120805,2.652684563758389,0.5486577181208053,0.6917785234899329,8.105704697986576,148.1728187919463,8.912751677852349,596
68,18.0,0.0,0.6543665436654367,2.6875768757687575,0.6789667896678967,0.612669126691267,10.05289052890529,165.97908979089792,10.014760147601477,813
69,18.0,1.0,0.3003708281829419,2.619283065512979,0.4721878862793572,0.5716934487021016,7.519159456118667,140.75772558714462,10.168108776266996,809
70,18.0,2.0,0.1062992125984252,2.858267716535433,0.005905511811023622,0.7149606299212597,7.787401574803148,161.6496062992126,8.866141732283465,508
71,18.0,3.0,0.18959731543624161,2.783557046979866,0.5671140939597316,0.6703020134228188,7.840604026845638,155.94295302013424,9.213087248322148,596
72,19.0,0.0,0.6420664206642066,2.88929889298893,0.7011070110701108,0.6337023370233704,10.189421894218944,176.12423124231242,10.322263222632227,813
73,19.0,1.0,0.2892459826946848,2.783683559950556,0.48331273176761436,0.570333745364648,7.4388133498145885,148.1965389369592,10.440049443757726,809
74,19.0,2.0,0.12401574803149606,2.9645669291338583,0.005905511811023622,0.6787401574803149,7.531496062992124,169.16929133858267,9.06496062992126,508
75,19.0,3.0,0.18288590604026847,2.922818791946309,0.5889261744966443,0.6538590604026846,7.635906040268456,163.50838926174498,9.449664429530202,596
76,20.0,0.0,0.7355473554735548,3.015990159901599,0.7257072570725708,0.6097170971709719,10.510455104551047,186.53874538745387,10.6309963099631,813
77,20.0,1.0,0.30902348578491967,2.92336217552534,0.5055624227441285,0.5541409147095181,7.395550061804699,155.58467243510506,10.745364647713226,809
78,20.0,2.0,0.1220472440944882,3.09251968503937,0.007874015748031496,0.6555118110236219,7.287401574803148,176.42125984251967,9.334645669291339,508
79,20.0,3.0,0.16946308724832215,3.0671140939597317,0.6157718120805369,0.6404362416107382,7.421140939597316,170.81879194630872,9.734899328859061,596
80,21.0,0.0,0.7691358024691358,3.1827160493827162,0.7641975308641975,0.6228395061728397,10.77530864197531,196.9604938271605,11.092592592592593,810
81,21.0,1.0,0.3465346534653465,3.0346534653465347,0.5544554455445545,0.5321782178217824,7.3564356435643585,162.9108910891089,11.183168316831683,808
82,21.0,2.0,0.11788617886178862,3.2642276422764227,0.008130081300813009,0.6839430894308941,7.512195121951216,184.35365853658536,9.829268292682928,492
83,21.0,3.0,0.14457831325301204,3.2358003442340793,0.6419965576592083,0.6609294320137693,7.452667814113596,177.8485370051635,10.197934595524957,581
84,22.0,0.0,0.7741477272727273,3.4730113636363638,0.7954545454545454,0.6839488636363638,11.484375000000002,212.54261363636363,11.779829545454545,704
85,22.0,1.0,0.4281729428172943,3.271966527196653,0.5690376569037657,0.5633193863319388,8.202231520223155,176.84379358437937,11.969316596931659,717
86,22.0,2.0,0.10626702997275204,3.803814713896458,0.008174386920980926,0.8822888283378744,9.460490463215255,216.5967302452316,10.2425068119891,367
87,22.0,3.0,0.19189765458422176,3.601279317697228,0.6844349680170576,0.7609808102345414,8.761194029850744,200.71002132196162,10.707889125799573,469
88,23.0,0.0,0.859375,3.586647727272727,0.8053977272727273,0.6521306818181819,11.677556818181818,224.1775568181818,12.127840909090908,704
89,23.0,1.0,0.3947001394700139,3.4574616457461644,0.5732217573221757,0.574616457461646,8.114365411436543,184.9581589958159,12.320781032078104,717
90,23.0,2.0,0.09536784741144415,3.9182561307901906,0.008174386920980926,0.8509536784741142,9.081743869209806,225.66212534059946,10.574931880108991,367
91,23.0,3.0,0.19616204690831557,3.7121535181236673,0.697228144989339,0.727505330490405,8.452025586353942,209.136460554371,11.036247334754798,469
92,24.0,0.0,0.859375,3.778409090909091,0.8210227272727273,0.6671875000000002,11.828125,235.98011363636363,12.393465909090908,704
93,24.0,1.0,0.3403068340306834,3.6610878661087867,0.5843793584379359,0.5967921896792192,8.009762900976293,192.96792189679218,12.584379358437936,717
94,24.0,2.0,0.09809264305177112,4.0190735694822886,0.008174386920980926,0.8114441416893731,8.702997275204355,234.34877384196184,10.850136239782016,367
95,24.0,3.0,0.19189765458422176,3.859275053304904,0.7121535181236673,0.715778251599147,8.3091684434968,217.3816631130064,11.272921108742004,469
96,25.0,0.0,0.8394886363636364,3.9630681818181817,0.8494318181818182,0.6779829545454547,11.816761363636363,247.7286931818182,12.657670454545455,704
97,25.0,1.0,0.33612273361227335,3.8270571827057185,0.601115760111576,0.5963737796373783,7.980474198047422,200.94002789400278,12.817294281729428,717
98,25.0,2.0,0.08719346049046321,4.111716621253406,0.008174386920980926,0.7670299727520433,8.193460490463211,242.50953678474116,11.032697547683924,367
99,25.0,3.0,0.17484008528784648,4.017057569296376,0.7270788912579957,0.7104477611940297,8.153518123667375,225.42004264392324,11.454157782515992,469
100,26.0,0.0,0.9573863636363636,4.079545454545454,0.8622159090909091,0.6478693181818183,12.223011363636363,259.78977272727275,12.919034090909092,704
101,26.0,1.0,0.3389121338912134,3.9637377963737794,0.6317991631799164,0.5783821478382151,7.81729428172943,208.7573221757322,13.097629009762901,717
102,26.0,2.0,0.1008174386920981,4.204359673024523,0.008174386920980926,0.7226158038147136,7.8310626702997235,250.29155313351498,11.250681198910081,367
103,26.0,3.0,0.16631130063965885,4.1471215351812365,0.7484008528784648,0.6884861407249465,7.882729211087418,233.23880597014926,11.678038379530918,469
104,27.0,0.0,0.9812138728323699,4.236994219653179,0.8988439306358381,0.6569364161849712,12.358381502890174,269.7514450867052,13.36849710982659,692
105,27.0,1.0,0.3268156424581006,4.115921787709497,0.6703910614525139,0.5842178770949722,7.772346368715085,216.45670391061452,13.490223463687151,716
106,27.0,2.0,0.12023460410557185,4.410557184750733,0.008797653958944282,0.7695014662756594,8.384164222873896,260.63929618768327,11.700879765395895,341
107,27.0,3.0,0.13646532438478748,4.366890380313199,0.7628635346756152,0.7389261744966441,8.183445190156597,241.93512304250558,12.11185682326622,447
108,28.0,0.0,0.8900169204737732,4.55160744500846,0.9560067681895094,0.7311336717428089,12.651438240270728,284.6429780033841,14.037225042301184,591
109,28.0,1.0,0.3611111111111111,4.462418300653595,0.6601307189542484,0.6776143790849676,8.942810457516341,232.87581699346404,14.07843137254902,612
110,28.0,2.0,0.1183206106870229,4.958015267175573,0.007633587786259542,0.9748091603053429,10.458015267175565,301.37404580152673,11.935114503816793,262
111,28.0,3.0,0.17857142857142858,4.752747252747253,0.771978021978022,0.8521978021978018,9.593406593406591,269.5137362637363,12.464285714285714,364
112,29.0,0.0,0.9830795262267343,4.668358714043993,0.9644670050761421,0.7011844331641287,12.910321489001692,297.53299492385787,14.321489001692047,591
113,29.0,1.0,0.3839869281045752,4.622549019607843,0.6650326797385621,0.6736928104575165,9.040849673202615,241.90686274509804,14.359477124183007,612
114,29.0,2.0,0.07633587786259542,5.072519083969466,0.007633587786259542,0.9435114503816788,9.89312977099236,311.2671755725191,12.209923664122137,262
115,29.0,3.0,0.20385674931129477,4.865013774104683,0.7768595041322314,0.8190082644628096,9.413223140495864,279.24793388429754,12.727272727272727,363
116,30.0,0.0,0.9086294416243654,4.9120135363790185,0.9763113367174281,0.7473773265651439,12.925549915397632,310.4382402707276,14.588832487309645,591
117,30.0,1.0,0.3660130718954248,4.821895424836601,0.6748366013071896,0.6933006535947714,9.129084967320264,251.0359477124183,14.549019607843137,612
118,30.0,2.0,0.09923664122137404,5.152671755725191,0.007633587786259542,0.8916030534351138,9.511450381679383,320.7557251908397,12.419847328244275,262
