,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,num_norms,count
0,1.0,0.0,0.06806806806806807,0.0,0.0,0.7000000000000001,7.408408408408408,15.408408408408409,1.0,999
1,1.0,1.0,0.06906906906906907,0.0,0.0,0.7000000000000001,7.414414414414415,15.414414414414415,1.0,999
2,1.0,2.0,0.026026026026026026,0.0,0.0,0.7000000000000001,7.156156156156156,15.156156156156156,1.0,999
3,1.0,3.0,0.01901901901901902,0.0,0.0,0.7000000000000001,7.114114114114114,15.114114114114114,1.0,999
4,2.0,0.0,0.195,0.015,0.068,0.6091000000000001,7.261000000000001,22.596,1.28,1000
5,2.0,1.0,0.24,0.146,0.001,0.6877000000000001,8.317,23.448,1.27,1000
6,2.0,2.0,0.079,0.006,0.02,0.6037,6.511000000000001,21.66,1.316,1000
7,2.0,3.0,0.09,0.009,0.005,0.6055000000000001,6.595000000000001,21.696,1.334,1000
8,3.0,0.0,0.28,0.081,0.237,0.5487000000000002,7.167000000000001,29.637,1.829,1000
9,3.0,1.0,0.244,0.614,0.008,0.8685000000000002,10.149,32.943,1.8,1000
10,3.0,2.0,0.125,0.031,0.081,0.5187000000000002,5.937000000000001,27.579,1.849,1000
11,3.0,3.0,0.144,0.011,0.07,0.5067000000000002,5.931000000000001,27.627,1.882,1000
12,4.0,0.0,0.474,0.1,0.241,0.46010000000000006,7.445,37.082,2.81,1000
13,4.0,1.0,0.214,0.862,0.008,0.9173000000000001,10.457,43.382,2.59,1000
14,4.0,2.0,0.229,0.078,0.081,0.4469000000000001,5.843000000000001,33.422,2.846,1000
15,4.0,3.0,0.271,0.02,0.07,0.4121000000000001,5.747000000000001,33.374,2.876,1000
16,5.0,0.0,0.648,0.116,0.243,0.3697000000000001,7.585000000000001,44.667,3.421,1000
17,5.0,1.0,0.177,1.07,0.008,0.9421,10.483,53.859,3.042,1000
18,5.0,2.0,0.239,0.203,0.081,0.4219000000000001,5.6530000000000005,39.075,3.431,1000
19,5.0,3.0,0.352,0.079,0.07,0.3475000000000001,5.587000000000001,38.955,3.485,1000
20,6.0,0.0,0.714,0.171,0.248,0.3027000000000001,7.311000000000002,51.966,3.939,1000
21,6.0,1.0,0.194,1.251,0.008,0.9507000000000001,10.671,64.518,3.268,1000
22,6.0,2.0,0.23,0.329,0.081,0.39750000000000013,5.355000000000001,44.43,3.887,1000
23,6.0,3.0,0.406,0.133,0.073,0.2799000000000001,5.235000000000002,44.19,3.982,1000
24,7.0,0.0,0.694,0.31,0.25,0.2861000000000001,7.025000000000002,58.985,4.32,1000
25,7.0,1.0,0.187,1.446,0.009,0.9676999999999999,10.799,75.305,3.438,1000
26,7.0,2.0,0.17,0.491,0.083,0.3947000000000001,4.9670000000000005,49.391,4.144,1000
27,7.0,3.0,0.438,0.211,0.074,0.2267000000000001,4.895000000000001,49.085,4.236,1000
28,8.0,0.0,0.549,0.53,0.259,0.31810000000000016,6.4750000000000005,65.448,4.754,1000
29,8.0,1.0,0.203,1.646,0.011,0.9876999999999999,11.094999999999999,86.334,3.6,1000
30,8.0,2.0,0.112,0.653,0.086,0.39190000000000014,4.591000000000002,53.982,4.422,1000
31,8.0,3.0,0.328,0.414,0.082,0.24850000000000014,4.453000000000002,53.538,4.663,1000
