agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,1,40,1,5,2,0.0,5.000000000000005,410.0,4,-1.1,17,6
1,1,10,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,3,1
2,1,117,0,18,0,0.0,0.0,3210.0,2,-1.1,26,18
3,1,10,0,0,0,0.0,0.0,36.0,2,-1.1,4,0
0,2,21,0,2,0,0.0,0.0,120.0,2,-1.1,11,2
1,2,15,0,1,0,0.0,0.0,63.0,2,-1.1,8,1
2,2,200,0,36,0,2.399999999999994,23.99999999999994,2592.0,1,1.8,21,36
3,2,15,0,1,0,0.0,0.0,75.0,4,-1.1,7,1
0,3,200,2,37,34,2.999999999999987,41.999999999999865,6384.0,2,1.9,35,39
1,3,200,0,36,28,2.399999999999986,23.99999999999986,4782.0,2,1.1,32,36
2,3,45,0,6,1,0.0,0.0,324.0,1,-1.1,15,6
3,3,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,4,39,0,5,2,0.0,0.0,261.0,2,-1.1,15,5
1,4,128,2,20,6,0.0,11.999999999999986,1974.0,0,-1.0,38,22
2,4,200,3,39,0,4.199999999999992,59.99999999999992,6402.0,0,1.8,32,42
3,4,62,1,9,0,0.0,5.999999999999984,621.0,0,-0.1999999999999999,20,10
0,5,69,1,10,3,0.0,5.000000000000009,659.0,4,-1.1,29,11
1,5,15,0,1,1,0.0,0.0,93.0,0,-1.0,6,1
2,5,200,2,42,0,6.00000000000002,72.0000000000002,9192.0,0,1.0,32,44
3,5,21,0,2,0,0.0,0.0,120.0,2,-1.1,10,2
0,6,57,0,8,4,0.0,0.0,486.0,2,-1.1,30,8
1,6,21,1,2,1,0.0,5.000000000000002,95.0,0,-0.1999999999999999,10,3
2,6,200,3,36,0,2.4000000000000146,42.00000000000014,8760.0,2,0.9,30,39
3,6,27,0,3,0,0.0,0.0,171.0,0,-1.0,12,3
0,7,200,8,40,1,4.800000000000014,96.00000000000011,9066.0,0,1.8,27,48
1,7,200,3,49,3,10.200000000000037,120.00000000000036,13896.0,0,1.0,27,52
2,7,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,7,200,2,34,2,1.2000000000000015,24.00000000000001,6168.0,0,1.8,22,36
0,8,63,0,9,4,0.0,0.0,549.0,2,-1.1,25,9
1,8,33,2,4,3,0.0,11.000000000000002,317.0,3,-1.1,16,6
2,8,122,0,19,3,0.0,0.0,2409.0,2,-1.1,32,19
3,8,27,1,3,0,0.0,5.000000000000004,164.0,0,-0.1999999999999999,14,4
0,9,80,3,12,3,0.0,17.99999999999996,1326.0,0,-0.1999999999999999,16,15
1,9,200,8,34,1,1.2000000000000002,60.0,11004.0,4,0.9,26,42
2,9,15,0,1,0,0.0,0.0,69.0,2,-1.1,9,1
3,9,134,0,21,0,0.0,0.0,2325.0,2,-1.1,25,21
0,10,80,0,12,4,0.0,0.0,696.0,3,-1.1,27,12
1,10,200,2,44,7,7.200000000000042,84.00000000000041,12174.0,0,1.8,29,46
2,10,200,1,36,3,2.399999999999987,29.99999999999987,4950.0,0,1.8,24,37
3,10,200,0,45,2,7.800000000000043,78.00000000000043,11778.0,0,1.0,22,45
0,11,200,0,35,20,1.7999999999999896,17.999999999999893,2892.0,3,1.1,32,35
1,11,15,1,1,1,0.0,5.000000000000001,104.0,0,-0.1999999999999999,8,2
2,11,200,0,40,9,4.800000000000012,48.00000000000012,6768.0,0,1.0,24,40
3,11,200,0,39,0,4.200000000000021,42.000000000000206,7290.0,0,1.0,21,39
0,12,75,1,11,4,0.0,5.000000000000005,608.0,0,-1.0,29,12
1,12,200,1,43,11,6.600000000000038,72.00000000000037,10674.0,0,1.0,38,44
2,12,200,1,36,3,2.3999999999999893,29.999999999999893,5094.0,0,1.8,29,37
3,12,200,0,41,1,5.400000000000039,54.00000000000039,8526.0,0,1.0,28,41
0,13,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
1,13,200,4,35,10,1.7999999999999936,41.999999999999936,4950.0,0,1.8,39,39
2,13,200,0,46,1,8.400000000000025,84.00000000000024,9240.0,0,1.0,33,46
3,13,68,0,11,0,0.6,5.999999999999999,678.0,0,-1.0,17,11
0,14,33,1,4,1,0.0,5.000000000000005,233.0,0,-1.0,15,5
1,14,200,1,45,3,7.800000000000026,84.00000000000024,9126.0,0,1.0,21,46
2,14,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
3,14,200,0,45,0,7.800000000000018,78.00000000000018,7848.0,0,1.0,22,45
0,15,27,1,3,3,0.0,5.000000000000003,200.0,3,-1.1,15,4
1,15,200,1,45,6,7.800000000000028,84.00000000000028,10008.0,1,1.8,28,46
2,15,104,0,16,3,0.0,0.0,1746.0,1,-1.1,20,16
3,15,200,0,44,0,7.2000000000000055,72.00000000000006,6576.0,0,1.0,30,44
0,16,39,1,5,4,0.0,5.000000000000005,320.0,2,-1.1,22,6
1,16,200,3,42,6,6.000000000000015,78.00000000000014,7716.0,0,1.8,31,45
2,16,200,1,36,5,2.4000000000000026,30.000000000000025,6678.0,0,1.8,33,37
3,16,200,0,40,2,4.800000000000015,48.00000000000015,6594.0,0,1.0,32,40
0,17,81,1,12,3,0.0,5.00000000000001,605.0,2,-1.1,31,13
1,17,200,2,39,10,4.20000000000002,54.0000000000002,7752.0,0,1.8,43,41
2,17,200,0,38,6,3.5999999999999863,35.99999999999986,5658.0,0,1.0,31,38
3,17,200,0,37,0,2.999999999999991,29.99999999999991,5562.0,0,1.0,25,37
0,18,62,0,9,6,0.0,0.0,1197.0,0,-1.0,31,9
1,18,200,2,45,4,7.800000000000006,90.00000000000004,8208.0,0,1.8,32,47
2,18,15,0,1,0,0.0,0.0,81.0,4,-1.1,9,1
3,18,200,1,44,3,7.20000000000004,78.0000000000004,9348.0,0,1.8,26,45
0,19,51,0,7,3,0.0,0.0,405.0,3,-1.1,20,7
1,19,9,0,0,1,0.0,0.0,42.0,1,-1.1,5,0
2,19,92,0,14,3,0.0,0.0,1242.0,1,-1.1,24,14
3,19,200,0,37,0,2.999999999999988,29.99999999999988,4554.0,1,1.8,29,37
0,20,21,2,2,0,0.0,11.000000000000002,179.0,2,-1.1,11,4
