episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,92.0,10038.0,4900.75,19603.0,0.44673009233280625,2,50,31.0,124,0.30645161290322576,16,200,151.5,606,0.2318481848184819
2,165.0,12456.0,5574.5,22298.0,0.5117050856579065,3,47,26.75,107,0.3901869158878505,27,200,124.0,496,0.3276209677419355
3,189.0,13542.0,5109.0,20436.0,0.5587933059307105,3,46,26.0,104,0.38942307692307687,27,200,125.5,502,0.32071713147410363
4,47.0,13374.0,6841.75,27367.0,0.4728596484817481,1,48,28.25,113,0.3827433628318584,9,200,127.0,508,0.33169291338582674
5,42.0,10098.0,4929.0,19716.0,0.3907486305538649,0,48,30.5,122,0.3114754098360656,9,200,152.25,609,0.2352216748768472
6,42.0,10554.0,5510.25,22041.0,0.4467469715530148,0,45,27.75,111,0.3490990990990991,9,200,138.75,555,0.28243243243243243
7,191.0,11448.0,5126.75,20507.0,0.5138123567562296,4,50,25.5,102,0.43137254901960786,33,200,116.5,466,0.3583690987124464
8,81.0,16002.0,4085.0,16340.0,0.7313953488372092,1,59,16.25,65,0.6730769230769231,15,200,64.25,257,0.5398832684824902
9,53.0,13980.0,6146.5,24586.0,0.5279020580818352,1,49,25.75,103,0.44902912621359226,9,200,110.5,442,0.418552036199095
10,357.0,6516.0,3602.25,14409.0,0.3878305225900479,9,41,31.0,124,0.2056451612903225,63,200,165.75,663,0.15497737556561075
11,63.0,7710.0,2115.0,8460.0,0.6870567375886525,1,38,12.5,50,0.58,15,200,71.5,286,0.5
12,41.0,7176.0,3893.75,15575.0,0.4068539325842697,1,43,29.5,118,0.2796610169491526,9,200,152.25,609,0.2352216748768472
13,87.0,13416.0,8162.25,32649.0,0.31514747771754115,1,51,34.0,136,0.27941176470588236,15,200,153.75,615,0.22560975609756095
14,63.0,4182.0,1362.0,5448.0,0.5977422907488987,1,38,14.25,57,0.5219298245614035,15,200,83.5,334,0.44610778443113774
15,47.0,10026.0,5197.25,20789.0,0.4314421088075424,1,49,31.0,124,0.30241935483870963,9,200,152.25,609,0.2352216748768472
16,270.0,12090.0,3248.75,12995.0,0.6840130819545979,4,50,16.75,67,0.5186567164179104,32,200,80.5,322,0.3913043478260869
17,95.0,5292.0,1668.5,6674.0,0.620767156128259,3,40,15.0,60,0.5083333333333333,21,200,85.0,340,0.4426470588235294
18,402.0,12048.0,5293.25,21173.0,0.5052071033863883,9,46,26.25,105,0.33571428571428574,57,200,131.5,526,0.26615969581749055
19,129.0,7578.0,4184.25,16737.0,0.35647069367270123,3,40,28.75,115,0.2456521739130435,27,200,156.75,627,0.2069377990430623
20,36.0,10530.0,5068.25,20273.0,0.5042544270704878,0,47,24.0,96,0.47916666666666663,9,200,107.5,430,0.4372093023255814
21,36.0,12426.0,6715.5,26862.0,0.433940138485593,0,50,32.25,129,0.32751937984496127,9,200,149.25,597,0.24497487437185939
22,158.0,8880.0,4169.75,16679.0,0.49081179926854124,4,44,25.5,102,0.37254901960784315,27,200,125.5,502,0.32071713147410363
23,41.0,8304.0,3748.25,14993.0,0.5177916360968452,1,45,23.5,94,0.45744680851063835,9,200,110.5,442,0.418552036199095
24,467.0,15648.0,7625.0,30500.0,0.44168852459016394,10,55,36.25,145,0.27068965517241383,57,200,159.75,639,0.17488262910798125
25,113.0,11196.0,5894.0,23576.0,0.4320707499151679,3,48,32.25,129,0.2965116279069767,21,200,150.75,603,0.23009950248756228
26,36.0,14880.0,3773.75,15095.0,0.7391023517721099,0,54,14.25,57,0.7236842105263158,9,200,59.75,239,0.6119246861924686
27,212.0,8574.0,4703.5,18814.0,0.42173381524396725,4,43,28.25,113,0.2898230088495575,27,200,146.5,586,0.23890784982935154
28,114.0,10140.0,5959.5,23838.0,0.3808834633778001,2,45,31.5,126,0.2777777777777778,21,200,155.25,621,0.21618357487922713
29,1094.0,11460.0,5546.0,22184.0,0.42016768842408947,23,47,35.0,140,0.1607142857142858,135,200,174.75,699,0.08261802575107291
