episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
1,20,3,15.0,12047.599999999995,37963,4853336.910000001
2,41,7,17.073170731707318,8706.399999999998,30838,1898348.34
3,18,1,5.555555555555555,8985.4,27789,4957833.39
4,20,4,20.0,6997.899999999998,28865,1224612.0299999998
5,20,4,20.0,11233.899999999994,37342,4462233.000000002
6,17,3,17.647058823529413,9446.899999999989,35678,4420225.980000002
7,19,1,5.263157894736842,9342.699999999992,35730,4182052.4700000016
8,16,3,18.75,10199.199999999988,35883,4570757.609999998
9,33,9,27.27272727272727,11757.399999999987,42069,2603340.75
10,22,1,4.545454545454546,9073.899999999996,31321,6566528.07
11,20,3,15.0,11768.600000000004,38335,5680962.9
12,24,5,20.833333333333336,8094.599999999996,34679,8180389.919999998
13,18,3,16.666666666666664,6876.299999999997,22952,3074640.5100000002
14,23,4,17.391304347826086,12387.499999999996,41468,7465850.850000001
15,25,5,20.0,12241.999999999998,40029,6751317.96
16,12,1,8.333333333333332,8591.299999999996,30055,9237588.599999996
17,34,5,14.705882352941178,9717.39999999999,39160,1041065.9100000001
18,39,7,17.94871794871795,10090.899999999994,33493,1974271.020000002
19,38,3,7.894736842105263,9633.199999999986,37118,1147576.3199999998
20,27,3,11.11111111111111,10293.499999999996,33905,2981933.6999999997
21,34,7,20.588235294117645,9548.29999999999,33645,2724182.9699999997
22,15,2,13.333333333333334,10904.100000000002,35030,11017816.499999996
23,10,1,10.0,653.9999999999999,3824,27357.959999999995
24,31,4,12.903225806451612,13120.399999999994,43457,3050057.3099999996
25,25,7,28.000000000000004,11579.899999999994,42475,6580787.22
26,35,7,20.0,8821.900000000001,31014,2327356.769999999
27,21,1,4.761904761904762,11915.399999999998,39654,6811220.129999999
28,22,4,18.181818181818183,10816.3,36710,4727986.2299999995
29,13,2,15.384615384615385,3145.999999999996,13768,152173.56000000006
30,21,3,14.285714285714285,10042.499999999993,34959,2957871.4800000004
31,23,3,13.043478260869565,12039.299999999996,38336,5902043.07
32,25,0,0.0,2117.600000000001,9643,136268.16
33,6,2,33.33333333333333,7.799999999999999,231,-40.67999999999999
34,20,3,15.0,11620.599999999997,38196,5574414.120000001
35,17,3,17.647058823529413,11007.199999999999,36584,4182895.289999996
36,26,4,15.384615384615385,12042.899999999996,41039,3450513.780000001
37,47,7,14.893617021276595,7060.799999999998,26226,595049.0100000002
38,21,2,9.523809523809524,11696.599999999991,41148,6682650.900000003
39,13,2,15.384615384615385,3813.1999999999953,15831,659280.9600000002
40,21,2,9.523809523809524,12733.6,38650,9553428.120000001
41,20,2,10.0,12133.999999999998,37629,6884728.410000001
42,21,1,4.761904761904762,9930.899999999996,37288,4377011.67
43,16,3,18.75,10280.099999999997,34187,6447163.4399999995
44,28,5,17.857142857142858,6905.600000000002,26007,965345.7299999996
45,26,5,19.230769230769234,1534.1999999999994,6890,37414.170000000006
46,41,5,12.195121951219512,8879.199999999993,34921,1249276.5
47,30,3,10.0,13241.500000000004,46703,2956636.26
48,22,4,18.181818181818183,10835.999999999995,36381,8147112.450000001
49,23,3,13.043478260869565,11660.200000000004,40813,3409296.5699999994
50,38,12,31.57894736842105,10008.89999999999,38483,1549622.5199999989
51,19,2,10.526315789473683,4997.500000000002,18292,2245676.76
52,27,2,7.4074074074074066,12173.299999999992,40281,5776141.799999999
53,20,5,25.0,7212.199999999999,26858,1100297.4300000002
54,46,6,13.043478260869565,6012.799999999992,31441,500006.7300000005
55,18,3,16.666666666666664,12535.9,39571,8681051.639999999
56,19,5,26.31578947368421,9374.599999999999,34076,2339896.6799999992
57,32,3,9.375,9958.79999999999,36253,3618393.089999999
58,22,5,22.727272727272727,10449.699999999993,36555,6772975.079999998
59,8,1,12.5,3453.1999999999985,16022,685461.6000000004
60,47,10,21.27659574468085,11325.899999999994,45375,1521446.0399999993
61,39,9,23.076923076923077,7876.499999999992,31596,554651.4299999999
62,19,3,15.789473684210526,11004.200000000004,37202,4881857.9700000025
63,28,2,7.142857142857142,8945.299999999992,33306,3598769.16
64,1,0,0.0,7.199999999999999,60,47.52
65,34,3,8.823529411764707,8260.199999999995,31667,720086.5200000001
66,34,12,35.294117647058826,12100.099999999995,41982,3903018.78
67,21,5,23.809523809523807,12378.699999999988,39423,5926510.919999999
68,14,1,7.142857142857142,3688.6999999999953,12768,273793.5599999999
69,17,4,23.52941176470588,11928.700000000006,36489,5437077.000000002
70,22,2,9.090909090909092,11570.999999999993,37527,9095650.620000001
71,28,3,10.714285714285714,8632.099999999995,32182,3253680.6000000006
72,46,6,13.043478260869565,2877.0999999999954,14669,152367.95999999996
73,20,3,15.0,2733.299999999999,14945,59249.159999999974
74,6,2,33.33333333333333,60.80000000000001,806,435.2400000000001
75,37,2,5.405405405405405,10783.199999999988,37971,1622474.4
76,40,8,20.0,6516.500000000004,23094,1846235.1000000006
77,41,7,17.073170731707318,9950.899999999998,37453,2907619.26
78,27,2,7.4074074074074066,11444.899999999994,43237,3863859.78
79,24,3,12.5,10330.49999999999,38088,3177796.920000003
80,24,0,0.0,12931.999999999998,40507,10307336.16
81,49,10,20.408163265306122,9327.699999999995,29274,953053.3799999999
82,19,3,15.789473684210526,8846.199999999997,34659,2424667.7399999998
83,18,5,27.77777777777778,8689.2,31674,3798498.54
84,30,6,20.0,13751.099999999984,45652,8243488.77
85,26,6,23.076923076923077,10978.299999999992,38962,4536157.620000001
86,28,3,10.714285714285714,11117.399999999996,36470,2526820.2899999996
87,42,9,21.428571428571427,12183.499999999985,43365,1629080.4600000002
88,30,3,10.0,8990.09999999999,29710,3340858.4100000006
89,34,8,23.52941176470588,10363.2,36318,2936880.9899999974
90,8,0,0.0,2407.599999999997,8884,310398.36
91,5,1,20.0,9.6,253,-18.000000000000004
92,12,3,25.0,4259.299999999997,17057,571660.71
93,35,7,20.0,4055.399999999996,15166,458746.91999999987
94,7,0,0.0,2029.5999999999976,8478,428503.1999999998
95,36,5,13.88888888888889,8392.500000000002,36403,2832323.1599999983
96,18,2,11.11111111111111,248.3000000000001,1795,1035.9300000000003
97,41,8,19.51219512195122,10269.299999999994,40066,974489.8799999992
98,23,3,13.043478260869565,13846.99999999999,43270,6918286.769999998
99,34,5,14.705882352941178,2562.5999999999985,11637,260879.99999999985
100,20,4,20.0,12963.499999999996,38981,7228930.920000002
101,18,4,22.22222222222222,11748.599999999995,37865,6565900.830000002
102,41,10,24.390243902439025,11482.799999999996,42196,3342267.27
103,17,1,5.88235294117647,9423.799999999996,35763,6805499.310000006
104,13,2,15.384615384615385,11593.599999999993,35972,11402296.289999994
105,12,1,8.333333333333332,11665.700000000004,33915,6189938.250000002
106,22,0,0.0,13219.59999999999,40885,12252705.0
107,16,1,6.25,6254.99999999999,34457,1977299.969999998
108,25,5,20.0,8887.000000000005,31996,1706724.3600000003
109,32,7,21.875,5325.699999999998,19289,753914.4599999997
110,24,3,12.5,10268.699999999992,38191,3039717.1500000022
111,22,2,9.090909090909092,11106.399999999985,41009,3526413.5999999987
112,11,1,9.090909090909092,5580.79999999999,22546,346473.1199999996
113,19,2,10.526315789473683,10520.3,36090,4403640.719999999
114,23,6,26.08695652173913,12019.999999999996,39892,7812320.3100000005
115,27,4,14.814814814814813,12530.800000000003,41607,4135201.860000001
116,22,6,27.27272727272727,12432.69999999999,42451,3626468.610000001
117,16,3,18.75,11196.700000000003,34645,9764837.609999996
118,28,4,14.285714285714285,12386.19999999999,43499,1889116.41
119,24,5,20.833333333333336,12276.599999999991,39042,7009531.110000001
120,18,3,16.666666666666664,12350.100000000006,40628,8847455.28
121,23,3,13.043478260869565,9988.599999999997,37408,4079458.139999999
122,4,0,0.0,17.599999999999998,172,17.279999999999998
123,34,9,26.47058823529412,10798.9,45117,1008843.780000001
124,31,3,9.67741935483871,1222.3,5088,39809.76
125,19,1,5.263157894736842,13471.599999999997,42844,5232211.739999998
126,16,1,6.25,12754.600000000015,40342,9794727.899999997
127,14,1,7.142857142857142,763.2000000000003,3386,16517.64
128,25,8,32.0,736.7999999999997,2761,4299.5999999999985
129,46,12,26.08695652173913,6086.000000000002,23344,551990.01
130,19,4,21.052631578947366,9851.499999999993,34327,6389445.570000004
131,12,2,16.666666666666664,8632.2,31429,5708426.939999999
132,19,2,10.526315789473683,10182.700000000004,32101,2989442.2799999984
133,9,0,0.0,5954.400000000003,21368,792111.3600000007
134,20,4,20.0,9225.099999999995,31028,5047878.21
135,8,2,25.0,76.79999999999997,410,582.24
136,20,3,15.0,9472.599999999999,33218,2365792.499999998
137,8,2,25.0,134.40000000000003,842,3972.48
