norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,medium days,medium days,THEN,throw",11818.8,31508,1667225.9999999995,49
"IF,medium berries,medium health,medium days,medium days,THEN,throw",21057.70000000001,148313,706774.83,175
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",86852.20000000013,113454,569710.9200000004,307
"IF,medium berries,high health,high days,high days,THEN,throw",3327.9000000000015,12377,370608.81,35
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",13091.5,32203,191322.47999999992,107
"IF,medium berries,high health,medium days,high days,THEN,throw",3249.9999999999995,8546,157091.5200000001,40
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",17698.500000000007,30185,110964.02999999996,112
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",23014.30000000003,35371,91762.46999999999,144
"IF,medium berries,medium health,high days,medium days,medium days,THEN,throw",5070.199999999999,14834,82600.44000000002,50
"IF,medium berries,medium health,medium days,medium days,high days,THEN,throw",3770.5000000000023,10469,71066.55000000002,36
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",14542.399999999998,21508,59094.900000000045,80
"IF,medium berries,medium health,medium days,high days,THEN,throw",2082.399999999999,10874,57132.68999999999,59
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",18017.300000000007,29253,49022.07,111
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",9391.600000000004,19476,43174.380000000005,85
"IF,medium berries,medium health,low days,medium days,THEN,throw",3682.4,10890,37805.88000000003,36
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",9084.000000000005,17464,22255.050000000017,75
"IF,medium berries,high health,medium days,low days,medium days,THEN,throw",1271.5000000000011,1963,21813.36000000002,8
"IF,medium berries,medium health,high days,medium days,THEN,throw",2044.9000000000003,27301,19001.90999999999,101
"IF,medium berries,medium health,medium days,low days,THEN,throw",4673.700000000002,17379,16577.93999999995,54
"IF,medium berries,high health,medium days,medium days,high days,THEN,throw",359.6999999999999,581,9364.980000000012,3
"IF,medium berries,high health,high days,medium days,medium days,THEN,throw",448.4999999999999,793,6978.570000000003,5
"IF,medium berries,high health,medium days,high days,high days,THEN,throw",383.7999999999996,542,6757.739999999998,1
"IF,medium berries,high health,medium days,low days,THEN,throw",360.2000000000002,734,4102.049999999995,4
"IF,medium berries,medium health,high days,medium days,low days,THEN,throw",1319.8000000000006,3062,1785.4199999999978,19
"IF,medium berries,medium health,high days,low days,medium days,THEN,throw",3122.5000000000005,4601,1456.829999999997,24
"IF,medium berries,high health,high days,medium days,low days,THEN,throw",207.1000000000004,327,1412.6400000000021,1
"IF,medium berries,medium health,medium days,high days,medium days,THEN,throw",459.4000000000004,898,1112.5199999999984,6
"IF,medium berries,medium health,medium days,low days,high days,THEN,throw",205.39999999999986,318,801.8999999999997,4
"IF,medium berries,medium health,high days,medium days,high days,THEN,throw",30.499999999999996,305,682.5900000000008,1
"IF,medium berries,medium health,low days,low days,high days,THEN,throw",250.2999999999999,783,643.2000000000008,5
"IF,medium berries,medium health,low days,low days,THEN,throw",1398.8999999999994,2391,611.8200000000026,7
"IF,medium berries,medium health,low days,medium days,high days,THEN,throw",542.3000000000001,1503,534.48,12
"IF,medium berries,high health,medium days,high days,medium days,THEN,throw",324.10000000000036,425,481.80000000000064,2
"IF,medium berries,high health,medium days,medium days,medium days,THEN,throw",257.80000000000024,442,77.21999999999998,4
"IF,medium berries,high health,high days,low days,medium days,THEN,throw",220.7999999999999,256,72.0,3
"IF,medium berries,high health,low days,medium days,medium days,THEN,throw",11.2,28,66.15,1
"IF,medium berries,medium health,high days,high days,THEN,throw",5.20000000000001,426,52.26000000000015,4
"IF,high berries,high health,high days,THEN,throw",81.20000000000002,364,23.100000000000023,7
"IF,medium berries,medium health,high days,high days,medium days,THEN,throw",56.500000000000014,269,17.760000000000012,3
"IF,medium berries,high health,medium days,THEN,throw",187.20000000000022,208,0.0,1
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",157.80000000000013,422,0.0,3
"IF,medium berries,high health,low days,high days,THEN,throw",19.0,38,0.0,1
"IF,medium berries,high health,high days,high days,medium days,THEN,throw",13.0,26,0.0,1
"IF,medium berries,medium health,high days,low days,THEN,throw",67.99999999999989,388,0.0,2
"IF,medium berries,medium health,medium days,high days,high days,THEN,throw",0.19999999999999996,2,0.0,1
"IF,medium berries,low health,high days,low days,medium days,THEN,throw",-24.199999999999946,242,0.0,1
"IF,medium berries,low health,high days,medium days,medium days,THEN,throw",-1.0,10,0.0,1
"IF,medium berries,low health,high days,medium days,low days,THEN,throw",-94.80000000000014,158,0.0,1
"IF,medium berries,high health,medium days,medium days,low days,THEN,throw",120.59999999999987,134,0.0,1
"IF,medium berries,medium health,high days,low days,low days,THEN,throw",185.4000000000002,206,0.0,1
"IF,medium berries,medium health,low days,high days,low days,THEN,throw",1.0,2,0.0,1
"IF,medium berries,low health,low days,medium days,low days,THEN,throw",-270.3999999999994,2704,-21.6,9
"IF,medium berries,low health,low days,low days,THEN,throw",-33.59999999999992,336,-25.92,2
"IF,medium berries,low health,medium days,low days,THEN,throw",-49.900000000000006,499,-129.96000000000012,3
"IF,medium berries,low health,low days,medium days,medium days,THEN,throw",-121.29999999999994,1213,-266.5199999999994,6
"IF,medium berries,low health,medium days,medium days,low days,THEN,throw",-295.79999999999984,2958,-552.9600000000007,15
"IF,medium berries,low health,medium days,low days,medium days,THEN,throw",-392.99999999999966,3930,-1061.0099999999993,17
"IF,medium berries,low health,medium days,medium days,medium days,THEN,throw",-504.59999999999945,5046,-1256.1900000000007,23
"IF,medium berries,low health,low days,low days,medium days,THEN,throw",-505.19999999999953,4932,-1628.2500000000007,25
"IF,medium berries,high health,high days,low days,THEN,throw",93.59999999999998,1350,-4322.879999999996,8
"IF,medium berries,low health,high days,medium days,THEN,throw",-50.00000000000001,250,-4549.080000000001,3
"IF,medium berries,low health,medium days,low days,low days,THEN,throw",-592.2999999999996,4183,-5977.44,14
"IF,medium berries,high health,high days,THEN,throw",-134.29999999999998,3441,-28021.94999999999,11
"IF,medium berries,low health,low days,low days,low days,THEN,throw",-5646.399999999993,54844,-31081.349999999988,148
"IF,medium berries,high health,high days,medium days,THEN,throw",5934.100000000001,34773,-84536.24999999996,81
