norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,medium days,high days,THEN,throw",23360.899999999998,86925,2827499.8200000008,164
"IF,medium berries,high health,high days,medium days,THEN,throw",22933.100000000002,64859,1884391.9199999997,142
"IF,medium berries,high health,medium days,medium days,THEN,throw",12171.599999999999,33620,1181909.8199999987,55
"IF,medium berries,high health,high days,high days,THEN,throw",11655.9,89799,645682.0799999998,124
"IF,medium berries,medium health,medium days,medium days,THEN,throw",5709.100000000002,25807,153864.0899999999,67
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",14854.200000000017,23882,49489.46999999997,96
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",15569.100000000011,27659,40904.87999999999,101
"IF,medium berries,medium health,medium days,low days,THEN,throw",3378.700000000003,7737,38268.59999999999,28
"IF,medium berries,medium health,high days,medium days,THEN,throw",826.5999999999998,5696,38152.83,27
"IF,medium berries,medium health,medium days,high days,THEN,throw",721.3999999999996,9114,22152.420000000006,30
"IF,medium berries,medium health,low days,medium days,THEN,throw",1758.4999999999984,7149,19730.75999999999,25
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",5525.999999999999,11532,18291.570000000007,39
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",9397.000000000007,16454,16840.440000000013,60
"IF,medium berries,high health,medium days,THEN,throw",922.0000000000005,5284,12146.310000000014,21
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",3641.9,10243,8264.160000000003,34
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",1779.4000000000037,3174,3234.000000000001,13
"IF,medium berries,medium health,low days,low days,THEN,throw",1148.8000000000002,1866,2687.94,9
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",1522.4999999999998,3829,2156.279999999998,14
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",2640.899999999998,7041,1849.3199999999977,22
"IF,medium berries,medium health,high days,high days,THEN,throw",48.4,850,1570.7700000000007,2
"IF,medium berries,medium health,high days,low days,THEN,throw",157.79999999999995,934,1104.3,5
"IF,medium berries,high health,low days,medium days,THEN,throw",356.59999999999957,834,852.5999999999999,2
"IF,medium berries,medium health,low days,low days,high days,THEN,throw",277.80000000000064,362,503.99999999999903,2
"IF,medium berries,high health,high days,low days,THEN,throw",101.59999999999994,316,481.17,6
"IF,medium berries,medium health,medium days,medium days,high days,THEN,throw",74.50000000000014,333,296.6399999999997,2
"IF,medium berries,medium health,medium days,low days,high days,THEN,throw",97.00000000000003,226,162.0,4
"IF,medium berries,medium health,low days,medium days,high days,THEN,throw",371.60000000000065,472,0.0,2
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",199.00000000000003,494,0.0,4
"IF,medium berries,low health,medium days,low days,low days,THEN,throw",-338.3999999999996,1814,0.0,9
"IF,medium berries,medium health,low days,THEN,throw",126.60000000000008,714,0.0,3
"IF,medium berries,low health,medium days,medium days,low days,THEN,throw",-30.399999999999938,304,0.0,3
"IF,medium berries,low health,low days,medium days,low days,THEN,throw",-117.6000000000002,206,0.0,3
"IF,medium berries,low health,high days,medium days,low days,THEN,throw",-1.2,12,0.0,1
"IF,medium berries,medium health,high days,low days,medium days,THEN,throw",118.79999999999987,132,0.0,1
"IF,medium berries,low health,medium days,low days,high days,THEN,throw",-8.7,87,-3.480000000000002,1
"IF,medium berries,low health,medium days,low days,medium days,THEN,throw",-168.6999999999997,1687,-5.640000000000003,12
"IF,medium berries,low health,low days,low days,THEN,throw",-62.599999999999916,436,-53.10000000000001,3
"IF,medium berries,low health,low days,medium days,medium days,THEN,throw",-372.1999999999995,3722,-69.71999999999994,18
"IF,medium berries,low health,low days,high days,THEN,throw",-122.69999999999989,1167,-95.46000000000006,6
"IF,medium berries,low health,medium days,medium days,THEN,throw",-124.3999999999998,1244,-114.47999999999988,4
"IF,medium berries,low health,low days,medium days,THEN,throw",-56.099999999999994,561,-148.31999999999985,2
"IF,high berries,high health,high days,THEN,throw",8.20000000000004,1260,-181.38000000000028,8
"IF,medium berries,low health,medium days,THEN,throw",-11.299999999999995,113,-350.15999999999997,1
"IF,medium berries,high health,low days,high days,THEN,throw",854.4999999999997,2759,-630.3300000000011,21
"IF,medium berries,low health,medium days,medium days,medium days,THEN,throw",-1408.8999999999985,14089,-658.4100000000001,35
"IF,medium berries,low health,medium days,high days,THEN,throw",-40.7,407,-820.0199999999998,2
"IF,medium berries,low health,low days,low days,medium days,THEN,throw",-1607.899999999998,10809,-2398.6199999999994,40
"IF,medium berries,medium health,high days,THEN,throw",-111.50000000000007,1341,-6288.419999999999,6
"IF,medium berries,low health,low days,low days,low days,THEN,throw",-8059.500000000004,78675,-9189.599999999997,149
"IF,medium berries,high health,high days,THEN,throw",6366.299999999997,237539,-9209.400000000056,285
"IF,medium berries,medium health,low days,high days,THEN,throw",535.2999999999995,3235,-10922.940000000006,9
"IF,medium berries,medium health,medium days,THEN,throw",-672.099999999999,6985,-21817.799999999967,17
