,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
338,0,1,200,1,42,0,6.100000000000005,67.00000000000004,6594.0,0,1.0,18,43
189,1,1,51,0,7,0,0.0,0.0,435.0,1,-1.1,10,7
178,2,1,46,1,6,0,0.0,5.000000000000004,275.0,0,-1.0,19,7
179,3,1,46,1,6,0,0.0,5.000000000000004,257.0,0,-0.1999999999999999,15,7
631,0,2,200,2,42,0,6.00000000000002,72.0000000000002,8412.0,0,1.8,20,44
457,1,2,33,0,4,0,0.0,0.0,258.0,0,-1.0,11,4
470,2,2,39,0,5,0,0.0,0.0,225.0,0,-1.0,21,5
422,3,2,21,0,2,0,0.0,0.0,138.0,0,-1.0,9,2
1072,0,3,200,1,45,0,7.800000000000024,84.00000000000023,10800.0,0,1.0,19,46
689,1,3,15,1,1,0,0.0,5.000000000000001,92.0,0,-0.1999999999999999,6,2
1073,2,3,200,0,37,0,2.999999999999986,29.999999999999854,4422.0,0,1.0,15,37
727,3,3,27,0,3,1,0.0,0.0,129.0,4,-1.1,13,3
1531,0,4,200,0,47,0,9.000000000000028,90.00000000000028,9522.0,1,1.8,19,47
1532,1,4,200,0,36,0,2.3999999999999875,23.999999999999872,3642.0,0,1.0,18,36
1176,2,4,26,1,3,1,0.0,5.999999999999997,237.0,0,-0.1999999999999999,11,4
1198,3,4,33,0,4,0,0.0,0.0,138.0,0,-1.0,14,4
1602,0,5,21,0,2,0,0.0,0.0,114.0,1,-1.1,13,2
1566,1,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
1819,2,5,200,1,38,0,3.5999999999999885,41.999999999999886,5328.0,0,1.0,18,39
1676,3,5,57,1,8,0,0.0,5.000000000000006,575.0,0,-1.0,15,9
1900,0,6,21,0,2,1,0.0,0.0,108.0,0,-1.0,8,2
1948,1,6,38,0,5,0,0.0,0.0,315.0,0,-1.0,16,5
1968,2,6,57,0,8,0,0.0,0.0,354.0,0,-1.0,22,8
1939,3,6,33,1,4,1,0.0,5.000000000000003,251.0,0,-1.0,17,5
2421,0,7,200,3,43,0,6.600000000000019,84.0000000000002,9276.0,0,1.0,21,46
2002,1,7,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
2422,2,7,200,0,36,0,2.399999999999986,23.99999999999986,4146.0,0,1.0,18,36
2112,3,7,45,0,6,0,0.0,0.0,270.0,4,-1.1,13,6
2726,0,8,200,1,42,0,6.000000000000005,66.00000000000004,6600.0,0,1.0,17,43
2600,1,8,74,0,11,0,0.0,0.0,729.0,1,-1.1,16,11
2494,2,8,21,2,2,0,0.0,11.000000000000002,143.0,0,-0.1999999999999999,12,4
2458,3,8,9,0,0,1,0.0,0.0,42.0,4,-1.1,6,0
3173,0,9,200,0,47,0,9.000000000000021,90.00000000000021,8934.0,1,1.8,23,47
3174,1,9,200,0,37,0,2.999999999999986,29.999999999999854,5244.0,0,1.0,18,37
2809,2,9,21,1,2,1,0.0,5.000000000000001,137.0,0,-1.0,12,3
2828,3,9,27,0,3,1,0.0,0.0,141.0,0,-1.0,13,3
3603,0,10,200,6,34,0,1.1999999999999909,47.9999999999999,7338.0,0,1.0,21,40
3208,1,10,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
3604,2,10,200,0,34,0,1.1999999999999904,11.999999999999904,2970.0,0,1.0,18,34
3246,3,10,21,0,2,0,0.0,0.0,96.0,0,-1.0,10,2
4069,0,11,200,2,41,0,5.400000000000013,66.00000000000013,6894.0,0,1.8,18,43
4070,1,11,200,0,34,0,1.1999999999999855,11.999999999999854,3540.0,0,1.0,16,34
3784,2,11,57,1,8,0,0.0,5.000000000000005,431.0,0,-1.0,9,9
3640,3,11,9,0,0,0,0.0,0.0,36.0,4,-1.1,6,0
4387,0,12,200,1,43,0,6.600000000000018,72.00000000000017,7680.0,1,1.8,21,44
4176,1,12,27,0,3,1,0.0,0.0,195.0,1,-1.1,8,3
4238,2,12,51,2,7,0,0.0,11.000000000000009,326.0,0,-1.0,16,9
4214,3,12,39,0,5,0,0.0,0.0,219.0,4,-1.1,13,5
4632,0,13,200,2,46,0,8.400000000000018,96.00000000000016,9174.0,0,1.8,14,48
4453,1,13,21,1,2,0,0.0,5.000000000000002,125.0,0,-0.1999999999999999,12,3
4441,2,13,15,2,1,0,0.0,11.0,116.0,0,-0.1999999999999999,8,3
4423,3,13,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
4925,0,14,200,1,42,0,6.000000000000022,66.00000000000021,7770.0,1,1.8,17,43
4690,1,14,15,1,1,0,0.0,5.000000000000001,86.0,0,-0.1999999999999999,8,2
4788,2,14,63,2,9,0,0.0,11.000000000000004,518.0,0,-0.1999999999999999,14,11
4692,3,14,15,0,1,0,0.0,0.0,63.0,0,-1.0,9,1
5259,0,15,200,1,42,0,6.000000000000015,66.00000000000014,7692.0,0,1.0,18,43
5157,1,15,98,0,15,0,0.0,0.0,1353.0,4,-1.1,14,15
4984,2,15,15,1,1,0,0.0,5.000000000000002,68.0,0,-0.1999999999999999,7,2
5003,3,15,21,0,2,0,0.0,0.0,102.0,0,-1.0,10,2
5563,0,16,200,1,48,0,9.600000000000025,102.0000000000002,10512.0,1,1.8,17,49
5419,1,16,56,0,8,0,0.0,0.0,762.0,1,-1.1,18,8
5342,2,16,21,1,2,1,0.0,5.000000000000002,113.0,0,-1.0,12,3
5361,3,16,27,1,3,1,0.0,5.000000000000004,182.0,0,-0.1999999999999999,13,4
6200,0,17,200,0,41,0,5.400000000000021,54.000000000000206,6732.0,0,1.0,23,41
6201,1,17,200,0,35,1,1.7999999999999892,17.99999999999989,3018.0,0,1.0,24,35
6202,2,17,200,1,38,0,3.5999999999999885,41.999999999999886,5052.0,0,1.0,26,39
5719,3,17,39,1,5,0,0.0,5.000000000000005,224.0,0,-0.1999999999999999,14,6
6578,0,18,200,2,44,0,7.200000000000026,84.00000000000024,10464.0,0,1.8,25,46
6446,1,18,68,1,10,0,0.0,5.999999999999971,846.0,0,-0.1999999999999999,16,11
6436,2,18,63,2,9,1,0.0,11.000000000000004,410.0,0,-0.1999999999999999,20,11
6382,3,18,45,0,6,1,0.0,0.0,246.0,0,-1.0,14,6
6823,0,19,200,1,43,0,6.60000000000001,72.0000000000001,8028.0,0,1.0,14,44
6631,1,19,15,0,1,0,0.0,0.0,87.0,1,-1.1,6,1
6613,2,19,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
6644,3,19,21,0,2,0,0.0,0.0,114.0,0,-1.0,10,2
7264,0,20,200,1,39,0,4.1999999999999895,47.999999999999886,5046.0,0,1.8,15,40
7265,1,20,200,0,35,0,1.7999999999999865,17.999999999999865,3216.0,0,1.0,17,35
6919,2,20,27,1,3,0,0.0,5.000000000000001,206.0,0,-1.0,11,4
6883,3,20,15,1,1,0,0.0,5.000000000000002,80.0,0,-0.1999999999999999,6,2
7712,0,21,200,1,42,0,6.00000000000001,66.00000000000009,7086.0,1,1.8,17,43
7347,1,21,21,0,2,0,0.0,0.0,120.0,0,-1.0,9,2
7713,2,21,200,1,35,0,1.799999999999986,23.99999999999986,3840.0,0,1.8,18,36
7367,3,21,27,1,3,0,0.0,5.000000000000002,122.0,0,-0.1999999999999999,11,4
8178,0,22,200,1,42,1,6.000000000000006,66.00000000000006,8976.0,0,1.0,33,43
7771,1,22,15,0,1,0,0.0,0.0,81.0,1,-1.1,7,1
8179,2,22,200,0,37,0,2.999999999999991,29.99999999999991,3174.0,0,1.0,28,37
7881,3,22,51,0,7,1,0.0,0.0,387.0,4,-1.1,22,7
8626,0,23,200,0,44,0,7.200000000000016,72.00000000000016,9222.0,1,1.8,34,44
8237,1,23,15,0,1,0,0.0,0.0,81.0,1,-1.1,8,1
8627,2,23,200,0,37,0,2.9999999999999907,29.999999999999904,3378.0,0,1.0,23,37
8293,3,23,33,0,4,1,0.0,0.0,228.0,4,-1.1,17,4
8866,0,24,200,2,43,0,6.600000000000015,78.00000000000014,8208.0,0,1.8,15,45
8687,1,24,21,1,2,0,0.0,5.000000000000001,149.0,0,-0.1999999999999999,8,3
8662,2,24,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
8663,3,24,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,4,1
9170,0,25,200,1,44,0,7.200000000000019,78.00000000000018,8772.0,0,1.0,17,45
9050,1,25,80,0,12,0,0.0,0.0,1044.0,1,-1.1,12,12
8920,2,25,15,1,1,0,0.0,5.000000000000002,104.0,0,-1.0,9,2
8902,3,25,9,0,0,1,0.0,0.0,42.0,4,-1.1,5,0
9534,0,26,200,5,33,0,0.5999999999999968,35.999999999999964,8736.0,0,1.0,23,38
9228,1,26,15,0,1,0,0.0,0.0,75.0,1,-1.1,8,1
9229,2,26,15,1,1,0,0.0,5.000000000000002,86.0,0,-0.1999999999999999,8,2
9468,3,26,134,2,21,0,0.0,11.999999999999991,1377.0,0,-0.1999999999999999,16,23
10124,0,27,200,0,43,0,6.6000000000000165,66.00000000000016,7362.0,0,1.0,23,43
10088,1,27,182,1,29,0,0.0,5.999999999999944,2001.0,0,-0.1999999999999999,19,30
10125,2,27,200,0,38,0,3.599999999999988,35.99999999999987,4632.0,0,1.0,31,38
9570,3,27,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
10608,0,28,200,7,37,0,3.0000000000000053,72.00000000000006,8238.0,0,1.8,26,44
10159,1,28,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
10609,2,28,200,0,35,0,1.799999999999991,17.999999999999908,3126.0,1,1.8,22,35
10359,3,28,75,0,11,0,0.0,0.0,423.0,4,-1.1,22,11
10896,0,29,200,1,44,0,7.200000000000018,78.00000000000017,8730.0,0,1.0,18,45
10735,1,29,39,0,5,0,0.0,0.0,261.0,0,-1.0,16,5
10692,2,29,21,0,2,1,0.0,0.0,132.0,0,-1.0,11,2
10711,3,29,27,0,3,0,0.0,0.0,141.0,0,-1.0,12,3
11331,0,30,200,1,42,0,6.000000000000018,66.00000000000017,7752.0,0,1.0,26,43
10985,1,30,27,1,3,1,0.0,5.000000000000002,164.0,0,-0.1999999999999999,15,4
11332,2,30,200,0,36,0,2.399999999999988,23.99999999999988,4602.0,0,1.0,22,36
10932,3,30,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,6,1
11654,0,31,200,1,41,0,5.400000000000001,60.00000000000001,6690.0,1,1.8,31,42
11409,1,31,21,1,2,0,0.0,5.000000000000003,113.0,0,-0.1999999999999999,8,3
11540,2,31,86,2,13,0,0.0,11.999999999999991,861.0,0,-1.0,21,15
11392,3,31,15,0,1,0,0.0,0.0,63.0,0,-1.0,5,1
12172,0,32,200,1,47,0,9.000000000000027,96.00000000000026,10332.0,1,1.8,24,48
11968,1,32,98,1,15,0,0.0,5.999999999999993,885.0,0,-0.1999999999999999,23,16
12173,2,32,200,0,39,0,4.1999999999999895,41.99999999999989,4974.0,0,1.0,35,39
11738,3,32,21,0,2,0,0.0,0.0,126.0,1,-1.1,11,2
12686,0,33,200,1,42,0,6.000000000000001,66.0,8100.0,1,1.8,36,43
12255,1,33,21,0,2,1,0.0,0.0,114.0,0,-1.0,9,2
12687,2,33,200,0,37,0,2.999999999999991,29.99999999999991,3336.0,1,1.8,34,37
12473,3,33,93,0,14,1,0.0,0.0,552.0,4,-1.1,19,14
13122,0,34,200,2,44,1,7.2000000000000215,84.00000000000021,9606.0,0,1.8,28,46
12745,1,34,15,0,1,0,0.0,0.0,81.0,1,-1.1,9,1
13123,2,34,200,0,36,0,2.399999999999989,23.999999999999886,4104.0,0,1.0,21,36
12765,3,34,21,0,2,1,0.0,0.0,144.0,4,-1.1,13,2
13576,0,35,200,2,40,0,4.799999999999991,59.99999999999991,6342.0,0,1.8,24,42
13157,1,35,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
13577,2,35,200,0,35,0,1.7999999999999892,17.99999999999989,2898.0,0,1.0,23,35
13267,3,35,45,0,6,0,0.0,0.0,204.0,4,-1.1,14,6
14085,0,36,200,1,42,0,6.000000000000008,66.00000000000007,7050.0,0,1.0,29,43
14049,1,36,164,1,26,1,0.0,5.999999999999922,2112.0,0,-0.1999999999999999,22,27
13636,2,36,15,1,1,0,0.0,5.000000000000001,92.0,0,-0.1999999999999999,7,2
13979,3,36,129,2,20,1,0.0,11.000000000000009,1145.0,0,-0.1999999999999999,28,22
14520,0,37,200,0,41,1,5.4,54.0,7740.0,1,1.8,22,41
14119,1,37,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
14521,2,37,200,1,36,0,2.399999999999989,29.999999999999886,3630.0,0,1.0,18,37
14175,3,37,27,0,3,0,0.0,0.0,111.0,4,-1.1,10,3
14784,0,38,200,1,43,0,6.600000000000002,72.00000000000001,7734.0,1,1.8,14,44
14611,1,38,27,0,3,0,0.0,0.0,183.0,0,-1.0,10,3
14599,2,38,21,2,2,0,0.0,11.000000000000002,125.0,0,-0.1999999999999999,14,4
14581,3,38,15,1,1,0,0.0,5.000000000000002,92.0,0,-0.1999999999999999,9,2
15261,0,39,200,0,42,1,6.0,60.0,4578.0,1,1.8,27,42
14866,1,39,21,1,2,1,0.0,5.000000000000001,155.0,0,-0.1999999999999999,9,3
15262,2,39,200,2,39,0,4.20000000000001,54.0000000000001,8100.0,0,1.8,37,41
14976,3,39,57,2,8,1,0.0,11.000000000000002,605.0,0,-1.0,23,10
15869,0,40,200,0,46,0,8.400000000000025,84.00000000000024,9888.0,0,1.0,21,46
15870,1,40,200,0,35,0,1.7999999999999905,17.999999999999904,3198.0,0,1.0,23,35
15871,2,40,200,0,40,0,4.800000000000001,48.00000000000001,4854.0,0,1.0,25,40
15298,3,40,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
16241,0,41,200,1,43,0,6.6000000000000085,72.00000000000007,7644.0,1,1.8,22,44
16175,1,41,134,0,21,0,0.0,0.0,1797.0,4,-1.1,16,21
