episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,57.0,5100.0,2148.0,8592.0,0.536836592178771,1,41,19.5,78,0.4935897435897436,16,200,108.0,432,0.42592592592592593
2,110.0,7860.0,2086.0,8344.0,0.6993648130393096,2,43,13.25,53,0.589622641509434,15,200,68.75,275,0.51
3,77.0,5592.0,1469.0,5876.0,0.7048162014976175,1,42,12.0,48,0.6458333333333334,9,200,61.25,245,0.5908163265306122
4,206.0,6600.0,1873.0,7492.0,0.6486252002135612,5,43,16.0,64,0.453125,27,200,83.75,335,0.40074626865671636
5,108.0,7734.0,2104.25,8417.0,0.6866163716288464,2,44,14.25,57,0.5657894736842105,21,200,74.75,299,0.45903010033444813
6,243.0,2064.0,1533.0,6132.0,0.2262720156555773,5,33,24.75,99,0.21464646464646475,39,200,155.25,621,0.1968599033816425
7,380.0,4860.0,1804.75,7219.0,0.47170660756337446,10,35,19.75,79,0.23734177215189867,63,200,118.0,472,0.21822033898305082
8,537.0,7608.0,3093.0,12372.0,0.4472599418040737,11,42,27.5,110,0.23636363636363633,75,200,155.25,621,0.17270531400966194
9,36.0,5070.0,1331.25,5325.0,0.7116901408450704,0,40,11.25,45,0.6833333333333333,9,200,64.25,257,0.5749027237354085
10,378.0,7302.0,3150.75,12603.0,0.49244227564865506,8,45,25.0,100,0.355,50,200,126.75,507,0.29240631163708086
11,47.0,8112.0,3027.5,12110.0,0.566804293971924,1,42,22.0,88,0.42613636363636365,9,200,118.0,472,0.37605932203389836
12,149.0,5562.0,2406.5,9626.0,0.5154789112819448,3,41,20.75,83,0.4367469879518072,21,200,112.0,448,0.3962053571428571
13,3330.0,5946.0,4510.5,18042.0,0.1206351845693383,37,40,38.0,152,0.016447368421052655,200,200,200.0,800,0.0
14,723.0,5280.0,3009.75,12039.0,0.28688013954647396,14,38,31.25,125,0.1459999999999999,86,200,171.5,686,0.12463556851311952
15,2316.0,5868.0,4030.5,16122.0,0.1714737625604763,33,47,37.0,148,0.07094594594594605,200,200,200.0,800,0.0
16,63.0,6144.0,2212.5,8850.0,0.5796610169491525,1,42,20.25,81,0.4783950617283951,15,200,110.5,442,0.4117647058823529
17,150.0,6744.0,2161.25,8645.0,0.6107865818392134,4,44,19.25,77,0.45779220779220775,27,200,101.5,406,0.38916256157635465
18,71.0,6414.0,1671.25,6685.0,0.7130516080777861,1,42,11.75,47,0.6648936170212766,9,200,61.25,245,0.5908163265306122
19,465.0,3966.0,2664.75,10659.0,0.2635097101041374,11,36,29.0,116,0.1637931034482758,75,200,168.75,675,0.13888888888888884
20,183.0,7176.0,3476.75,13907.0,0.48506147983030123,4,43,23.5,94,0.4042553191489362,27,200,116.5,466,0.36480686695278974
21,305.0,5946.0,2993.0,11972.0,0.45418476445038425,7,43,24.0,96,0.359375,45,200,123.75,495,0.31060606060606055
22,42.0,3924.0,1227.75,4911.0,0.5963653023824068,0,34,13.75,55,0.46818181818181814,9,200,88.0,352,0.41051136363636365
23,354.0,4158.0,1371.0,5484.0,0.5235229759299781,7,39,15.75,63,0.3849206349206349,44,200,89.25,357,0.32843137254901966
24,108.0,6570.0,1751.75,7007.0,0.6937705151990866,2,43,13.0,52,0.5961538461538461,21,200,68.75,275,0.48818181818181816
25,92.0,7494.0,1975.25,7901.0,0.7055752436400455,2,43,13.0,52,0.5961538461538461,15,200,68.75,275,0.51
26,1764.0,4782.0,2940.0,11760.0,0.1936224489795919,34,40,36.0,144,0.03125,200,200,200.0,800,0.0
27,71.0,8076.0,2074.25,8297.0,0.7236049174400385,1,43,11.5,46,0.6847826086956522,9,200,59.75,239,0.5993723849372385
28,53.0,8628.0,2233.75,8935.0,0.7230274202574146,1,44,12.75,51,0.6519607843137255,9,200,64.25,257,0.5749027237354085
29,36.0,6618.0,1778.25,7113.0,0.6955925769717419,0,41,13.0,52,0.5961538461538461,9,200,73.25,293,0.4940273037542662
30,41.0,5418.0,1456.25,5825.0,0.6964377682403433,1,42,12.75,51,0.6127450980392157,9,200,68.75,275,0.5318181818181819
31,159.0,3726.0,2607.75,10431.0,0.25661489790048897,3,38,28.75,115,0.2282608695652173,27,200,156.75,627,0.2069377990430623
32,83.0,7380.0,1918.0,7672.0,0.7138946819603754,2,43,12.5,50,0.62,9,200,62.75,251,0.5707171314741036
33,570.0,4332.0,2239.5,8958.0,0.372906898861353,12,40,26.0,104,0.24038461538461542,81,200,149.25,597,0.1846733668341709
34,90.0,5952.0,1598.25,6393.0,0.6899343031440638,2,41,12.5,50,0.59,21,200,70.25,281,0.48309608540925264
35,252.0,2874.0,2004.0,8016.0,0.2717065868263473,4,36,27.25,109,0.22706422018348627,33,200,158.25,633,0.19786729857819907
36,57.0,2112.0,647.0,2588.0,0.5973724884080371,1,34,11.0,44,0.5681818181818182,15,200,70.25,281,0.5044483985765125
37,86.0,9792.0,2605.0,10420.0,0.7032629558541267,2,48,15.5,62,0.5725806451612904,15,200,74.75,299,0.47909698996655514
38,134.0,8478.0,3027.25,12109.0,0.5828515979849699,3,44,21.5,86,0.4418604651162791,15,200,112.0,448,0.4029017857142857
39,36.0,6618.0,2923.5,11694.0,0.5191123653155464,0,42,20.75,83,0.47891566265060237,9,200,110.5,442,0.418552036199095
40,47.0,8082.0,2666.0,10664.0,0.617076144036009,1,45,21.0,84,0.48809523809523814,9,200,109.0,436,0.4277522935779816
41,42.0,6588.0,1877.75,7511.0,0.6733790440686992,0,42,14.75,59,0.5720338983050848,9,200,80.75,323,0.4806501547987616
42,47.0,3288.0,879.5,3518.0,0.6932916429789653,1,35,9.75,39,0.6602564102564102,9,200,61.25,245,0.5908163265306122
43,74.0,8184.0,2194.25,8777.0,0.7012931525578215,2,48,15.25,61,0.5942622950819673,15,200,74.75,299,0.49916387959866215
44,75.0,2448.0,850.5,3402.0,0.5440917107583775,1,37,13.75,55,0.5045454545454545,15,200,83.5,334,0.4281437125748503
45,42.0,8280.0,3680.0,14720.0,0.5112092391304348,0,44,23.0,92,0.4347826086956522,9,200,118.0,472,0.37605932203389836
46,276.0,4824.0,3052.5,12210.0,0.3197788697788698,5,38,29.0,116,0.21982758620689657,32,200,158.0,632,0.1993670886075949
47,224.0,849.0,405.25,1621.0,0.2925663170882171,5,23,10.0,40,0.35,27,147,64.5,258,0.36627906976744184
48,2226.0,6174.0,4002.0,16008.0,0.19246626686656665,34,41,38.0,152,0.03947368421052633,200,200,200.0,800,0.0
49,159.0,5316.0,1458.5,5834.0,0.664552622557422,3,40,12.75,51,0.5441176470588235,21,200,70.25,281,0.48309608540925264
50,36.0,1005.0,317.25,1269.0,0.601063829787234,0,12,4.0,16,0.625,9,74,31.25,125,0.43799999999999994
51,75.0,4032.0,1402.5,5610.0,0.5379679144385027,1,37,17.0,68,0.4117647058823529,15,200,101.5,406,0.36083743842364535
52,126.0,6570.0,1845.75,7383.0,0.6561357171881349,2,42,14.5,58,0.5172413793103449,21,200,79.0,316,0.430379746835443
53,57.0,7152.0,1835.75,7343.0,0.7248059376276726,1,45,12.0,48,0.6875,9,200,59.75,239,0.5993723849372385
54,63.0,1146.0,648.5,2594.0,0.32305319969159596,1,24,12.25,49,0.3622448979591837,15,153,79.25,317,0.3351735015772871
55,69.0,4182.0,1635.75,6543.0,0.5244154057771664,1,41,20.5,82,0.43292682926829273,15,200,114.75,459,0.380718954248366
56,789.0,5940.0,3444.75,13779.0,0.29245591116917047,11,40,31.75,127,0.17125984251968496,74,200,168.5,674,0.14020771513353125
57,36.0,4908.0,3169.5,12678.0,0.3082110743019404,0,38,27.75,111,0.25900900900900903,9,200,152.25,609,0.2352216748768472
58,36.0,10440.0,3465.0,13860.0,0.6125541125541125,0,46,22.0,88,0.4772727272727273,9,200,113.5,454,0.4008810572687225
59,402.0,7014.0,3204.75,12819.0,0.46893283407442077,6,41,24.0,96,0.35416666666666663,44,200,126.5,506,0.299407114624506
60,65.0,6822.0,1803.75,7215.0,0.7086278586278586,1,42,12.75,51,0.6225490196078431,9,200,65.75,263,0.5674904942965779
61,96.0,5298.0,3447.0,13788.0,0.29351610095735425,2,38,28.75,115,0.2369565217391305,21,200,155.25,621,0.21618357487922713
62,417.0,1842.0,780.5,3122.0,0.3438500960922486,6,30,13.25,53,0.3443396226415094,38,188,84.75,339,0.33997050147492625
