      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.0604    0.0  0.0418  0.0791   True
     average  egalitarian  -0.0284 0.0001  -0.047 -0.0097   True
     average majoritarian   0.0316    0.0   0.013  0.0502   True
     average      maximin  -0.0202 0.0228 -0.0388 -0.0016   True
     average     optimist   0.0069 0.9516 -0.0117  0.0256  False
     average  utilitarian   0.0005    1.0 -0.0182  0.0191  False
     average         veto  -0.0286 0.0001 -0.0472 -0.0099   True
    baseline  egalitarian  -0.0888    0.0 -0.1074 -0.0702   True
    baseline majoritarian  -0.0288 0.0001 -0.0475 -0.0102   True
    baseline      maximin  -0.0806    0.0 -0.0993  -0.062   True
    baseline     optimist  -0.0535    0.0 -0.0721 -0.0349   True
    baseline  utilitarian    -0.06    0.0 -0.0786 -0.0413   True
    baseline         veto   -0.089    0.0 -0.1076 -0.0704   True
 egalitarian majoritarian     0.06    0.0  0.0413  0.0786   True
 egalitarian      maximin   0.0082 0.8881 -0.0105  0.0268  False
 egalitarian     optimist   0.0353    0.0  0.0166  0.0539   True
 egalitarian  utilitarian   0.0288 0.0001  0.0102  0.0475   True
 egalitarian         veto  -0.0002    1.0 -0.0188  0.0184  False
majoritarian      maximin  -0.0518    0.0 -0.0705 -0.0332   True
majoritarian     optimist  -0.0247 0.0015 -0.0433 -0.0061   True
majoritarian  utilitarian  -0.0311    0.0 -0.0498 -0.0125   True
majoritarian         veto  -0.0602    0.0 -0.0788 -0.0416   True
     maximin     optimist   0.0271 0.0003  0.0085  0.0458   True
     maximin  utilitarian   0.0207 0.0177   0.002  0.0393   True
     maximin         veto  -0.0084 0.8743  -0.027  0.0103  False
    optimist  utilitarian  -0.0064 0.9668 -0.0251  0.0122  False
    optimist         veto  -0.0355    0.0 -0.0541 -0.0169   True
 utilitarian         veto   -0.029 0.0001 -0.0477 -0.0104   True
----------------------------------------------------------------
