episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,102.0,5958.0,2816.25,11265.0,0.4956724367509987,2,41,21.25,85,0.44999999999999996,22,200,112.25,449,0.39365256124721604
2,36.0,6540.0,4110.0,16440.0,0.30821167883211675,0,41,30.5,122,0.25409836065573765,9,200,152.25,609,0.2352216748768472
3,75.0,9204.0,4211.0,16844.0,0.5161184991688436,1,48,24.25,97,0.4768041237113402,9,200,106.0,424,0.44693396226415094
4,36.0,9726.0,4058.25,16233.0,0.5426446128257254,0,46,23.25,93,0.48118279569892475,9,200,109.0,436,0.4277522935779816
5,147.0,8682.0,5264.25,21057.0,0.3502991879185069,3,43,31.75,127,0.24606299212598426,27,200,156.75,627,0.2069377990430623
6,63.0,5004.0,3210.75,12843.0,0.32194580705442655,1,40,29.0,116,0.2543103448275862,15,200,153.75,615,0.22560975609756095
7,42.0,8160.0,5311.5,21246.0,0.29334933634566507,0,43,30.75,123,0.2621951219512195,9,200,152.25,609,0.2352216748768472
8,77.0,6816.0,4855.25,19421.0,0.27229545337521244,1,43,32.0,128,0.24609375,9,200,152.25,609,0.2352216748768472
9,65.0,1182.0,423.25,1693.0,0.5069403425871235,2,21,8.25,33,0.446969696969697,9,128,52.25,209,0.4485645933014354
10,138.0,11124.0,5310.5,21242.0,0.4985170887863666,2,48,25.5,102,0.4362745098039216,21,200,115.0,460,0.3793478260869565
11,144.0,8520.0,5827.5,23310.0,0.28063063063063065,2,44,31.25,125,0.254,21,200,155.25,621,0.21618357487922713
12,77.0,8364.0,3495.5,13982.0,0.5136604205406952,1,43,24.5,98,0.40306122448979587,9,200,120.75,483,0.36180124223602483
13,99.0,8766.0,4445.25,17781.0,0.4855323097688544,1,43,22.5,90,0.4555555555555556,15,200,112.0,448,0.4029017857142857
14,342.0,10506.0,5286.75,21147.0,0.45165980990211374,4,47,29.5,118,0.3305084745762712,32,200,138.5,554,0.2626353790613718
15,36.0,8982.0,6211.5,24846.0,0.2880342912340015,0,47,31.25,125,0.28600000000000003,9,200,152.25,609,0.2352216748768472
16,36.0,13032.0,4848.0,19392.0,0.5799814356435643,0,52,23.75,95,0.5131578947368421,9,200,107.5,430,0.4372093023255814
17,131.0,10860.0,4986.5,19946.0,0.5022059560814198,3,47,26.25,105,0.4023809523809524,21,200,120.75,483,0.3493788819875776
18,99.0,6582.0,3072.5,12290.0,0.5017087062652563,1,39,21.0,84,0.44047619047619047,15,200,112.0,448,0.4029017857142857
19,104.0,10236.0,5441.75,21767.0,0.4363141452657693,2,49,31.0,124,0.32258064516129037,15,200,143.25,573,0.2604712041884817
20,47.0,10080.0,4484.0,17936.0,0.43362511150758254,1,48,27.75,111,0.3445945945945946,9,200,141.75,567,0.27116402116402116
21,167.0,12720.0,5664.5,22658.0,0.45996998852502424,4,49,29.0,116,0.3318965517241379,21,200,138.75,555,0.2716216216216216
22,105.0,6828.0,5064.75,20259.0,0.25266548200799643,1,40,29.5,118,0.25,15,200,153.75,615,0.22560975609756095
23,93.0,8118.0,3412.5,13650.0,0.5362637362637362,1,47,22.25,89,0.4859550561797753,15,200,110.5,442,0.4117647058823529
24,63.0,5916.0,3984.75,15939.0,0.3040184453227931,1,40,29.5,118,0.25,15,200,153.75,615,0.22560975609756095
25,42.0,6852.0,4812.0,19248.0,0.2817955112219451,0,41,30.0,120,0.2583333333333333,9,200,152.25,609,0.2352216748768472
26,69.0,11112.0,5182.5,20730.0,0.5092619392185239,1,44,23.0,92,0.45108695652173914,15,200,113.5,454,0.3942731277533039
27,216.0,8610.0,4962.0,19848.0,0.3654776299879081,4,45,31.0,124,0.25806451612903225,33,200,158.25,633,0.19786729857819907
28,102.0,7458.0,3763.5,15054.0,0.4873455559984058,2,40,21.0,84,0.45238095238095233,21,200,110.5,442,0.40497737556561086
29,36.0,5610.0,3625.5,14502.0,0.31723210591642537,0,39,28.5,114,0.25877192982456143,9,200,152.25,609,0.2352216748768472
30,77.0,8226.0,3864.25,15457.0,0.5044478229928188,1,45,23.0,92,0.45108695652173914,9,200,112.0,448,0.4095982142857143
31,270.0,8310.0,4200.0,16800.0,0.38035714285714284,6,42,30.75,123,0.22560975609756095,45,200,161.25,645,0.18023255813953498
32,47.0,8928.0,4802.0,19208.0,0.440207205331112,1,42,26.75,107,0.32943925233644855,9,200,138.75,555,0.28243243243243243
33,83.0,12450.0,5792.75,23171.0,0.5111885546588408,2,48,25.0,100,0.44999999999999996,9,200,110.5,442,0.418552036199095
34,74.0,7770.0,4659.5,18638.0,0.36095611117072646,2,40,29.25,117,0.25,15,200,153.75,615,0.22560975609756095
35,36.0,7254.0,1947.75,7791.0,0.7053330766268772,0,45,14.25,57,0.6271929824561403,9,200,73.25,293,0.5349829351535836
36,41.0,7164.0,5213.75,20855.0,0.26313833613042437,1,44,32.0,128,0.25390625,9,200,152.25,609,0.2352216748768472
37,77.0,11634.0,5222.75,20891.0,0.5180101479105835,2,46,24.0,96,0.44270833333333337,9,200,110.25,441,0.4200680272108843
38,41.0,13176.0,5018.75,20075.0,0.5722415940224159,1,51,23.75,95,0.49736842105263157,9,200,107.5,430,0.4372093023255814
39,93.0,12048.0,5520.0,22080.0,0.516508152173913,1,54,25.0,100,0.505,15,200,107.5,430,0.43023255813953487
40,77.0,9030.0,2390.25,9561.0,0.7074835268277376,2,48,15.5,62,0.5725806451612904,9,200,71.75,287,0.5200348432055749
41,36.0,9882.0,4026.0,16104.0,0.5247764530551415,0,44,23.25,93,0.40591397849462363,9,200,125.25,501,0.33982035928143717
42,59.0,1728.0,510.25,2041.0,0.6255512003919648,1,33,9.5,38,0.6447368421052632,9,200,61.25,245,0.6030612244897959
43,92.0,1329.0,442.0,1768.0,0.5330882352941176,2,22,7.75,31,0.5080645161290323,15,134,50.75,203,0.45443349753694584
44,53.0,10956.0,5499.25,21997.0,0.48662317588762105,1,46,25.25,101,0.42821782178217827,9,200,115.0,460,0.3923913043478261
