       Multiple Comparison of Means - Tukey HSD, FWER=0.05        
==================================================================
   group1       group2    meandiff p-adj   lower    upper   reject
------------------------------------------------------------------
     average     baseline -11.7623    0.0 -17.4039  -6.1206   True
     average  egalitarian  -6.2998 0.0164 -11.9414  -0.6581   True
     average majoritarian  16.2122    0.0  10.5706  21.8539   True
     average      maximin  -0.6493    1.0  -6.2909   4.9924  False
     average     optimist -14.1935    0.0 -19.8352  -8.5518   True
     average  utilitarian  -12.021    0.0 -17.6627  -6.3793   True
     average         veto   -3.843 0.4381  -9.4847   1.7987  False
    baseline  egalitarian   5.4625 0.0659  -0.1792  11.1042  False
    baseline majoritarian  27.9745    0.0  22.3328  33.6162   True
    baseline      maximin   11.113    0.0   5.4713  16.7547   True
    baseline     optimist  -2.4312 0.8969  -8.0729   3.2104  False
    baseline  utilitarian  -0.2587    1.0  -5.9004   5.3829  False
    baseline         veto   7.9193 0.0006   2.2776  13.5609   True
 egalitarian majoritarian   22.512    0.0  16.8703  28.1537   True
 egalitarian      maximin   5.6505 0.0493   0.0088  11.2922   True
 egalitarian     optimist  -7.8937 0.0006 -13.5354  -2.2521   True
 egalitarian  utilitarian  -5.7212 0.0441 -11.3629  -0.0796   True
 egalitarian         veto   2.4567 0.8916  -3.1849   8.0984  False
majoritarian      maximin -16.8615    0.0 -22.5032 -11.2198   True
majoritarian     optimist -30.4058    0.0 -36.0474 -24.7641   True
majoritarian  utilitarian -28.2332    0.0 -33.8749 -22.5916   True
majoritarian         veto -20.0552    0.0 -25.6969 -14.4136   True
     maximin     optimist -13.5442    0.0 -19.1859  -7.9026   True
     maximin  utilitarian -11.3717    0.0 -17.0134  -5.7301   True
     maximin         veto  -3.1937 0.6769  -8.8354   2.4479  False
    optimist  utilitarian   2.1725 0.9412  -3.4692   7.8142  False
    optimist         veto  10.3505    0.0   4.7088  15.9922   True
 utilitarian         veto    8.178 0.0003   2.5363  13.8197   True
------------------------------------------------------------------
