episode,min_days,max_days,average_days,total_days,gini_days,min_berries,max_berries,average_berries,total_berries,gini_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived,gini_days_survived
1,87.0,3978.0,2100.75,8403.0,0.3817386647625848,1,37,26.5,106,0.25943396226415094,16,200,154.0,616,0.22402597402597402
2,165.0,7014.0,3372.75,13491.0,0.4912719590838337,3,42,22.5,90,0.4277777777777778,27,200,115.0,460,0.37282608695652175
3,36.0,398.0,176.5,706.0,0.45538243626062325,0,8,3.5,14,0.5357142857142857,9,39,24.0,96,0.3125
4,254.0,7668.0,3627.25,14509.0,0.4835446963953408,6,43,24.5,98,0.3622448979591837,39,200,124.0,496,0.3155241935483871
5,87.0,2718.0,801.5,3206.0,0.6242981908920774,1,34,11.0,44,0.5909090909090909,15,200,70.25,281,0.5151245551601423
6,144.0,4632.0,2823.0,11292.0,0.3493623804463337,2,41,28.5,114,0.26315789473684215,21,200,155.25,621,0.21618357487922713
7,228.0,5478.0,2452.5,9810.0,0.41758409785932726,4,41,28.0,112,0.25,33,200,158.25,633,0.19786729857819907
8,102.0,6156.0,3766.5,15066.0,0.34358821186778177,2,41,30.0,120,0.24583333333333335,21,200,155.25,621,0.21618357487922713
9,36.0,440.0,229.25,917.0,0.39830970556161394,0,10,4.25,17,0.4852941176470589,9,51,29.75,119,0.30042016806722693
10,42.0,7704.0,3452.25,13809.0,0.5190636541386052,0,42,21.75,87,0.46264367816091956,9,200,112.0,448,0.4095982142857143
11,69.0,5898.0,3417.75,13671.0,0.3711323238973009,1,39,27.75,111,0.25900900900900903,15,200,153.75,615,0.22560975609756095
12,84.0,659.0,307.25,1229.0,0.3594385679414158,2,11,5.75,23,0.3152173913043478,21,45,36.0,144,0.14583333333333326
13,132.0,5766.0,3573.0,14292.0,0.35012594458438284,2,39,28.5,114,0.2456140350877194,21,200,155.25,621,0.21618357487922713
14,129.0,6906.0,3750.75,15003.0,0.3861727654469106,3,40,29.75,119,0.23739495798319332,27,200,156.75,627,0.2069377990430623
15,69.0,6030.0,3536.25,14145.0,0.36876988335100747,1,40,28.75,115,0.2630434782608696,15,200,153.75,615,0.22560975609756095
16,198.0,6990.0,3891.0,15564.0,0.3772166538164996,4,41,29.75,119,0.23739495798319332,33,200,158.25,633,0.19786729857819907
17,798.0,6804.0,3004.5,12018.0,0.3987768347478782,22,46,33.75,135,0.13518518518518507,141,200,185.25,741,0.05971659919028349
18,99.0,6318.0,2619.0,10476.0,0.5290664375715922,3,41,21.75,87,0.4224137931034483,27,200,116.25,465,0.3661290322580645
19,129.0,2982.0,981.5,3926.0,0.55412633723892,3,34,13.5,54,0.4537037037037037,27,200,85.0,340,0.4
20,41.0,5526.0,2084.75,8339.0,0.5681436623096294,1,36,18.5,74,0.46621621621621623,9,200,107.5,430,0.4372093023255814
21,59.0,189.0,128.5,514.0,0.24027237354085607,1,5,3.25,13,0.28846153846153844,9,39,21.0,84,0.2857142857142857
22,68.0,4758.0,1604.5,6418.0,0.5982393268931131,2,39,17.75,71,0.4683098591549296,15,200,101.5,406,0.42610837438423643
23,228.0,5898.0,2783.25,11133.0,0.47056049582322823,4,40,24.5,98,0.33673469387755106,33,200,133.0,532,0.2828947368421053
24,87.0,7302.0,3806.25,15225.0,0.3619211822660099,1,42,29.5,118,0.2627118644067796,15,200,153.75,615,0.22560975609756095
25,98.0,669.0,315.75,1263.0,0.38657957244655583,2,15,7.5,30,0.3833333333333333,15,99,48.0,192,0.390625
26,315.0,6636.0,2698.5,10794.0,0.508893829905503,7,40,22.75,91,0.3434065934065934,51,200,128.5,514,0.2840466926070039
27,86.0,1617.0,599.75,2399.0,0.4992705293872447,2,19,8.25,33,0.4015151515151515,15,62,41.75,167,0.22904191616766467
28,150.0,8436.0,2599.5,10398.0,0.6200230813618004,4,42,19.0,76,0.4144736842105263,33,200,107.75,431,0.33236658932714613
29,213.0,7362.0,3588.0,14352.0,0.47481187290969895,5,42,24.25,97,0.36855670103092786,39,200,125.5,502,0.3087649402390438
30,41.0,4488.0,2071.75,8287.0,0.4299203571859539,1,40,26.25,105,0.28809523809523807,9,200,148.0,592,0.24915540540540548
31,327.0,7560.0,3054.0,12216.0,0.5131385068762279,7,41,23.0,92,0.34782608695652173,51,200,128.5,514,0.2840466926070039
32,108.0,5688.0,3543.0,14172.0,0.33086367485182044,2,41,30.0,120,0.24583333333333335,21,200,155.25,621,0.21618357487922713
33,126.0,4044.0,1264.25,5057.0,0.5994166501878584,2,35,13.25,53,0.5047169811320755,21,200,77.5,310,0.4532258064516129
34,93.0,6252.0,3115.5,12462.0,0.48844487241213286,1,41,20.75,83,0.4668674698795181,15,200,110.5,442,0.4117647058823529
35,53.0,425.0,172.0,688.0,0.4120639534883721,1,8,3.25,13,0.40384615384615385,9,33,21.0,84,0.2142857142857142
36,302.0,10686.0,2925.5,11702.0,0.6657836267304734,7,44,16.5,66,0.4242424242424242,51,200,88.25,353,0.31657223796033995
37,96.0,7734.0,2993.75,11975.0,0.5604384133611691,2,45,22.75,91,0.4587912087912088,21,200,110.5,442,0.40497737556561086
38,36.0,3132.0,829.5,3318.0,0.7047920433996383,0,37,9.75,39,0.7243589743589743,9,200,59.75,239,0.6119246861924686
39,74.0,684.0,401.0,1604.0,0.3095386533665836,2,13,7.75,31,0.282258064516129,15,68,49.25,197,0.21700507614213205
40,69.0,5616.0,1680.75,6723.0,0.6442436412315931,1,38,14.75,59,0.5296610169491526,15,200,88.25,353,0.4525495750708215
41,173.0,7542.0,3509.75,14039.0,0.4432473822921861,5,43,30.0,120,0.25416666666666665,33,200,158.25,633,0.19786729857819907
42,315.0,5424.0,1928.75,7715.0,0.5358068697342838,7,38,19.25,77,0.35389610389610393,51,200,107.75,431,0.2975638051044084
43,42.0,2280.0,770.75,3083.0,0.5834414531300681,0,33,11.5,46,0.5652173913043478,9,200,74.5,298,0.5100671140939598
44,120.0,5220.0,2199.75,8799.0,0.4956529151039891,2,40,22.25,89,0.3792134831460674,21,200,127.0,508,0.3198818897637795
45,125.0,6390.0,2715.5,10862.0,0.5211747376173816,3,41,22.0,88,0.4204545454545454,21,200,115.0,460,0.3793478260869565
46,203.0,4824.0,2777.75,11111.0,0.36538115381153813,5,39,29.0,116,0.23275862068965525,33,200,158.25,633,0.19786729857819907
47,347.0,9918.0,2835.5,11342.0,0.6408922588608711,7,44,19.0,76,0.38815789473684215,51,200,103.25,413,0.299636803874092
48,438.0,5520.0,2957.25,11829.0,0.42435962465128074,10,41,26.0,104,0.28846153846153844,69,200,139.0,556,0.22751798561151082
49,240.0,9126.0,3401.25,13605.0,0.5451488423373759,4,43,23.75,95,0.37631578947368416,33,200,127.0,508,0.3080708661417323
50,152.0,1275.0,547.75,2191.0,0.43416248288452763,4,21,9.25,37,0.3716216216216216,27,134,61.0,244,0.35860655737704916
51,183.0,6090.0,3159.0,12636.0,0.46355650522317193,5,42,23.0,92,0.3967391304347826,38,200,119.25,477,0.33909853249475896
52,41.0,2376.0,907.25,3629.0,0.5445715073022871,1,34,13.5,54,0.5092592592592593,9,200,83.5,334,0.4730538922155688
53,36.0,251.0,114.25,457.0,0.37144420131291034,0,6,2.5,10,0.44999999999999996,9,21,16.5,66,0.15909090909090917
54,53.0,470.0,239.5,958.0,0.32881002087682676,1,9,5.25,21,0.29761904761904767,9,45,33.0,132,0.20454545454545459
55,36.0,5736.0,1520.5,6082.0,0.7117724432752384,0,40,11.5,46,0.6739130434782609,9,200,59.75,239,0.6119246861924686
56,47.0,582.0,329.75,1319.0,0.3872251705837756,1,12,6.75,27,0.39814814814814814,9,81,48.0,192,0.359375
57,126.0,5526.0,1683.75,6735.0,0.6087973273942093,2,38,15.25,61,0.45491803278688525,21,200,91.0,364,0.3804945054945055
58,102.0,6474.0,3036.75,12147.0,0.4926525067918004,2,41,22.25,89,0.4073033707865169,21,200,121.0,484,0.34814049586776863
59,41.0,1218.0,452.5,1810.0,0.4917127071823204,1,23,9.25,37,0.46621621621621623,9,140,53.75,215,0.4709302325581395
60,195.0,5670.0,3525.75,14103.0,0.3327483514145927,5,40,30.5,122,0.22131147540983598,39,200,159.75,639,0.18896713615023475
61,149.0,7542.0,3461.75,13847.0,0.5046399942225753,3,42,22.5,90,0.4277777777777778,21,200,113.5,454,0.3876651982378855
62,63.0,6804.0,2076.0,8304.0,0.6464956647398844,1,39,15.75,63,0.5357142857142857,15,200,92.5,370,0.45945945945945943
63,68.0,1638.0,620.5,2482.0,0.5310233682514102,2,16,9.0,36,0.375,15,104,59.75,239,0.36087866108786615
64,210.0,6144.0,3025.5,12102.0,0.4136093207734258,4,39,28.25,113,0.23672566371681425,33,200,158.25,633,0.19786729857819907
65,108.0,7716.0,3757.5,15030.0,0.4959081836327345,2,43,22.25,89,0.4578651685393258,21,200,110.5,442,0.40497737556561086
66,140.0,5172.0,3042.5,12170.0,0.36347576006573545,4,39,29.25,117,0.23290598290598297,27,200,156.75,627,0.2069377990430623
67,98.0,1878.0,840.0,3360.0,0.4504464285714286,2,21,11.5,46,0.3369565217391305,15,117,70.25,281,0.3033807829181495
68,119.0,7002.0,3377.75,13511.0,0.40550292354377915,3,40,29.0,116,0.25,21,200,155.25,621,0.21618357487922713
69,117.0,5466.0,1538.75,6155.0,0.6606417546709992,3,41,14.25,57,0.5307017543859649,27,200,74.75,299,0.4489966555183946
70,41.0,138.0,84.75,339.0,0.23230088495575218,2,2,2.0,8,0.0,9,21,15.0,60,0.1499999999999999
71,248.0,7050.0,3054.5,12218.0,0.4931658209199542,6,40,23.75,95,0.3342105263157895,39,200,130.0,520,0.2894230769230769
72,42.0,5646.0,2802.75,11211.0,0.4952502006957452,0,42,20.75,83,0.4969879518072289,9,200,106.0,424,0.44693396226415094
73,128.0,1890.0,612.0,2448.0,0.5551470588235294,2,34,11.5,46,0.532608695652174,15,200,67.25,269,0.5157992565055762
74,108.0,7842.0,4444.5,17778.0,0.39596692541343237,2,41,29.0,116,0.26724137931034486,21,200,155.25,621,0.21618357487922713
75,92.0,2556.0,727.0,2908.0,0.6372077028885832,2,34,10.5,42,0.5833333333333334,15,200,65.75,263,0.5332699619771863
76,41.0,1002.0,331.75,1327.0,0.5661266013564431,1,18,6.25,25,0.55,9,116,40.25,161,0.5077639751552795
77,74.0,7536.0,2386.0,9544.0,0.6261001676445934,2,35,18.25,73,0.42808219178082196,15,200,110.75,443,0.40462753950338604
78,57.0,5748.0,3408.75,13635.0,0.3732123212321232,1,40,29.0,116,0.2543103448275862,15,200,153.75,615,0.22560975609756095
79,303.0,6216.0,3738.75,14955.0,0.33926780341023066,7,45,31.25,125,0.242,51,200,162.75,651,0.1716589861751152
80,164.0,6162.0,2941.25,11765.0,0.4756268593285168,4,41,24.25,97,0.3530927835051546,27,200,128.5,514,0.30739299610894943
81,42.0,8406.0,4248.0,16992.0,0.4726341807909604,0,43,23.0,92,0.4402173913043478,9,200,116.25,465,0.38548387096774195
82,279.0,4848.0,1556.0,6224.0,0.5517352185089974,5,36,16.0,64,0.375,39,200,97.25,389,0.3181233933161953
83,75.0,7314.0,4119.75,16479.0,0.3892681594756964,1,41,29.5,118,0.2584745762711864,15,200,153.75,615,0.22560975609756095
84,104.0,7008.0,3576.5,14306.0,0.46627289249266046,2,42,24.75,99,0.3712121212121212,15,200,127.0,508,0.3257874015748031
85,57.0,5694.0,2072.25,8289.0,0.5764567499095187,1,38,19.25,77,0.45779220779220775,15,200,112.0,448,0.4029017857142857
86,42.0,2976.0,824.25,3297.0,0.6690172884440401,0,36,10.25,41,0.6646341463414634,9,200,64.0,256,0.56640625
87,191.0,6660.0,1940.0,7760.0,0.6390463917525773,4,40,16.5,66,0.4545454545454546,33,200,94.25,377,0.38395225464190985
88,80.0,362.0,227.25,909.0,0.2907040704070407,2,8,4.75,19,0.25,15,39,29.75,119,0.1743697478991597
89,75.0,6474.0,2987.25,11949.0,0.5085990459452674,1,41,21.5,86,0.4534883720930233,15,200,112.0,448,0.4029017857142857
90,171.0,7092.0,4268.25,17073.0,0.33416798453698826,3,41,31.0,124,0.22983870967741926,27,200,156.75,627,0.2069377990430623
91,59.0,270.0,172.0,688.0,0.282703488372093,1,6,3.5,14,0.2857142857142857,9,45,27.0,108,0.2777777777777778
92,41.0,401.0,180.25,721.0,0.4046463245492372,1,10,4.0,16,0.4375,9,45,25.5,102,0.27941176470588236
93,47.0,6912.0,1932.25,7729.0,0.6798098072195626,1,40,14.0,56,0.5535714285714286,9,200,73.25,293,0.5042662116040956
94,125.0,5946.0,1727.5,6910.0,0.6521707670043415,2,39,14.25,57,0.5307017543859649,21,200,74.75,299,0.47909698996655514
95,36.0,263.0,139.0,556.0,0.3093525179856115,0,5,2.5,10,0.4,9,21,18.0,72,0.125
96,141.0,6456.0,3767.25,15069.0,0.3425741588692016,3,42,30.0,120,0.24583333333333335,27,200,156.75,627,0.2069377990430623
97,78.0,6534.0,4009.5,16038.0,0.35437710437710435,2,41,29.75,119,0.2457983193277311,21,200,155.25,621,0.21618357487922713
98,231.0,6654.0,3866.25,15465.0,0.3553346265761397,5,39,30.25,121,0.2128099173553719,39,200,159.75,639,0.18896713615023475
99,69.0,9774.0,5216.25,20865.0,0.3868799424874191,1,43,30.75,123,0.25813008130081305,15,200,153.75,615,0.22560975609756095
100,258.0,10674.0,4126.5,16506.0,0.5069974554707379,6,49,29.5,118,0.2796610169491526,45,200,158.5,634,0.1876971608832807
101,114.0,5802.0,2758.5,11034.0,0.48463839042958134,2,41,22.0,88,0.4147727272727273,21,200,119.5,478,0.35564853556485354
102,234.0,8838.0,4500.0,18000.0,0.474,4,46,25.5,102,0.3970588235294118,33,200,122.5,490,0.3285714285714286
