norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,medium health,medium days,medium days,THEN,throw",14679.500000000007,61933,691713.5900000004,165
"IF,medium berries,medium health,low days,medium days,THEN,throw",13014.433333333338,37001,349418.8399999999,133
"IF,medium berries,medium health,medium days,low days,THEN,throw",9695.699999999999,26013,255552.19000000006,116
"IF,medium berries,medium health,low days,low days,THEN,throw",6953.0,19956,175310.56999999983,79
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",12872.866666666669,22714,71816.76999999997,120
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",15257.699999999999,27209,70032.22999999998,131
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",11145.66666666667,19238,65406.85000000006,108
"IF,medium berries,medium health,high days,low days,THEN,throw",1420.3333333333337,2824,52461.87000000002,19
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",23137.333333333365,38208,27467.799999999996,231
"IF,medium berries,medium health,medium days,THEN,throw",1987.4666666666674,19542,25542.600000000053,81
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",2339.4666666666662,5560,6217.770000000001,30
"IF,medium berries,high health,high days,low days,THEN,throw",267.00000000000006,450,5961.599999999988,1
"IF,medium berries,medium health,low days,THEN,throw",434.0666666666665,1098,5052.6,8
"IF,medium berries,medium health,medium days,high days,THEN,throw",296.1666666666665,1515,4732.230000000001,10
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",3048.766666666667,6577,4577.440000000001,36
"IF,medium berries,medium health,high days,medium days,THEN,throw",337.76666666666677,1177,3549.6199999999976,6
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",1853.8000000000002,4074,1897.120000000003,29
"IF,medium berries,high health,medium days,medium days,THEN,throw",159.83333333333337,337,1351.1599999999999,2
"IF,medium berries,high health,low days,medium days,THEN,throw",129.0,820,376.56000000000034,6
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",254.3666666666664,753,293.7599999999997,3
"IF,medium berries,medium health,low days,medium days,high days,THEN,throw",12.099999999999998,33,62.919999999999995,1
"IF,medium berries,medium health,high days,low days,low days,THEN,throw",104.20000000000016,186,25.2,2
"IF,medium berries,medium health,low days,high days,THEN,throw",37.99999999999998,60,0.0,1
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",23.233333333333338,51,0.0,1
"IF,medium berries,low health,low days,medium days,THEN,throw",-90.29999999999986,903,-1.5600000000000005,5
"IF,medium berries,high health,high days,THEN,throw",1.3666666666666654,113,-115.44000000000005,1
"IF,medium berries,low health,low days,low days,THEN,throw",-150.49999999999986,1505,-150.23999999999984,14
"IF,medium berries,low health,high days,medium days,THEN,throw",-37.80000000000005,378,-263.75999999999976,3
"IF,medium berries,low health,low days,medium days,low days,THEN,throw",-544.4999999999997,5445,-439.4399999999998,37
"IF,medium berries,low health,medium days,medium days,low days,THEN,throw",-828.899999999999,8289,-623.7599999999996,49
"IF,medium berries,low health,medium days,low days,medium days,THEN,throw",-210.99999999999983,2110,-753.1200000000011,13
"IF,medium berries,low health,medium days,medium days,THEN,throw",-576.4000000000001,4124,-1038.8399999999992,25
"IF,medium berries,low health,medium days,low days,THEN,throw",-312.9000000000002,2529,-1322.5799999999992,15
"IF,medium berries,low health,high days,low days,THEN,throw",-137.49999999999997,535,-2887.5299999999984,6
"IF,medium berries,low health,low days,medium days,medium days,THEN,throw",-768.3999999999999,7494,-2928.7799999999993,42
"IF,medium berries,low health,low days,low days,medium days,THEN,throw",-973.4999999999985,9735,-3459.6300000000006,60
"IF,medium berries,low health,medium days,medium days,medium days,THEN,throw",-1206.5999999999992,12066,-7761.659999999988,41
"IF,medium berries,low health,low days,low days,low days,THEN,throw",-2128.2999999999984,21283,-8692.079999999989,116
"IF,medium berries,low health,medium days,low days,low days,THEN,throw",-1073.4999999999993,10735,-12551.879999999966,54
"IF,medium berries,high health,medium days,THEN,throw",233.76666666666654,3317,-45527.79999999999,9
