reward,numerosity,fitness
-28.79999999999993,288,0.0
-28.79999999999993,288,0.0
-28.79999999999993,288,0.0
36.9,123,828.54
40.59999999999998,58,0.0
-12.0,120,-15.840000000000002
-20.59999999999996,206,0.0
-30.900000000000052,309,-12.359999999999978
-20.59999999999996,206,0.0
-41.19999999999992,412,-24.719999999999956
-7.200000000000004,72,0.0
-22.59999999999995,226,0.0
-22.59999999999995,226,0.0
-1.2,12,0.0
-7.0000000000000036,70,0.0
80.49999999999994,105,75.59999999999994
-7.0000000000000036,70,0.0
-115.19999999999962,1152,-126.71999999999952
-7.200000000000004,72,0.0
-33.79999999999994,338,0.0
-38.400000000000006,384,0.0
-57.59999999999981,576,-46.08000000000003
-38.099999999999994,381,-15.23999999999996
-38.099999999999994,381,-15.23999999999996
25.39999999999994,254,0.0
225.79999999999998,1016,9359.519999999999
59.500000000000036,105,0.0
-76.80000000000001,768,-23.040000000000013
-33.59999999999994,336,0.0
-33.59999999999994,336,0.0
16.8,24,0.0
-2.4,24,0.0
-4.8,48,-2.880000000000001
-34.799999999999955,348,0.0
268.8000000000005,384,0.0
-52.19999999999986,522,-125.27999999999984
243.60000000000068,348,0.0
-19.500000000000025,195,-39.00000000000005
-46.79999999999991,468,-112.31999999999987
-31.19999999999992,312,0.0
-2.4,24,0.0
-4.8,48,-6.48
-13.399999999999986,402,-964.7999999999989
67.0,134,0.0
-1.2,12,0.0
-1.8000000000000003,18,-0.72
-10.799999999999994,108,0.0
-16.200000000000017,162,-6.480000000000005
201.6000000000005,288,0.0
-28.79999999999993,288,0.0
-28.79999999999993,288,0.0
-27.799999999999933,278,0.0
-1.2,12,0.0
-1.2,12,0.0
-2.4,24,-3.24
-3.0,30,-20.16
-22.800000000000033,380,-346.5600000000001
276.1,685,10918.799999999996
-14.399999999999995,144,-15.840000000000002
-2.4,24,0.0
-23.99999999999998,240,-86.39999999999993
-95.99999999999991,360,-309.60000000000014
-59.99999999999985,600,-107.99999999999987
-9.799999999999997,98,0.0
73.5,147,940.8000000000009
-2.7200464103316335e-15,196,152.8800000000001
4.899999999999997,147,88.19999999999992
-0.2,2,0.0
-0.2,2,0.0
-37.19999999999999,372,0.0
-6.000000000000003,60,0.0
-9.399999999999999,94,0.0
-1.8000000000000003,18,-0.72
-4.8,48,-41.22
-16.99999999999997,170,0.0
-16.999999999999975,510,-30.59999999999997
158.59999999999982,244,1749.4800000000007
12.199999999999989,122,0.0
61.0,122,0.0
-12.199999999999989,122,0.0
-2.4,24,0.0
6.0,12,0.0
-1.8000000000000003,18,-0.72
-16.599999999999973,166,0.0
