episode,total_norms,cooperative_norms,proportion,reward,numerosity,fitness
1,26,4,15.384615384615385,11744.199999999988,41327,3584356.559999998
2,6,1,16.666666666666664,16.800000000000004,543,-85.67999999999995
3,35,5,14.285714285714285,11147.599999999999,41988,1470618.78
4,20,3,15.0,1118.4,5172,12285.959999999994
5,12,2,16.666666666666664,271.6000000000001,1483,2364.0
6,4,1,25.0,14.200000000000001,243,-11.160000000000005
7,23,2,8.695652173913043,11209.399999999989,38151,4061613.839999999
8,26,4,15.384615384615385,5597.699999999996,23745,635081.4899999998
9,30,4,13.333333333333334,9280.699999999993,34131,1241448.8399999996
10,25,3,12.0,10912.5,38806,2818655.5200000014
11,23,4,17.391304347826086,9751.399999999998,39541,8074346.640000002
12,12,0,0.0,720.4000000000002,3763,8715.839999999995
13,9,2,22.22222222222222,43.8,493,69.11999999999998
14,21,3,14.285714285714285,230.3,1025,2264.5800000000004
15,15,3,20.0,11168.199999999997,44233,12692311.77
16,18,4,22.22222222222222,9172.300000000005,35548,3626945.909999998
17,19,1,5.263157894736842,790.0,4183,15273.959999999997
18,22,1,4.545454545454546,10206.699999999993,37969,6028203.719999994
19,17,1,5.88235294117647,1981.1999999999998,8758,137749.47
20,31,0,0.0,6322.599999999997,29126,891747.9599999989
21,6,1,16.666666666666664,344.0000000000001,2254,19953.0
22,30,3,10.0,10817.099999999988,39986,1660310.760000001
23,22,3,13.636363636363635,8555.099999999997,31983,4395011.3100000005
24,16,4,25.0,8705.999999999995,32454,4969136.520000006
25,24,1,4.166666666666666,8524.800000000005,36232,1340687.0400000003
26,19,2,10.526315789473683,11050.599999999997,40061,6015617.369999998
27,5,1,20.0,6.199999999999998,262,-16.920000000000005
28,18,1,5.555555555555555,671.2,3618,5639.280000000002
29,5,0,0.0,97.20000000000005,748,510.2400000000002
30,8,0,0.0,6120.199999999999,33187,5984401.680000002
31,4,0,0.0,87.19999999999999,560,356.15999999999997
32,22,1,4.545454545454546,2945.8,11504,174095.28000000003
33,2,1,50.0,-2.4000000000000004,210,28.92
34,25,2,8.0,2769.799999999999,11845,151859.04000000004
35,32,4,12.5,9738.1,38229,1442662.8599999994
36,28,2,7.142857142857142,10769.199999999999,42488,2924548.8000000003
37,20,2,10.0,6979.999999999993,28642,3220435.139999998
38,11,3,27.27272727272727,46.40000000000001,972,578.6400000000001
39,20,2,10.0,5286.299999999996,20354,684300.36
40,18,3,16.666666666666664,10195.599999999988,37677,4555866.420000004
41,32,5,15.625,10762.79999999999,41556,2108548.2599999984
42,27,4,14.814814814814813,8142.39999999999,33242,454226.39999999973
43,23,3,13.043478260869565,11043.399999999989,39717,2747000.159999998
44,21,3,14.285714285714285,207.30000000000004,1363,7789.559999999998
45,19,3,15.789473684210526,508.20000000000005,2584,7026.719999999996
46,9,0,0.0,9099.000000000005,36271,3959872.739999996
47,17,0,0.0,7893.199999999998,34525,1598561.8799999985
48,21,2,9.523809523809524,1380.8000000000002,4999,37708.08000000001
49,21,4,19.047619047619047,8552.799999999992,33743,6194734.379999999
50,16,1,6.25,11768.3,42076,7677930.389999998
51,11,1,9.090909090909092,114.80000000000001,909,483.84000000000015
52,14,1,7.142857142857142,8579.200000000004,39604,3174298.23
53,25,3,12.0,8122.899999999992,32224,2613478.4400000023
54,8,0,0.0,118.20000000000003,648,1258.3799999999999
55,14,1,7.142857142857142,205.59999999999997,1341,1944.3600000000001
56,26,3,11.538461538461538,10560.499999999995,38231,5430870.060000001
57,36,4,11.11111111111111,10837.299999999996,44882,2231492.760000002
58,10,1,10.0,166.8,820,298.0800000000001
59,9,0,0.0,637.6,2799,16879.439999999995
60,21,4,19.047619047619047,11451.6,40488,4763657.2200000025
61,19,2,10.526315789473683,11613.900000000009,39158,4871894.520000003
62,19,0,0.0,2531.2000000000003,10727,114958.79999999993
63,12,0,0.0,296.00000000000006,1770,1934.1600000000003
64,16,0,0.0,875.0000000000001,3628,12376.080000000004
65,10,1,10.0,3847.399999999999,18760,1988887.4399999997
66,15,1,6.666666666666667,220.59999999999997,1265,3894.9599999999996
67,27,3,11.11111111111111,3033.5,11482,113516.88000000003
